meanPPG_1,meanPPG_2,meanPPG_3
-12.5927524087349,-11.2401188686369,-12.9980148359058
-12.6285161350661,-11.264156366017,-12.9880087889042
-12.6354105180499,-11.2600956032857,-13.0363435087079
-12.6664930015488,-11.2643615363091,-13.050515004279
-12.6781366507428,-11.2463523557287,-13.045110773768
-12.6800589583524,-11.2376988337858,-13.0332610887088
-12.6747097164603,-11.0980764655517,-13.0349999384482
-12.6670670634308,-11.0874209015243,-13.0464322057705
-12.6592225452037,-11.1044759078211,-13.0616787537878
-12.6689792755476,-11.1215999204158,-13.0707837262311
-12.671223896005,-11.0646989829608,-13.07801851821
-12.6508257722189,-11.0912699974633,-13.0734168010031
-12.629439883322,-11.098560873675,-13.0756406745631
-12.6313992027339,-11.1018245052434,-13.0729882421727
-12.6120542868787,-11.1243764692384,-13.0864708795928
-12.6591335540456,-11.0807877854462,-13.0959372631678
-12.6719772602828,-11.0979553268478,-13.0884673429548
-12.6838460120403,-11.1085597523054,-13.1013848590191
-12.6784702818528,-11.0992870461729,-13.1107846013537
-12.6457716945111,-11.0911480313698,-13.099741419528
-12.6167673885621,-11.0938278551308,-13.1159106029636
-12.6400409827773,-11.1101168253233,-13.109715732067
-12.656058499337,-11.0777019346978,-13.1072822263762
-12.6453786368071,-11.1095182379715,-13.096569558709
-12.6666633619878,-11.0925497441263,-13.0936181641095
-12.6633740672309,-11.1188749616773,-13.1063640683154
-12.6627693794578,-11.1365141772528,-13.0884342391412
-12.666379411797,-11.1217773774569,-13.0811246293877
-12.6475063896446,-11.1042953535189,-13.0972916929753
-12.5979322842309,-11.1069402216152,-13.1029440366445
-12.6636303951295,-11.1408177605161,-13.0879872303675
-12.6443727367319,-11.1323675805682,-13.106932938149
-12.6549611615468,-11.1089792028313,-13.1022586244728
-12.6526700999945,-11.0975312257842,-13.1175116266733
-12.6375433250591,-11.0917577131348,-13.1156529125128
-12.6789845416651,-11.0968037766735,-13.1178411676097
-12.6651606656916,-11.1340633386566,-13.1197840538074
-12.6691964127051,-11.0804179857502,-13.1218112249962
-12.6755104897497,-11.1087994598633,-13.1322186542351
-12.6528108463985,-11.1218365228066,-13.1355007035965
-12.6252762797489,-11.0869923082222,-13.1350189566622
-12.6494659652045,-11.1304344204219,-13.1295216954026
-12.6230479234156,-11.1137008444515,-13.1182348668205
-12.6209598922172,-11.1072403326585,-13.1343077584213
-12.6645191224262,-11.0978947519924,-13.1203934383479
-12.6481396560829,-11.099226551935,-13.1281704834781
-12.6125439139559,-11.0876657295339,-13.1164338323472
-12.6454559718418,-11.10531806379,-13.1400854103919
-12.637536829507,-11.1264391154598,-13.1384335575818
-12.6481717908949,-11.102548312501,-13.1263633667696
-12.6511622314216,-11.0914529187162,-13.1281943442267
-12.6658807263594,-11.1141181445261,-13.1247924248784
-12.6335275298633,-11.1011001737094,-13.1208502331788
-12.6641934528641,-11.1084998164367,-13.1360058936455
-12.656737352452,-11.1379119643179,-13.1283534013365
-12.6343326317097,-11.0930368361963,-13.1204495471991
-12.6397493705159,-11.1102364998088,-13.1366764548514
-12.6314972313779,-11.1078402846803,-13.1206499102576
-12.6432980143861,-11.1048970744589,-13.1169407012359
-12.6673634279235,-11.1059792605803,-13.1299187634574
-12.6607183177823,-11.0981975895829,-13.1138149434344
-12.6665182419638,-11.1090391099753,-13.1172221840895
-12.6388513187738,-11.0963185164432,-13.1195514275765
-12.6515626305447,-11.1193494012545,-13.1109788185377
-12.6764043459547,-11.088032859196,-13.1113347854365
-12.6437435349746,-11.1199421343641,-13.1291483076192
-12.6426616734862,-11.1098774333777,-13.1164338323472
-12.6325912322806,-11.1233730753221,-13.1202331099951
-12.6565206794648,-11.1172126483047,-13.1227872875417
-12.6567086778403,-11.1033318462783,-13.1313231187758
-12.6712050546243,-11.1003753171388,-13.1281148061837
-12.62823097658,-11.0705058738683,-13.1136132060715
-12.6678928819679,-11.1224277839839,-13.1218672543556
-12.6768010120904,-11.1172126483047,-13.1116582817879
-12.6782956850618,-11.1298478757397,-13.1049974589204
-12.666458294938,-11.0941319266507,-13.1083780368376
-12.628873287874,-11.0800480492517,-13.1071116589956
-12.659607023105,-11.1328941581189,-13.099782333882
-12.6427844509715,-11.1349976998552,-13.1093997110125
-12.6505244650564,-11.0777019346978,-13.1108736222454
-12.6579186686901,-11.0959544166759,-13.1168763511716
-12.6453754143841,-11.1243764692384,-13.1079398567386
-12.6595148889767,-11.0905989997867,-13.1024708260651
-12.6407372680428,-11.1230777677571,-13.0881942037142
-12.6491706684452,-11.114535270534,-13.0813413628814
-12.6581763986001,-11.1014624050584,-13.1044356314192
-12.6342479146646,-11.1015227641953,-13.090748863635
-12.6347984472129,-11.0913309749322,-13.091565968406
-12.6422997152884,-11.0912699974633,-13.0904515690138
-12.6523917476466,-11.1112531551008,-13.0996923200935
-12.6339154938559,-11.1087395383604,-13.094564545506
-12.6412033462941,-11.0769599114137,-13.0978903407054
-12.6580395872898,-11.1327771648459,-13.0875400216875
-12.6592161889551,-11.0939494948341,-13.086139130359
-12.6652522811405,-11.0955901842916,-13.0944000217607
-12.6475192518359,-11.1023071016213,-13.087059463568
-12.6773816723736,-11.107120299049,-13.0861225400079
-12.6838708182418,-11.1054383139104,-13.1005348593766
-12.687649668937,-11.1119104405357,-13.0788377313098
-12.7114645332551,-11.1010397890591,-13.0923247000411
-12.6995608408987,-11.1134026663177,-13.0862967249679
-12.6899021306256,-11.1376209197569,-13.1014011980875
-12.6912604101009,-11.1429626267046,-13.1114480210638
-12.6801803415609,-11.1306689419989,-13.112547357531
-12.6967975975892,-11.1357562260169,-13.1198321766168
-12.7099824097744,-11.1466041439797,-13.1219152770223
-12.7087854491856,-11.1262035996792,-13.1260685049342
-12.7139649713812,-11.1176878770175,-13.1267696554871
-12.7081561682393,-11.1299065456919,-13.1120301732645
