meanPPG_1,meanPPG_2,meanPPG_3
-12.7046242507707,-10.9895548137019,-13.2889213390188
-12.6846364070774,-10.9925880808316,-13.3088163879777
-12.7449491390623,-11.0234698669404,-13.3321314748227
-12.7003602673071,-11.0090092495052,-13.3219418402339
-12.73462226715,-11.0119181501416,-13.3327280252229
-12.7376093073917,-11.0012327987649,-13.3175090196492
-12.7116545449731,-10.9872568943345,-13.2829027488693
-12.7614107256773,-11.0014996611322,-13.3128581092874
-12.7216469763184,-11.0060918624738,-13.3024156947542
-12.7595180069075,-11.0171854786223,-13.3214830524742
-12.6838739189737,-10.975824309792,-13.3059574575303
-12.7220022219416,-10.9747286444081,-13.3332011219087
-12.7353352586508,-11.0146869567097,-13.323192605754
-12.7049188011356,-10.9696455176506,-13.3235786518292
-12.7046698054675,-10.9624577059318,-13.3420320984827
-12.7434545101059,-10.9962158980453,-13.2968946687232
-12.7012504786996,-11.0110595825757,-13.3128647216665
-12.7110180144351,-11.000965865163,-13.3349489893087
-12.7576620221204,-11.0113898881113,-13.3262898579507
-12.7614365498633,-11.011654054009,-13.3314112497699
-12.7015764879984,-11.0222945484898,-13.3370811311737
-12.7562266689587,-11.0133035117116,-13.3318849696805
-12.7148581897483,-10.982237212108,-13.3296116657221
-12.708658414744,-11.0220331789117,-13.3546680373267
-12.6810296117219,-10.993260892537,-13.360642998277
-12.7268525605375,-10.9952766158561,-13.3427126282949
-12.71785081548,-11.0083469539647,-13.308683595552
-12.7222499236146,-11.0037651205233,-13.3186930277861
-12.7076566972141,-11.0360502805738,-13.3359316315315
-12.7139017843159,-11.0054276312969,-13.3215748268666
-12.719378191745,-11.0154766382459,-13.3399233696243
-12.7223454066694,-11.0055605128332,-13.3174366181234
-12.7388867411866,-11.0058262229451,-13.3052647660633
-12.7024412686446,-10.9873245556221,-13.2962225624514
-12.6953947162456,-10.997288284207,-13.2927472966252
-12.6969047237763,-11.0344379491162,-13.3065165890273
-12.6692845128877,-10.9682672526678,-13.3244679534591
-12.7063508402153,-10.9986940480694,-13.2858010846965
-12.7093659726406,-10.9858349487382,-13.2953885228265
-12.687723803188,-11.0020331723153,-13.2878981546581
-12.6531850075384,-10.9949409440058,-13.3005765061537
-12.7351997704661,-10.9712969320492,-13.2899028826934
-12.688696306132,-10.9846145268632,-13.2758120966292
-12.6735637460174,-10.9814888873001,-13.3185286660189
-12.6873747064337,-10.9874598644647,-13.303177131368
-12.7059505612277,-11.0061582613317,-13.3280368110056
-12.6986385710725,-10.9747286444081,-13.2948231327596
-12.6832628890903,-11.0012995210335,-13.3007773093673
-12.6629055452509,-10.9834605369853,-13.2786489196474
-12.6960749612826,-11.0186291431554,-13.3130895165421
-12.7176230066106,-10.9749341731315,-13.3162774802341
-12.6956552250975,-10.9810804739802,-13.3120245995017
-12.6851753771002,-10.99151063965,-13.3329937646119
-12.7038251877283,-11.0167913899472,-13.3109254217877
-12.7051707702146,-10.9900947340768,-13.3025092357486
-12.6885358311256,-10.9782851764382,-13.3123752874823
-12.6908725184718,-10.9856316484969,-13.3361125393013
-12.6766167536909,-10.9865800295462,-13.3296701868922
-12.6657828538241,-10.9552178553041,-13.33531112774
-12.6853363922391,-10.9833926137385,-13.3101963848794
-12.7120495331512,-10.9881361341869,-13.2825143053983
-12.6939867945376,-10.9833926137385,-13.3095198935883
-12.7265554878892,-11.0054276312969,-13.3049182403136
-12.6808803417451,-11.0014996611322,-13.3067162031074
-12.6772068853948,-11.0043639428573,-13.3041514585921
-12.6872140191864,-10.9997637814067,-13.3185418159545
-12.7726158122467,-11.0071537155069,-13.3139155341601
-12.6994387348128,-10.9911062997294,-13.2932531732359
-12.721900736069,-11.0152792763164,-13.2880269573021
-12.671760726177,-10.9790359016057,-13.2973984521473
-12.7171042480811,-10.9892847441574,-13.3169494170183
-12.7230821098814,-10.9884740976224,-13.3070222006618
-12.6889585656069,-11.0206598667251,-13.3078133688728
-12.710740348158,-11.0156739612314,-13.3327409897584
-12.7487863953902,-10.9898922980965,-13.2961620507238
-12.770246600648,-10.9628044585966,-13.3323130713158
-12.6312390686131,-11.0056269469804,-13.3285381702204
-12.6913588983071,-10.9928572598373,-13.3336286605881
-12.73136610362,-11.0042309022132,-13.3026361702473
-12.694799888774,-11.0332754586727,-13.3601448694026
-12.7271525143588,-10.9786264850186,-13.3116274457649
-12.7364861676574,-11.0082144422041,-13.3369649496722
-12.6919034860568,-10.9890146016556,-13.313723958849
-12.7629905116309,-10.9879333012867,-13.3204467285761
-12.714897268629,-11.0145552824716,-13.3246313420072
-12.7408335219912,-11.0417691716624,-13.3363644634541
-12.7377327170237,-10.9831888163125,-13.3195407054303
-12.7176050194894,-11.0175137672566,-13.3504674051867
-12.7147229049058,-11.0158054882603,-13.3595581463601
-12.7371419757732,-11.0032325328002,-13.3444375571445
-12.7354353902946,-11.013435350868,-13.3294035627104
-12.7238182707613,-11.0105308666821,-13.3016937985423
