meanPPG_1,meanPPG_2,meanPPG_3
-12.1634312886401,-11.0666383623418,-12.6289846672421
-12.160023471413,-11.0505089804119,-12.6088808939771
-12.1488671717594,-11.1174502908914,-12.6398012189112
-12.163170363712,-11.0824501938579,-12.6278440799126
-12.1601124731538,-11.1539621905135,-12.6235980681307
-12.1701552703434,-11.1243764692384,-12.6297181507978
-12.1727536827373,-11.107600347063,-12.624059034192
-12.159337368633,-11.129319691215,-12.6322027540819
-12.1689054225221,-11.1213040886827,-12.6225436328149
-12.1654433407774,-11.1316064786901,-12.6387377891205
-12.1700930741974,-11.116083074153,-12.6418729534344
-12.173130977846,-11.1246124156796,-12.6455268570368
-12.1568036167234,-11.1007982139885,-12.6320068254777
-12.1579060369096,-11.1191715127901,-12.6313534527445
-12.175840216453,-11.1070602768407,-12.6367895594445
-12.1633582365226,-11.1445249009989,-12.6224249392354
-12.1545740669154,-11.1037534949307,-12.6175860921725
-12.1390082704409,-11.1338296118821,-12.6081319605035
-12.1427813462879,-11.1280861746557,-12.5996136094299
-12.1311874483384,-11.1239634289611,-12.6067663887594
-12.1367386444366,-11.1196458117259,-12.6132695864831
-12.1389975767406,-11.1261447120662,-12.6002206224724
-12.1308209426427,-11.1003753171388,-12.6045936994039
-12.1452020559662,-11.1355812325787,-12.6032232840343
-12.1218047744116,-11.1334204585316,-12.6051708612601
-12.1302601445692,-11.1105954373575,-12.6097227742259
-12.1214293714611,-11.1082000831971,-12.6108708646506
-12.1302385691307,-11.1189935926757,-12.6146794799106
-12.1296504591857,-11.1020658325448,-12.6126438084009
-12.1182682268934,-11.1175690910104,-12.6088808939771
-12.1583886193645,-11.1185189842188,-12.6143338409403
-12.1341361601454,-11.1133430200202,-12.6061901473117
-12.1251065950402,-11.0022331656495,-12.6067931826076
-12.1313167712255,-10.9200940969234,-12.6046205515293
-12.1175583214994,-10.921034388483,-12.6189237432716
-12.1317908121096,-10.8998456071655,-12.6223721820109
-12.1271647104253,-10.9356038499159,-12.6176523546382
-12.1154201020779,-10.9081553950277,-12.6022817150418
-12.1384466965217,-10.9251468000361,-12.6124306881869
-12.1233647226572,-10.9388049908319,-12.6051976978921
-12.1419713621236,-10.9290989483197,-12.6087070844051
-12.1327328397995,-10.9055155166888,-12.6139215767396
-12.1360578234581,-10.9218293298076,-12.6144667931442
-12.1248680130834,-10.9280226378079,-12.6110576384015
-12.1319739041031,-10.9093995859153,-12.6139614807041
-12.1464977850215,-10.9375968749901,-12.6134958353445
-12.1409899763709,-10.9343918581802,-12.619836556453
-12.1555211811818,-10.9062495155474,-12.6166048939714
-12.1606881753956,-10.9268732949618,-12.5976686878968
-12.1534785054096,-10.9213958037893,-12.6164456899909
-12.1552476625204,-10.9286685631184,-12.6214748830842
-12.1533203926432,-10.9303173681085,-12.6163528092961
-12.1548635581234,-10.9042664808555,-12.6335992656409
-12.1633791091007,-10.9235615568738,-12.6243223479978
-12.1677890931046,-10.8983676287705,-12.6284342012981
-12.1764429907786,-10.9190804854841,-12.6228073458966
-12.1698701729029,-10.8987373282091,-12.6315887161099
-12.171651993628,-10.9233451925153,-12.6184736446395
-12.1709479323042,-10.8878106948021,-12.6153172689303
-12.1638277641864,-10.932034966756,-12.624151201911
-12.1659743474118,-10.935461338871,-12.6266233910564
-12.1892214584462,-10.8875116964444,-12.6122974649846
-12.1713673226411,-10.9355325969321,-12.6219632191219
-12.1534099929469,-10.9294574612121,-12.6071950042042
-12.160824202057,-10.9050013967407,-12.6086134821211
-12.1482581341524,-10.9220460223579,-12.6019586871913
-12.1480621040267,-10.9155974255809,-12.5978714604745
-12.1219625104108,-10.9061761399007,-12.6137885520235
-12.1299418596368,-10.9248587608608,-12.5998699487707
-12.1159181523037,-10.9013951370826,-12.5988441969126
-12.1492694627059,-10.902353168034,-12.590994852407
-12.1418274147121,-10.9158154726072,-12.6036937362819
-12.1376813787571,-10.9357463406542,-12.602739159282
-12.1375046837563,-10.9333212324757,-12.59930321597
-12.1530304542926,-10.9090338080847,-12.6077171310125
-12.1273486513051,-10.9013951370826,-12.6070610816113
-12.142376436215,-10.9169775877874,-12.6005711732452
-12.1411127022734,-10.92838153671,-12.6115244202161
-12.1452339382991,-10.892359377191,-12.6109642558866
-12.1334911999494,-10.9010264191108,-12.6049158773295
-12.1422485358067,-10.9202388147239,-12.6076368215534
-12.1478024374054,-10.8951825588582,-12.5954219217522
-12.1445801472179,-10.9011001735822,-12.6063375895247
-12.1400343336018,-10.9298158456191,-12.6120176384752
-12.1404562103186,-10.9044870123372,-12.6002745613596
-12.1503696426539,-10.9393020263802,-12.6040833719775
-12.1482740268028,-10.9195150161978,-12.6172944851507
-12.1464924780813,-10.8741907092488,-12.6044459998246
-12.1444259390631,-10.9131957650982,-12.6078509657803
-12.1505070800805,-10.8994024429659,-12.6102969842022
-12.1733376545372,-10.9270170350799,-12.6131231628794
-12.15085059103,-10.9343918581802,-12.6220687739446
-12.1499625055885,-10.9212512533409,-12.604325138486
-12.1556421367308,-10.9450355405826,-12.6202067358621
-12.168048815826,-10.919225350036,-12.6160342956902
-12.1422965003768,-10.9244985951807,-12.6173872784272
-12.1460678315931,-10.9180658455942,-12.6056269860853
-12.1670979021239,-10.9234894406223,-12.6123640788043
-12.1560732505358,-10.9336782350856,-12.6189369784003
-12.1636608462731,-10.8999194487753,-12.6193471805298
-12.1678150684124,-10.9129042623998,-12.6212372279471
-12.1733634861205,-10.8971836712547,-12.619691091328
-12.1733479872506,-10.9262262086251,-12.6160475691162
-12.1758814433659,-10.9377390820438,-12.6219236331908
-12.173544288522,-10.9073495046584,-12.614812386172
-12.1638486269667,-10.8910937898269,-12.6367245530414
-12.1888908807714,-10.9063228858105,-12.6142141688417
-12.1770608436566,-10.9148702585913,-12.6285521837975
-12.1662813696369,-10.9006575651359,-12.6195191507133
-12.1631860211277,-10.9336782350856,-12.6467375733104
-12.1720814346628,-10.9008051230527,-12.6213560625757
-12.188514397729,-10.904119432844,-12.629207388769
-12.1740658493951,-10.9047809786802,-12.6185530885322
-12.174819308375,-10.9206005176251,-12.6173077418603
-12.1649641516396,-10.9308902288474,-12.6005576927952
-12.1554896251541,-10.9061027588697,-12.6017836701941
-12.1446492672927,-10.9147247617192,-12.5954083717085
-12.1544055970948,-10.895479272754,-12.5964782598785
-12.145361457467,-10.9121021915558,-12.6010698221864
-12.1513154640699,-10.8731294599073,-12.6043654272219
-12.1430689459512,-10.8904976646229,-12.5995326465109
-12.148305811346,-10.8996979075862,-12.6067931826076
-12.1427973262171,-10.8728260388324,-12.6003284973376
-12.1320008265691,-10.9003623839663,-12.6039355969982
-12.1501052868083,-10.9269451676035,-12.6056001609716
-12.1291916011942,-10.9162514240782,-12.6103904290465
-12.1646358787428,-10.8912427656186,-12.5978714604745
-12.1408672354049,-10.8904976646229,-12.6023355428735
-12.1574547165274,-10.8698628485777,-12.6007464025601
-12.1509826792122,-10.8687208179233,-12.6006385727693
-12.1416461181211,-10.9060293724535,-12.6019183013721
-12.1420086784407,-10.9017637191516,-12.596573004913
-12.1392060832732,-10.9281662128261,-12.6001531947717
-12.140541632035,-10.868873164054,-12.6009081254483
-12.1520070909252,-10.8833163052143,-12.5947441945521
-12.1403387435429,-10.9019848032013,-12.6030081464126
-12.1541054399049,-10.9189355999435,-12.6131497869475
-12.1551424431115,-10.9308902288474,-12.5989387180618
-12.1582784851842,-10.8842168005475,-12.5951915460354
-12.1589705557611,-10.9033102820404,-12.5990872332478
-12.1676903807808,-10.9153793309997,-12.6158484492254
-12.1623453931657,-10.8992546779121,-12.6048756107648
-12.1669055309405,-10.9159608108823,-12.6138151583824
-12.1736114353748,-10.8817384845331,-12.6087873079614
-12.162366286895,-10.9132686274976,-12.625795625385
-12.1489518780404,-10.904119432844,-12.6084663751139
-12.161791550213,-10.9081553950277,-12.6190957862828
-12.1712120133942,-10.9133414845885,-12.6209731004248
-12.1630764140689,-10.9161061280373,-12.6041236704549
-12.1632016782983,-10.8912427656186,-12.6118577024493
-12.1641928000161,-10.9104230526323,-12.6242301960523
-12.1592692564155,-10.9385918999479,-12.6206032046519
-12.1767313696281,-10.8750994559982,-12.6093620551887
-12.1735184616088,-10.9028686509424,-12.6132296548992
-12.1739677547543,-10.9033838682651,-12.6097895597708
-12.1616608821594,-10.9168323972245,-12.6107507773871
-12.1670719081804,-10.9359600386997,-12.6375822974861
-12.1684382734723,-10.9303173681085,-12.613535756301
-12.1752731739766,-10.9276636100512,-12.6362954047641
-12.1877355438266,-10.9340351102901,-12.6231500689665
-12.1812521497631,-10.8668145304117,-12.6194794679111
-12.1705335469095,-10.9022058383836,-12.6279227828877
-12.1602224055455,-10.8989590822847,-12.6108708646506
-12.1729759422909,-10.8685684485797,-12.6080249242047
-12.1719055413572,-10.9323924287794,-12.6022278843126
-12.1561731162427,-10.9158154726072,-12.6070476883655
-12.1500101015936,-10.9285250602122,-12.5998024974199
-12.154158105578,-10.9030894908711,-12.5962210495264
-12.1315430460426,-10.9002147607006,-12.584961033899
-12.1514950162461,-10.9017637191516,-12.5880780473732
-12.1490842172419,-10.892284975197,-12.5851663994161
-12.1501898882825,-10.9139969596493,-12.5903413554947
-12.1366314592795,-10.9087410894584,-12.5861652433032
-12.139708458879,-10.8939205416905,-12.5976686878968
-12.1539368911096,-10.9032366904004,-12.5956928840765
-12.1558734891973,-10.8829408593679,-12.6052916204329
-12.156530448655,-10.8943661414009,-12.5873816637606
-12.1424510372328,-10.8629910188331,-12.5922869740462
-12.1323938120525,-10.9135600240175,-12.5923141586706
-12.1416727814459,-10.909472725429,-12.5943915948034
-12.1676280311343,-10.8984415795932,-12.5971142329726
-12.1609759022767,-10.8997717601027,-12.6042982784269
-12.1613001497117,-10.9251468000361,-12.5996271026125
-12.1455155214357,-10.8713075509542,-12.5936317266582
-12.1447874931114,-10.9081553950277,-12.5952457568614
-12.1561783720563,-10.9162514240782,-12.5962752045724
-12.1573549787327,-10.8609970002262,-12.5856317385061
-12.1555211811818,-10.906542964306,-12.6034383753817
-12.1512256758907,-10.8838416926996,-12.5941474144343
-12.1634260708087,-10.8866889896929,-12.6060694966021
-12.1549372334154,-10.9077158989761,-12.5905183864143
-12.1603323258534,-10.927879042173,-12.6134292968753
-12.1533730996765,-10.8789524430487,-12.6001666806756
-12.1666195053678,-10.9335354493354,-12.619624963821
-12.1734668057813,-10.909472725429,-12.6000992493375
-12.15180651559,-10.8919128821695,-12.6027526103571
-12.1676644022339,-10.8878106948021,-12.5998969280371
-12.1738954683349,-10.8983676287705,-12.6015951560886
-12.1718331057085,-10.9036781590265,-12.6017028827861
-12.178367374438,-10.9242824334909,-12.605707457109
-12.1591801795919,-10.9091801352725,-12.5994786675897
-12.1692686098581,-10.902279505922,-12.6143072483783
-12.1629145912124,-10.9279508425679,-12.6074627955963
-12.1646984152225,-10.9270170350799,-12.6028333130082
