meanPPG_1,meanPPG_2,meanPPG_3
-12.0802202651066,-11.0224252076655,-12.705210229501
-12.064030856278,-11.0550084968596,-12.714419198939
-12.0728097882754,-11.0187602820973,-12.7041898584347
-12.0682233728356,-11.021314060128,-12.7068236907246
-12.069571132175,-11.0305577140207,-12.7037887133424
-12.079777862513,-11.0367588836891,-12.7062538175969
-12.0770567569407,-11.0241874376682,-12.7139980677745
-12.0828932004126,-11.0630695015273,-12.7229717880845
-12.0858127950989,-11.0248393281737,-12.7221962103895
-12.0725355386036,-11.0344379491162,-12.7371948922035
-12.0852036030492,-11.0272476347369,-12.7189441750031
-12.09534218192,-11.0396524972568,-12.7326456262638
-12.0836959501561,-11.0167256933996,-12.7156815293683
-12.0863201718031,-11.0341797346676,-12.7224587809568
-12.0996226477132,-11.0436895409634,-12.7229479331227
-12.0916657791948,-11.0345670313417,-12.7272920661602
-12.0890949105322,-11.0370164331078,-12.7388984801358
-12.100278702623,-11.0606202900162,-12.74200445489
-12.090381171034,-11.0629440467535,-12.7438751003403
-12.0987045604972,-11.0289364951578,-12.7406460454252
-12.0991219773608,-11.0209870169227,-12.7599692529434
-12.1126242315638,-11.052856324868,-12.7830454957732
-12.1036910218979,-11.0544392548848,-12.7884111628586
-12.1160658777426,-11.0616886326159,-12.7963672739721
-12.1092808687028,-11.0354701406793,-12.8198085856658
-12.1233755848432,-11.0589211611974,-12.8214204336357
-12.1110584219265,-11.0495557823605,-12.7990347834263
-12.1052794614934,-11.0410641112224,-12.824108273595
-12.117585634874,-11.0404868736089,-12.8165879360416
-12.1182300140533,-11.0565880264883,-12.8128010007798
-12.1069592426328,-11.0359213896797,-12.8123538930685
-12.1032921321357,-11.0645737324596,-12.8301483800877
-12.1229410053463,-11.0527929555198,-12.8126047342055
-12.1133047314282,-11.0381102787273,-12.7878412381067
-12.0866808164594,-11.0491106454736,-12.7580709223285
-12.0967766181172,-11.0348251458169,-12.7407397881016
-12.0755937322039,-11.0239265624303,-12.7266505607388
-12.0753943218881,-11.0172511449716,-12.728490815332
-12.0739859231526,-11.0263370655683,-12.7192195729848
-12.0687110699682,-11.0198742693034,-12.7286450054487
-12.0644226719453,-11.0301688611318,-12.7295933447407
-12.0693074583953,-11.0240570085563,-12.7347106821346
-12.0744080807263,-11.0543127126512,-12.7279925001017
-12.0750637829356,-11.0028329057801,-12.7471403332069
-12.0908806252924,-11.037209551651,-12.7348403433066
-12.0861398006891,-11.0187602820973,-12.7164021462475
-12.0789378935652,-11.0261418356845,-12.7328700388059
-12.0715750720175,-11.0002982192576,-12.7273276932867
-12.0894714112713,-11.0160027463732,-12.727398943732
-12.0899993973538,-11.0217717410017,-12.7404702542178
-12.0897298222699,-11.0286119357443,-12.7441086851677
-12.0798062275253,-11.026987556712,-12.7378061679078
-12.0781881363491,-11.0299743779702,-12.7269951240676
-12.0804867465608,-11.0440092442814,-12.7324920518183
-12.0797097832006,-11.014818613612,-12.7355119547869
-12.0933181953186,-11.0394598499613,-12.7196624454388
-12.1049088667953,-11.0355346172905,-12.7436064103194
-12.0995169715106,-11.0346960969072,-12.7339559562176
-12.073820434404,-11.0265973128046,-12.7380176763161
-12.080645467722,-11.0293258274578,-12.7424256553174
-12.0938889045242,-11.0275076451388,-12.7408452381096
-12.1010398539427,-11.0334693009503,-12.7353706003759
-12.1031591335154,-11.0374669850415,-12.7468142892813
-12.0831250464453,-11.00960494069,-12.759497882915
-12.0940119559767,-11.0426017845136,-12.7534886029556
-12.09650886407,-11.050572494655,-12.7646478922903
-12.1077318781308,-11.0072863678915,-12.7595093823889
-12.0938553424091,-11.0087443839229,-12.7669790288604
-12.1220712793639,-11.0375956768891,-12.7720453283843
-12.1194357438705,-11.0192846659583,-12.775084155106
-12.1293481764087,-11.038560338207,-12.7905315573767
-12.1133925041408,-11.0366944859687,-12.7858831407511
-12.1054840594177,-11.0232740764356,-12.7791967834904
-12.1055835784094,-11.0570298480627,-12.7863982122007
-12.1080683398256,-11.0394598499613,-12.7868123163706
-12.1139628390635,-11.0322409981162,-12.7908213672188
-12.1127559773605,-11.0660757040793,-12.7670931606599
-12.0966260152873,-11.027442648876,-12.7341564858524
-12.0845883938163,-11.0564617558902,-12.7178178463555
-12.0718667397585,-10.9994964553341,-12.7162580644087
-12.0677813711924,-11.0387531588523,-12.7106226185285
-12.0576306401699,-11.0294555712141,-12.708131957216
-12.06423254528,-11.0022998212069,-12.7117691377617
-12.0686881248471,-11.019808774985,-12.7143229560218
-12.0620752462574,-11.0374669850415,-12.7106829944289
-12.0679248996386,-11.0435616310118,-12.7235322159322
-12.0682807613155,-11.0048959285062,-12.7188842958392
-12.0583959640784,-11.0219678258417,-12.7197701415206
-12.0656719992271,-11.022817082793,-12.728490815332
-12.0787164328892,-11.0185635672349,-12.7160178818689
-12.070539250235,-11.0232740764356,-12.717158235502
-12.0954594698872,-11.0020998412042,-12.7378531736426
-12.0817275012573,-11.0246438056391,-12.7405757326505
-12.0730554064204,-11.0232740764356,-12.7327519332193
-12.0798062275253,-11.0336631056604,-12.7321493776567
-12.0852543832303,-11.0306872980562,-12.7344748914685
-12.0811328109743,-11.015608191229,-12.7377121498093
-12.0797097832006,-11.0266623640325,-12.7402944321025
-12.0795963073793,-11.0163971459051,-12.7348757025268
-12.0842156977513,-11.003432286438,-12.7429752890063
