meanPPG_1,meanPPG_2,meanPPG_3
-12.4408047889748,-10.6120158351344,-13.142612963623
-12.451142058678,-10.5722395762614,-13.15390855501
-12.391364785769,-10.6885756067944,-13.1262199313312
-12.419004231768,-10.6762773607483,-13.1417737709242
-12.4298519946821,-10.6179068683716,-13.1540868254001
-12.4298400022373,-10.6127049132736,-13.149433648927
-12.4413305212074,-10.6624224736341,-13.1600521485026
-12.3856529485187,-10.6527314724479,-13.1633517580816
-12.4236607941307,-10.6740586300609,-13.1439761301404
-12.4372359524646,-10.6626097220196,-13.1481324835383
-12.4349875107276,-10.6572593549125,-13.1126766118148
-12.4378865008919,-10.5981336092198,-13.1552099728093
-12.4213412708479,-10.6089584827849,-13.1703150949375
-12.4087767268069,-10.6655075973824,-13.145720464431
-12.4198444185974,-10.6767389773377,-13.143239937632
-12.4255213794054,-10.6578239014085,-13.1613609887492
-12.4366564493921,-10.6630776896448,-13.1519920801154
-12.4226225061661,-10.631325972886,-13.1718390208649
-12.4441008684437,-10.6585761346363,-13.1482182411484
-12.4027736540188,-10.6517855775609,-13.1302521788246
-12.4435095583198,-10.6233740302857,-13.1313944740099
-12.4263641335758,-10.6411299729826,-13.1599673998017
-12.4037219630416,-10.6272609266378,-13.1604834851136
-12.4270578693304,-10.626581809464,-13.1710011490102
-12.4227634224037,-10.6356631200636,-13.143749064725
-12.433299847382,-10.6636389618765,-13.1410281026335
-12.4262718665549,-10.6648539720732,-13.1428559627032
-12.4237693898871,-10.6371046656498,-13.1300696079886
-12.4050833275685,-10.6541486392967,-13.1497528380337
-12.4111784911574,-10.5866854022424,-13.1329155073381
-12.4001745408597,-10.6347971941904,-13.1200727559329
-12.424842646802,-10.6472327858592,-13.1442970657095
-12.4277270886729,-10.6411299729826,-13.1452357978643
-12.3845911465328,-10.6461865119253,-13.1136858362106
-12.3760643342832,-10.6583881293716,-13.1221793604743
-12.3818855670363,-10.6536764734633,-13.1213308445257
-12.3996184738454,-10.6376807025321,-13.1227313097089
-12.4184342803197,-10.6587641045616,-13.1411066202215
-12.3911113408908,-10.6288114647913,-13.1414206289378
-12.4178073628925,-10.6341231775071,-13.1001913853791
-12.4200906857339,-10.6444720625102,-13.1447665419391
-12.4614858844205,-10.6232766640425,-13.1324879505022
-12.4204700606577,-10.6380645428592,-13.1422993291457
-12.4194324921083,-10.6501755000241,-13.1231230887506
-12.3997544298948,-10.6641999192585,-13.1466812856555
-12.4257983626979,-10.6259022307766,-13.154683412475
-12.4260351426521,-10.6296825871423,-13.1063640683154
-12.4060581062726,-10.6243471716626,-13.1693156632334
-12.3952374008061,-10.6653208908845,-13.1346634207671
-12.4078536334803,-10.6471377152692,-13.1340705798959
-12.4149347000186,-10.6386400272411,-13.1282897815285
-12.3942975764054,-10.6342194934233,-13.1388585804135
-12.4121351427059,-10.654997976393,-13.1471340357295
