meanPPG_1,meanPPG_2,meanPPG_3
-12.2011706503599,-11.1071803176547,-11.9898550542867
-12.1620476100802,-11.1037534949307,-12.1275704173752
-12.1663386006447,-11.0859506733742,-12.1204058187731
-12.158283729944,-11.102608606131,-12.1275920504565
-12.1298609235843,-11.1045962592474,-12.1077318781308
-12.1198881992663,-11.0789374179288,-12.0873341535708
-12.1588290348302,-11.0908430510386,-12.0734551209153
-12.1657921710281,-11.0909650543329,-12.0747787478458
-12.1748141496274,-11.1312550054278,-12.05133512688
-12.1795797884717,-11.0516516200335,-12.0432713232221
-12.160316623692,-11.1080801647415,-12.0432477868879
-12.1652037749113,-11.0777019346978,-12.0302658217055
-12.1678410430456,-11.0956508989026,-12.0153478804715
-12.1912178574644,-11.113581583867,-12.0268502812739
-12.2372418009422,-11.124730368027,-12.0375356437068
-12.2678401434266,-11.1243174739285,-12.0362565682565
-12.2678448439228,-11.1405275605663,-12.0156382686257
-12.2604566587219,-11.1284975159279,-12.0002777325506
-12.2837602744893,-11.1468349043361,-11.9901529393053
-12.3036393683343,-11.1363976067567,-11.9944623300296
-12.326727110241,-11.1680096817261,-11.9942646038797
-12.3493544727923,-11.1681226250287,-12.0009409032676
-12.3702769040628,-11.2100349955658,-12.0067920944805
-12.3932117459701,-11.2157585533072,-12.0241670022322
-12.4033936461143,-11.213818374849,-12.0293593330938
-12.444502759702,-11.2239625726187,-12.0233510087149
-12.4408561885253,-11.0905989997867,-12.0650388947495
-12.444242730861,-11.0883386976545,-12.1103103635431
-12.4628830543149,-11.0849079523916,-12.1571344704077
-12.4525420221479,-11.0755981037133,-12.2070721458633
-12.4542131533613,-11.0755361592774,-12.2762887685398
-12.4720189483696,-11.101945176174,-12.3201688933286
-12.4599083371981,-11.0814038145423,-12.3498785738735
-12.4632233429448,-11.0699453880993,-12.3708749661052
-12.4515958928016,-11.0661382373001,-12.3792189043887
-12.4708647296877,-11.0859506733742,-12.3828957803359
-12.4502220215768,-11.0893167526258,-12.3901925842655
-12.4695900909827,-11.1163804542366,-12.3954525666916
-12.462755416219,-11.1015831196892,-12.3820071819993
-12.4803198732556,-11.0963185164432,-12.3722648203942
-12.4750152253578,-11.0946790224973,-12.3563529881127
-12.4919844018967,-11.116083074153,-12.3353274063874
-12.4864732724838,-11.0854601165824,-12.3202759482478
-12.4737649981851,-11.098560873675,-12.3068225486303
-12.4488148817771,-11.0664508447615,-12.3036166920317
-12.4334113847252,-11.0494922035068,-12.3002367142546
-12.4222036664265,-11.0799863798613,-12.2998908037327
-12.4073549720897,-11.0549452637508,-12.2954379166028
-12.4038040254336,-11.0596766860083,-12.2849577603747
-12.3731324994075,-11.0352121926544,-12.2668854849267
-12.3482056876687,-11.0438174345561,-12.2483847293158
-12.3288211107892,-11.00788308596,-12.2403001440794
-12.2323542389241,-10.9803312827311,-12.2217294358062
-12.114264327046,-10.9144337044517,-12.2035695153121
-12.0107631088954,-10.8833163052143,-12.1975161428471
-11.8371588254436,-10.7822010200549,-12.1883973538502
-11.3755810979035,-10.8270319131216,-12.1669575268016
-12.8854910157657,-10.689031582362,-12.1644586708097
-11.5348630664881,-10.7128164873855,-12.0635408707084
-11.6261737899056,-10.7354396959733,-11.7658608010922
-11.6701428661683,-10.7974508725262,-11.7595667689725
-11.7706559330438,-10.7856008326087,-11.5207745799136
