meanPPG_1,meanPPG_2,meanPPG_3
-12.6327642034193,-10.8742664696944,-12.5999239065757
-12.6245461102316,-10.8637568915825,-12.6058951976521
-12.6172911709459,-10.9199493581766,-12.543844037883
-12.6127270461496,-10.8593066425437,-12.5551225929291
-12.5948729980693,-10.8515869809249,-12.5490806204648
-12.6075598522691,-10.8667382032736,-12.5498609117658
-12.606722847225,-10.8504238745247,-12.5504280141714
-12.5846666030898,-10.904927929452,-12.5641805622728
-12.6267678513333,-10.8722948303205,-12.5654379671551
-12.6436111908862,-10.8615342426506,-12.5702156340764
-12.6102469208721,-10.8753265137097,-12.5812297374728
-12.578756264114,-10.8616109680122,-12.5825757066363
-12.63050997088,-10.8726742937638,-12.5599356396411
-12.6466989560652,-10.883466444093,-12.5692563613817
-12.6050333122161,-10.8848916402987,-12.5634813202226
-12.5972765442861,-10.8876612067982,-12.5517877492326
-12.6174601813901,-10.8454460311589,-12.573337319823
-12.7073962679283,-11.1073003440607,-12.560440931177
-12.6135457362911,-11.0893167526258,-12.5621654200412
-12.6191354843131,-11.0887055803784,-12.5670005328706
-12.5962582814355,-11.0744205027839,-12.5858232857983
-12.6422253683695,-10.8887071538491,-12.5740573918613
-12.6411612787044,-10.893846255764,-12.5795791408201
-12.6439791286637,-10.8840667742926,-12.5774016917087
-12.6591399108195,-10.870015020837,-12.5757033006291
-12.6370040505976,-10.882565272509,-12.575730939827
-12.6318337232735,-10.8675774815436,-12.5896329182503
-12.6637094954113,-10.8811367545412,-12.5792624650865
-12.6631778212264,-10.8695584345723,-12.6091749644491
-12.6304445549656,-10.8989590822847,-12.5852348452173
-12.6656439215186,-10.8743422244006,-12.587286043836
-12.6323366165531,-10.8854911157756,-12.5904503013079
-12.6281391841358,-10.8827906415518,-12.601285377174
-12.6068936531447,-10.9159608108823,-12.6032905050503
-12.639438223678,-10.883091054622,-12.6146528965385
-12.6357814850088,-10.9158881443852,-12.6189502133538
-12.6356285591629,-10.8771411217988,-12.6073690767661
-12.6712333165622,-10.8968874627217,-12.6209731004248
-12.6548558303519,-10.871383530136,-12.6195985115937
-12.6383711625191,-10.8769900301614,-12.6163926163645
-12.6383192399227,-10.8927313041489,-12.619691091328
-12.6490197766584,-10.9190080453378,-12.6165252951494
-12.6233147978725,-10.9341778247188,-12.5823972638919
-12.6101000539766,-10.8795554884461,-12.5753853949339
-12.6146495735673,-10.899624049615,-12.5601742813498
-12.6231599534661,-10.8823398526636,-12.5628235865811
-12.5564442651953,-10.8585373525604,-12.5532445785533
-12.6075096517179,-10.849802997516,-12.5618571931838
-12.6219335298205,-11.1035728101349,-12.5486405514662
-12.5756583853031,-11.1036932702928,-12.5529618650674
-12.6536069700539,-11.0753503029438,-12.5554329022536
-12.6150648594145,-11.0893778493113,-12.5692146329918
-12.6398012189112,-11.0810342426255,-12.5688668286769
-12.6241808254452,-11.097652415871,-12.5651866126322
-12.6461871367295,-11.106519914785,-12.5746524446379
-12.6042378406559,-11.1163804542366,-12.5834125899125
-12.6414039519946,-11.0836183823765,-12.593835319392
-12.6113544034974,-11.0988029897709,-12.5798819542343
-12.6192115677999,-10.9025741218187,-12.5742234887239
-12.6298948922745,-10.8760073776767,-12.5837416635731
-12.6505052296016,-10.8835415050801,-12.5808860877722
-12.6105939750861,-10.8892297174085,-12.5768772933747
-12.5958384959939,-10.911518462973,-12.5794965394269
-12.6250822776997,-10.9250027908193,-12.5748599379124
-12.6182418972298,-10.8966652487287,-12.578739041887
-12.6195654453256,-11.0893167526258,-12.5871904147675
-12.6486633247957,-11.0930368361963,-12.5856043716118
-12.6353551866228,-11.0816501199622,-12.5924500707085
-12.6331361531908,-11.0995894624815,-12.6033980492779
-12.650511641461,-11.1177472647302,-12.5874636164193
-12.6356155431174,-11.1092188098769,-12.5973441662254
-12.648281041532,-11.1076603368647,-12.5930886099698
-12.6408181999904,-11.1125672942302,-12.6010832957345
-12.6293056324987,-11.1210081694073,-12.6007868357342
-12.6438113141886,-11.1238453861114,-12.5873816637606
-12.5729493738535,-11.1159046036447,-12.5840980378796
-12.6649110499879,-11.084355483147,-12.5872313997738
-12.6404231900614,-11.1225459942801,-12.5982498593114
-12.6152508515502,-11.1111933804512,-12.5904775359067
-12.6705642363654,-11.1187563166039,-12.5835360052257
-12.6514249113348,-11.1089792028313,-12.5951102242859
-12.6730874376489,-11.1276158630656,-12.609041306773
-12.6509507559952,-11.0306225081374,-12.5982363475325
-12.6654386452871,-11.0411282281717,-12.5961804313173
-12.621801566704,-11.0589841434049,-12.5960044000104
-12.6691083047603,-11.0299743779702,-12.5975199618701
-12.6304347422094,-11.0341797346676,-12.5842350711103
-12.630264639133,-11.0806029026922,-12.5673489867841
-12.6150715025865,-11.0877269271717,-12.5558558962111
-12.6082122302098,-11.0860119760562,-12.5408577454506
-12.5971784843511,-11.0636965394209,-12.5367854713973
-12.6199092810813,-11.1115519747653,-12.5369147770977
-12.6152674563088,-11.1096978518023,-12.535692889345
-12.5985335645031,-11.1034523354645,-12.5366130377839
-12.5782670374269,-11.102427714334,-12.5465369034209
-12.6093253079844,-11.0892556522072,-12.5481008477221
-12.599640595613,-11.0971069447826,-12.5414299751592
-12.6224117501902,-11.0888278447141,-12.5486121532667
-12.6138716945448,-11.1020055061791,-12.5467503126339
-12.5869922968867,-11.10531806379,-12.5305301361446
-12.6312325319818,-11.104716596191,-12.5479587719955
-12.6337818425845,-11.0774546547757,-12.5523396139124
-12.6241380356141,-11.1054984335485,-12.5430304785161
-12.6218708495115,-11.0668258447659,-12.5417445619806
-12.6119243455687,-11.1166777459117,-12.5373456753837
-12.6267317382205,-11.0951043346525,-12.5227793970226
-12.5870367060316,-11.1285562651568,-12.5266187316011
-12.6255326992789,-11.0876045281507,-12.5390674141909
-12.6349742931463,-11.0887055803784,-12.5529901400129
-12.6207782616698,-11.1085597523054,-12.5511506036232
-12.6174502403899,-11.1022467898092,-12.5554893117868
-12.6500306378858,-11.1200013883564,-12.5531315027499
-12.6167707045034,-11.120593735252,-12.5623895253716
-12.6248257426319,-11.1098774333777,-12.5664845981458
-12.5974219258029,-11.1084998164367,-12.5567576857607
