meanPPG_1,meanPPG_2,meanPPG_3
-12.788573141003,-11.0618770452401,-13.2543105157605
-12.7476379274509,-11.0390101952243,-13.2549833548162
-12.7279746985357,-10.986376880739,-13.2397907942803
-12.7515750204271,-11.0042309022132,-13.2646751097786
-12.7735573918443,-11.0119181501416,-13.2887926515294
-12.788291058675,-11.0011660720441,-13.2317987794242
-12.7319573106159,-11.0202671451597,-13.2429797287616
-12.7918489576934,-11.0186947147761,-13.2516216532557
-12.75952950615,-11.0154108552639,-13.2551584990479
-12.796766192465,-11.0069547039304,-13.2805561626197
-12.7720652014522,-11.0374026329066,-13.2335612226547
-12.7659541124555,-11.0418332434228,-13.2593039521579
-12.7973448953837,-11.0100018711001,-13.2228383783462
-12.7525771406032,-11.0217717410017,-13.2453523939515
-12.7420863688687,-11.0517784994348,-13.2474371045962
-12.769364525495,-11.0118521326469,-13.26409208009
-12.7888272262626,-11.0113238357318,-13.2807883380361
-12.7747019748906,-11.019546754808,-13.242305857559
-12.7628329318272,-11.0533631351418,-13.2582988778444
-12.7654626937026,-10.9997637814067,-13.2508691627933
-12.790537131435,-11.0322409981162,-13.2478182425092
-12.7697743603998,-11.0275076451388,-13.253174072285
-12.7593397517377,-11.0119181501416,-13.2599316110111
-12.761493934556,-11.0216409964111,-13.2254974163013
-12.7856731170177,-11.035341174984,-13.2644669239095
-12.7517314868364,-11.0342442945308,-13.294095732644
-12.7907405633034,-10.9875951550014,-13.262417451018
-12.8114290545424,-11.0167256933996,-13.247310026337
-12.7959404766361,-11.0183012205422,-13.2421355445374
-12.8061583660193,-11.0241222252387,-13.262201838591
-12.8136918937068,-11.0249044938575,-13.2323794391703
-12.7790304600416,-11.0338568728174,-13.2377613488327
-12.7885200820867,-11.0284820824784,-13.2626191108881
-12.8073457361617,-11.0180388050057,-13.2622366179334
-12.8080114722835,-11.0230129627844,-13.2678134594224
-12.7388104346573,-11.0399734936323,-13.2499330341445
-12.7938565326507,-11.0222292124994,-13.2605867454765
-12.7925834969282,-11.0265973128046,-13.2531951292757
-12.8217230414691,-11.0181700213817,-13.2579496573011
-12.7632254026941,-11.030233680448,-13.2734556708465
-12.8038206423251,-11.0078168015335,-13.2497358427133
-12.7862106897219,-11.0003650039105,-13.2498485282924
-12.7762383016749,-11.0020998412042,-13.249355435109
-12.7570166563427,-11.0208561696867,-13.2640990229193
-12.7616976236239,-10.9975562011544,-13.2528371001171
-12.7566303901198,-11.0072863678915,-13.2537985745454
-12.7438342173853,-11.0018998212016,-13.2652508649529
-12.7412786380215,-11.0020331723153,-13.2722925879266
-12.747268392813,-11.0005653311123,-13.2786010208644
-12.7407661516461,-11.0257512615355,-13.2645918406318
-12.7559814729955,-11.0138966510837,-13.2497499291051
-12.7602192188258,-10.9835284556188,-13.2627512108253
-12.7394500553665,-10.983052928284,-13.2682906230052
-12.7344070913609,-10.9929245432688,-13.2481639642067
-12.7446311336827,-11.0249044938575,-13.2637032046989
-12.7722922941836,-10.9907692248619,-13.2417380346477
-12.7335547762712,-11.0058262229451,-13.2496020120933
-12.7606988633811,-11.001766452303,-13.26601340355
-12.7773685262578,-10.9993627654944,-13.248890295876
-12.7358269854314,-11.0024331189944,-13.2388869536079
-12.7588393174423,-11.0142918819696,-13.2479664235867
-12.7700389562029,-11.0138966510837,-13.2629667048462
-12.7202815395774,-10.9996969565879,-13.2598897793417
-12.7672757444493,-10.9618332479757,-13.2095607370981
-12.7560939821369,-11.0150818754274,-13.241532119193
-12.7323916250042,-10.9975562011544,-13.2700865880936
-12.7664681294237,-11.0015663655981,-13.2534197095922
-12.7482748358783,-11.0165942873547,-13.2535951278776
-12.7452962038167,-11.0093402328597,-13.2713556325494
-12.7495590515357,-10.995947621719,-13.2513615103162
-12.773322080048,-11.0404227155234,-13.2204841492465
-12.7788077124349,-11.0203980694856,-13.2468227433536
-12.7780206495632,-11.021248660043,-13.2618678953443
-12.7618123597596,-11.0020331723153,-13.2570411127269
-12.7547141499804,-11.0155424169007,-13.2942978413118
-12.7925695902117,-10.9937988161649,-13.2733800083699
-12.8141656234937,-11.0380459679777,-13.2392642462882
-12.8079430013624,-11.0275076451388,-13.2633350225765
-12.7567889502786,-11.0321763087867,-13.2672945449797
-12.8264958957086,-11.0243178497707,-13.3002082621712
-12.8343772587352,-11.0177763205892,-13.272203063953
-12.8206067210476,-11.0063574314569,-13.2743081975396
-12.7819188617187,-11.0176450525397,-13.2520152544303
-12.7606443046392,-10.9909714834164,-13.2602731708275
-12.782688818819,-11.013435350868,-13.2643766965712
-12.7724682555861,-11.0320469175722,-13.2726987883404
-12.7541160163129,-11.0301040376138,-13.2488761973697
-12.8155120770166,-11.0411282281717,-13.2231132805045
-12.777340286206,-11.0306872980562,-13.266581463364
-12.7579903073514,-11.0181700213817,-13.2582150760356
-12.8083154265668,-11.0332754586727,-13.2587247618219
-12.7977378901193,-11.0004317841035,-13.2641267937544
-12.7609429055241,-11.0308168653017,-13.2531249375822
-12.7447741027418,-10.9936643623831,-13.2720653191114
-12.7343304422252,-10.9970872993807,-13.2559007700109
-12.7358034351708,-10.9734259806196,-13.2310240415768
-12.731720869759,-11.0107952595715,-13.2419723006685
-12.7416767318599,-11.0153450679543,-13.2691751935279
-12.7249854794788,-10.9956121750687,-13.2670107578735
-12.7576130580701,-10.9863091552979,-13.2782519747491
-12.7615742675939,-10.994605159442,-13.2394421651363
-12.7293148633512,-10.9793087529034,-13.253468829814
-12.7418727933653,-10.977055500098,-13.2444181650116
-12.7257321355505,-10.9815569399729,-13.2402744048694
