meanPPG_1,meanPPG_2,meanPPG_3
-12.3519679144584,-10.6894873501107,-12.954086727531
-12.3338896169056,-10.7021652343055,-12.9322386549473
-12.3234467086798,-10.6558465927279,-12.9216464586517
-12.3621571685624,-10.6536764734633,-12.9147683193368
-12.353345441131,-10.6758155309705,-12.9028532173225
-12.3363637942297,-10.6866582357437,-12.8949406836052
-12.3720657829724,-10.7040531298633,-12.9004490702598
-12.3355997818103,-10.6735031773527,-12.9163129035163
-12.3498309396696,-10.6696063455519,-12.9451105528552
-12.340664725427,-10.6707212764488,-12.9148470819758
-12.3399214877622,-10.6656942690276,-12.9148175467132
-12.3555825737078,-10.692671921293,-12.8979690441885
-12.345417109469,-10.6940336390832,-12.9051422538419
-12.334030409303,-10.6762773607483,-12.9024446208457
-12.3346505398142,-10.6803322921176,-12.9002393062436
-12.3509173011798,-10.6922176029898,-12.9235318784718
-12.3049491855777,-10.6803322921176,-12.9214899947358
-12.3703532723276,-10.6896695990633,-12.9023549065856
-12.3132125770881,-10.6695133785086,-12.9022751538191
-12.3149943127541,-10.6846456104188,-12.9138719574224
-12.3591327308754,-10.6781225499423,-12.9191400935253
-12.3558107470948,-10.7240600213513,-12.9014174096336
-12.3820071819993,-10.6910354085176,-12.9198260519831
-12.4064755778743,-10.691853999677,-12.9156146927758
-12.3537509963806,-10.675723139415,-12.9057087275582
-12.331788576845,-10.6947591310893,-12.9185223283446
-12.3544754091205,-10.6869323710769,-12.9265236606175
-12.3769034356086,-10.6770158450429,-12.9126196461531
-12.3443639418179,-10.6843708474002,-12.9356771091005
-12.3706883752052,-10.6497014540328,-12.9133692491945
-12.3377322875219,-10.7049508765795,-12.9469236861591
-12.3745234466383,-10.6693274184895,-12.9011180233732
-12.330358933571,-10.6626097220196,-12.9462846932664
-12.3712607595833,-10.7102312396786,-12.937699880408
-12.3794669729241,-10.6968419935131,-12.9468950832674
-12.3523567505473,-10.6670931967446,-12.9415414955356
-12.3699246860405,-10.6951216798107,-12.9081002778961
-12.3188878061488,-10.6873890963645,-12.9298557179652
-12.3493024808511,-10.6892139143892,-12.927807282942
-12.387623071746,-10.6540542239636,-12.9553449284698
-12.355384494217,-10.8140820918654,-12.915949108044
-12.3726373797117,-10.8271113317771,-12.9233757093012
-12.3948276300444,-10.8431822621893,-12.9457980218507
-12.3790380699001,-10.8400513892498,-12.9200513356701
-12.3741769477525,-10.821377005774,-12.9194733321174
-12.3522833153118,-10.8151274861949,-12.9409278279899
-12.3649976245177,-10.8318649455454,-12.9538405783444
-12.3435580855957,-10.8147255407736,-12.9446806446101
-12.3368640377798,-10.8235312332796,-12.9542854961129
-12.3699543959655,-10.8376182025386,-12.9514042233276
-12.3859077804042,-10.7994122984574,-12.9560065041782
-12.3880107954998,-10.8334444751741,-12.9210008871518
-12.3602347538636,-10.8355728903089,-12.9505781183653
-12.3523221934612,-10.8142429929116,-12.9632550956178
-12.3721250748579,-10.8190580250858,-12.9532533625825
-12.3727008702971,-10.805517075058,-12.9380654689133
-12.3715955585481,-10.6856524294137,-12.9424421375434
-12.3503115080483,-10.7032444681543,-12.9530733403161
-12.3681957466982,-10.696118011581,-12.9299623934246
-12.3764312642016,-10.6810677890709,-12.9180317667399
-12.3496706988749,-10.6825371620968,-12.9140000583267
-12.3371052938919,-10.6320983973716,-12.9127084442707
-12.3680681880849,-10.6833627366059,-12.90313216291
-12.3416257431313,-10.6817109054512,-12.9089424082382
-12.3200796721403,-10.6764620329556,-12.9145910807141
-12.3386786100782,-10.6745212717531,-12.9208736799849
-12.3319032127659,-10.6821700212023,-12.9196986952714
-12.326829034166,-10.6787675626346,-12.9134481221007
-12.3598875547071,-10.6649473732782,-12.9232097528302
-12.3218002368741,-10.6644802799911,-12.9164112039027
-12.3339072170393,-10.6547149441726,-12.9123532044801
-12.343741093727,-10.7136174485817,-12.8987897336136
-12.3701368804283,-10.6660675078114,-12.9217246814302
-12.3162042613669,-10.6831793344963,-12.9199827764422
-12.3197896482893,-10.6532985802136,-12.9042471678041
-12.3541218922709,-10.6714638737167,-12.929118376436
-12.3706502045953,-10.681802745466,-12.9164505213518
-12.3753047412198,-10.6806081668723,-12.9224674928098
-12.3231309742054,-10.6676522203314,-12.9070292529816
-12.357548322153,-10.6977462344645,-12.9109606322931
-12.3478499470085,-10.6990107997129,-12.9378057224052
-12.3278698358986,-10.6587641045616,-12.9275351370702
-12.3308666026964,-10.6738735134369,-12.9004690454906
-12.363345588873,-10.6867496225383,-12.9214215340738
-12.3144336552002,-10.672113194272,-12.9063841012741
-12.3862335364325,-10.6513122943868,-12.9280987856405
-12.3637770035567,-10.6835461050854,-12.9235806763364
-12.3503028512014,-10.696118011581,-12.899539774901
-12.339877750692,-10.6704426602408,-12.9146009281284
-12.3575526193377,-10.6842792429481,-12.9076244084339
-12.3331413247374,-10.6850118437135,-12.9630956276776
-12.3666171270879,-10.6829041682482,-12.9232683288473
-12.3266650645044,-10.6854694467966,-12.8996797203226
-12.3326788643962,-10.6518802073221,-12.9290989653678
-12.350116710864,-10.6621415352982,-12.9221254771617
-12.3442289517351,-10.6819864001956,-12.9146895504938
-12.36313622161,-10.7050406069399,-12.9264263493283
-12.3375218719504,-10.8252035410553,-12.9228386916888
-12.3707647120543,-10.6632648153938,-12.8990598132888
-12.3504932845243,-10.6973846361962,-12.939219082254
-12.363418216254,-10.8459137580149,-12.8941168279142
-12.3530044748985,-10.8238499837803,-12.9222525252007
-12.3913855570912,-10.7787896093329,-12.9397665827359
-12.3635933547099,-10.8074627586876,-12.9395745114384
-12.3456345679027,-10.8422440291259,-12.9245561339033
-12.3900719607667,-10.7960591977897,-12.949656253472
-12.3284097401451,-10.7980233526073,-12.9319483567122
-12.3580595575279,-10.7904730500177,-12.8970374464311
-12.3703829695223,-10.7818687113371,-12.9419535920103
-12.337837478707,-10.7991673305062,-12.9494660725142
-12.3900012436745,-10.8166534070628,-12.9377095028706
-12.3663701093993,-10.8490263587693,-12.9157032253485
-12.3917178395843,-10.8143234337273,-12.9647172623216
-12.3724341827454,-10.7914611110285,-12.921020456049
-12.3522746755177,-10.8222552142852,-12.9274184804488
-12.3350725363917,-10.8368320389761,-12.9118892291908
-12.3438238721184,-10.7925304099171,-12.912461763361
-12.3316474684382,-10.7838609092235,-12.8862966807996
-12.3187716683556,-10.7738599924653,-12.9015670691585
-12.3160430194454,-10.849570069218,-12.8955430751177
-12.3314490010469,-10.8102934451991,-12.9135565621902
-12.3547986383122,-10.835021513823,-12.894880424491
-12.3105317550435,-10.8000652531003,-12.8873395340594
-12.3169116269521,-10.7888241090884,-12.8919131975743
-12.3435232231064,-10.7850211944523,-12.9072078368123
-12.3187582669731,-10.8084341827096,-12.922115703567
-12.3143484077245,-10.8046240366386,-12.8759716697703
-12.3351824021139,-10.7970417574364,-12.9096650839517
-12.3172069606814,-10.8096471372108,-12.9100707413944
-12.3237267839908,-10.8114234800275,-12.9151620705109
-12.293433128242,-10.8148059427837,-12.9004191066656
-12.3303501022623,-10.789731363058,-12.904993128462
-12.3252591403213,-10.7606225832015,-12.9166077756913
-12.3456171729681,-10.8224945919045,-12.9212259063527
-12.3499218757264,-10.8009623701526,-12.9007286871865
-12.33395561581,-10.8051112473669,-12.9049334720827
-12.3435624433214,-10.8487155343049,-12.876657193481
-12.3212032777838,-10.7926126163375,-12.9141576984543
-12.3627045303352,-10.8035675983623,-12.9012477684244
-12.3354811758258,-10.7962230247887,-12.917590055445
-12.3455214954187,-10.8097279485568,-12.9248485857239
-12.3720869590494,-10.8131161415367,-12.8878453816684
-12.3380390642215,-10.8224148057314,-12.9049235290068
-12.3445468025439,-10.851354467845,-12.9052018977677
-12.3752709681327,-10.8095663193339,-12.9147978560534
-12.3400133293836,-10.8126328162494,-12.9169615075663
-12.3343647118235,-10.8184974645106,-12.9132805097385
-12.3641399311481,-10.7978598203093,-12.9065925804195
-12.3361487003448,-10.7994122984574,-12.9366890062046
-12.3171353726348,-10.8376967849126,-12.9229461182848
-12.3526936195689,-10.7934343090707,-12.9141182907521
-12.3603161781893,-10.8523616343063,-12.8908246853017
-12.3361926008137,-10.8102126795406,-12.909971815727
-12.350432696037,-10.8322600619123,-12.9478861730707
-12.3195531050332,-10.8126328162494,-12.9076244084339
-12.3101893880227,-10.8133577166074,-12.9262998304939
-12.3302838649605,-10.8395809117065,-12.9337758302317
-12.3277281734004,-10.8200982332212,-12.9165094946271
-12.343113497791,-10.8172952041165,-12.947495572255
-12.3565379713464,-10.7936806852884,-12.9432941261266
-12.3572990538402,-10.8424786699311,-12.9412730623211
-12.3496100605264,-10.8384822692041,-12.9285650132846
-12.3433053050079,-10.8253626627042,-12.9434376482556
-12.3576385591541,-10.8293324972151,-12.9436863711604
-12.3403674966461,-10.8026728165073,-12.9509960038707
-12.369848285037,-10.821776287073,-12.9375459084113
-12.3632900467282,-10.8125522393185,-12.9263290285687
-12.3619561089348,-10.8315487400092,-12.9236197129137
-12.3814660916261,-10.8185775638338,-12.9086452667373
-12.3792189043887,-10.6799643406831,-12.9452633645914
-12.3872185114704,-10.6827206820092,-12.9464373256992
-12.3781586641365,-10.6842792429481,-12.9461702036515
-12.350488956897,-10.6750761594026,-12.9343939010978
-12.3370438887672,-10.6952122964571,-12.9338627695337
-12.3718667059268,-10.65490364122,-12.9302726573454
-12.4355918292377,-10.7104989892451,-12.9375747799666
-12.3719853097901,-10.6802403169509,-12.9400738200984
-12.3659611184084,-10.7053994478875,-12.9225554207871
-12.3439197122223,-10.6913083466988,-12.9351755997397
-12.3402275937035,-10.6672795726654,-12.9084867551606
