meanPPG_1,meanPPG_2,meanPPG_3
-12.5549321281592,-11.0686363650045,-12.8272618487326
-12.5380454893335,-11.2193057998517,-12.8431361286532
-12.5425198818389,-11.1786268642899,-12.805864733856
-12.5193676386662,-11.1672752391632,-12.7925918408653
-12.516164238495,-11.1843658408994,-12.7962342657697
-12.5365842959573,-11.1686307120919,-12.7943369741106
-12.5636666669877,-11.1917831227739,-12.7863982122007
-12.5498360936912,-11.1889666084172,-12.7872486189925
-12.5532481119661,-11.1860312126621,-12.7858159379555
-12.541136748339,-11.1543057740936,-12.7790050862361
-12.5394400671979,-11.154019462642,-12.7662711208132
-12.539228675325,-11.1697588710563,-12.7776621755297
-12.554738098966,-11.1894089395092,-12.7751520829666
-12.5288298307653,-11.1762772128592,-12.7824612654799
-12.5241444855558,-11.2002947471545,-12.7941259415497
-12.5290868708596,-11.1919485533073,-12.8016069972231
-12.5172270741671,-11.1888006838019,-12.8023894914357
-12.544517934403,-11.1647854234813,-12.8003824329763
-12.5336951240173,-11.1714487266942,-12.7933036004986
-12.5692911337099,-11.1763892263009,-12.8074553528323
-12.515951535739,-11.1718426157913,-12.80127618176
-12.5502224767079,-11.1782356389111,-12.8039746441734
-12.5202554510344,-11.1922242100612,-12.8097107870834
-12.4922398211049,-11.1694769506124,-12.7816967566396
-12.5307325331035,-11.1948116760648,-12.7998855605022
-12.5574475691414,-11.1927202008129,-12.8132697039521
-12.5066215836888,-11.1686307120919,-12.8013864657414
-12.5681221207664,-11.1543630265483,-12.7705338184621
-12.5209892191857,-11.1773408343103,-12.7992889874651
-12.5521875277677,-11.1748759851547,-12.7921244731386
-12.5237806441139,-11.1929405622065,-12.7824837421884
-12.5667042515476,-11.1925548978949,-12.8177385842222
-12.5448030448674,-11.1904034696757,-12.802962197598
-12.5562963247375,-11.1739220275615,-12.7822814336222
-12.5425448821514,-11.1849767992899,-12.8082661429588
-12.5153021457575,-11.1630842606101,-12.7840895188365
-12.5188448125415,-11.1440622593066,-12.7788810272516
-12.5123139254932,-11.1693641601769,-12.7763853031282
-12.5176116156062,-11.1368055440565,-12.7590493002561
-12.5071249369201,-11.1288499595405,-12.754506144063
-12.4975101574834,-11.136106121052,-12.7569878356564
-12.488823831116,-11.1243174739285,-12.760922810186
-12.5019758318285,-11.1290848529587,-12.7647622904418
-12.4837195335288,-11.1579062923424,-12.7625750203925
-12.4750534339845,-11.1479302894158,-12.7621048773342
-12.4932908604167,-11.1390752962313,-12.7365479437192
-12.4905483330194,-11.140469510469,-12.7605208185995
-12.4962391292749,-11.1375627006785,-12.7610835615843
-12.5228340363574,-11.1457960631276,-12.7569993640306
-12.4894077837383,-11.1620621720536,-12.7552108779396
-12.5129468648552,-11.164388744248,-12.7542518558375
-12.5222838640959,-11.1533892887505,-12.7586235357435
-12.5295645726886,-11.1611527710588,-12.7404116502808
-12.4960146623828,-11.1497724406477,-12.7321021030384
-12.4957527206446,-11.1429626267046,-12.7513228841504
-12.5104938339862,-11.158476612878,-12.7499306433464
-12.4845562918775,-11.1469502645485,-12.753014167496
-12.4934409187521,-11.1601287054291,-12.7446340516229
-12.4963737852291,-11.1357562260169,-12.744248809879
-12.525035338015,-11.1628572200824,-12.7487108405708
-12.4894303815018,-11.1571643890412,-12.7373359889961
-12.494168382411,-11.1845325029369,-12.7537893478799
-12.5456294058276,-11.1569360003226,-12.7544021248772
-12.5272318045851,-11.1528160585829,-12.752134130385
-12.5299154657512,-11.1555645715362,-12.7471403332069
-12.5553165475408,-11.1714487266942,-12.7700787817669
-12.5236751053292,-11.1730233530458,-12.7606586624915
-12.5495275890674,-11.168517826163,-12.7509402111167
-12.5056289395442,-11.1529307309068,-12.747978244065
-12.5310360517542,-11.1884134192677,-12.7449141342491
-12.5519929652585,-11.1772848824289,-12.7691453087243
-12.5520248053505,-11.168743585279,-12.770965911619
-12.5482748629826,-11.1631410126886,-12.7734525006546
-12.5749221775003,-11.1668795465547,-12.7914118734558
-12.5486653992293,-11.1847546757883,-12.7818542033049
-12.4919693752056,-11.1433678952005,-12.7599462644377
-12.5053398504324,-11.1670491482737,-12.7771877761443
-12.5570182078625,-11.1634247247795,-12.7820003815864
-12.518160704133,-11.1665968130856,-12.7920131629057
-12.4868811490388,-11.1769491053817,-12.7760573471392
-12.5915731132187,-11.1723488167639,-12.7850876180452
-12.5526401812797,-11.1761651868691,-12.7623342430244
-12.5693224277715,-11.1440044140427,-12.7852221170366
-12.5250753168625,-11.1869182781968,-12.7894607620974
-12.5365807031709,-11.1588756438082,-12.7771651800828
-12.5100180009467,-11.1555645715362,-12.7920799505322
-12.5508389624048,-11.1756609145513,-12.7599002858407
-12.5294596426027,-11.1385519643397,-12.7583818049498
-12.5021915278022,-11.1681790918968,-12.7460336809497
-12.5081308839265,-11.1333035268196,-12.7432908994521
-12.4784024730273,-11.1568217863998,-12.7188603431697
-12.4980890611308,-11.14145590412,-12.7400482291949
-12.4900365642073,-11.1494848281173,-12.7344277266629
-12.4839089066664,-11.0399734936323,-12.74576557037
-12.5255694688025,-11.1468349043361,-12.7257945795182
-12.4954645054619,-11.1389008826964,-12.7404585337052
-12.4861937054331,-11.1337127280061,-12.7516938212345
-12.5138697964602,-11.1668230062556,-12.7400482291949
-12.4782006278571,-11.1499449684682,-12.7543558906546
-12.4856381173174,-11.1420356815018,-12.7420395617025
-12.5206497814446,-11.1217182286088,-12.757736903678
-12.523977134934,-11.1522998703348,-12.7404116502808
-12.4828631192752,-11.1709983776661,-12.746616282164
-12.4871982713827,-11.1321919930812,-12.7451008124281
-12.5502685491231,-11.1539621905135,-12.7542171751598
-12.487202046043,-11.0671382373835,-12.767264333939
-12.4873228276512,-11.0130397812426,-12.7565265916732
-12.4919130231026,-11.1544202757253,-12.7463716309946
