meanPPG_1,meanPPG_2,meanPPG_3
-12.3788277561112,-10.7322140273379,-12.8116337385315
-12.354652120691,-10.8142429929116,-12.8099950923417
-12.3520456937726,-10.8295701868728,-12.8377379619465
-12.4097030476454,-10.8427914387193,-12.805216791599
-12.333647583649,-10.8146451322985,-12.7948144097353
-12.4119438855968,-10.8298870185586,-12.8052387626192
-12.3917842828355,-10.8168941292304,-12.8045904145105
-12.3407958276913,-10.825919389167,-12.8195162275792
-12.3926476436037,-10.8260783969588,-12.8300626553925
-12.3129609934577,-10.8031609785868,-12.8122993540594
-12.3034942311113,-10.8317068552756,-12.8206202432775
-12.300550661,-10.8298870185586,-12.7988026276376
-12.408956345037,-10.8389532637963,-12.7981722186804
-12.4205023412405,-10.8156096075381,-12.8056231773525
-12.3814702872513,-10.8613807742648,-12.8257993098921
-12.4064428413014,-10.8406000001026,-12.8241298334505
-12.3534705767847,-10.8391886779301,-12.8048102406289
-12.4161066408907,-10.8241686327116,-12.8257024487317
-12.3079792031365,-10.8369893211406,-12.8206202432775
-12.368025664931,-10.8228934273104,-12.8450275970067
-12.3970730981836,-10.833917847964,-12.8026538581138
-12.3997420710177,-10.8111814371848,-12.8292157292013
-12.3740163343782,-10.8521293012946,-12.8150117887967
-12.3414729157146,-10.84762688723,-12.8255194631602
-12.3835198419079,-10.7010848344525,-12.8096779774286
-12.4044151783783,-10.7510710864005,-12.7934036510798
-12.3426425422222,-10.7101419738897,-12.7869801475999
-12.3616480242775,-10.7277507109536,-12.7745065819165
-12.3669832824184,-10.7223859384016,-12.7706475452904
-12.3543978185658,-10.7024351519823,-12.7836293849406
-12.3358984308648,-10.7344817997882,-12.7923359284527
-12.3473464878866,-10.7155726571676,-12.7838650897271
-12.3590726636,-10.7145955307296,-12.7974417746265
-12.3376621539174,-10.7217684638528,-12.8004817778521
-12.3671152357753,-10.7101419738897,-12.7823713535935
-12.4389288756982,-10.740648493235,-12.7816180240099
-12.3946744402813,-10.7428108432537,-12.79193523837
-12.3472857084335,-10.7087126365014,-12.7694413823349
-12.3543590210308,-10.7380474860464,-12.7929589051891
-12.4363427425862,-10.737352740035,-12.7708408512203
-12.3571486032404,-10.7357877944886,-12.8020589347752
-12.3552897466761,-10.7211506077936,-12.7974971299802
-12.4055012062259,-10.7224741179352,-12.7795124400587
-12.347893336792,-10.7113018080742,-12.7790501947786
-12.4149590449374,-10.7177898546525,-12.8054035298858
-12.3729378662058,-10.7142399751703,-12.7925139614116
-12.383515654873,-10.7416870047952,-12.7871479506666
-12.3678725666033,-10.7078182620567,-12.7933925348428
-12.349493104755,-10.7240600213513,-12.7955134970664
-12.4079435295687,-10.7104097473549,-12.8034685490167
-12.3119495278478,-10.7288026966735,-12.7883441297442
-12.3377410538766,-10.7114801247651,-12.7928476878035
-12.3640502789346,-10.7001836087246,-12.7908770902531
-12.3176095479812,-10.7019852487039,-12.7783620683167
-12.3180790284091,-10.7183212513527,-12.810771052905
-12.3625634422896,-10.7208856954339,-12.8016731471851
-12.3767179662864,-10.7065647924683,-12.8105306787943
-12.3626660537514,-10.7273998029756,-12.7983602769791
-12.3727516598633,-10.7517563699634,-12.8199926191388
-12.3957214589605,-10.7303786031457,-12.7759781692321
-12.4101190006732,-10.7196485089912,-12.7984708829895
-12.4018861091724,-10.7244121030379,-12.7814717898212
-12.380017549257,-10.7649418785044,-12.7872598037365
-12.3441070095443,-10.7233554858752,-12.8197436245883
-12.3744262700409,-10.7005441964866,-12.8047442978672
-12.3762119659551,-10.6946684733674,-12.7924138217723
-12.3743079553491,-10.7312530348208,-12.813313293081
-12.345838935722,-10.7268732100198,-12.8196570032534
-12.3879732804156,-10.7746135404559,-12.8055353241552
-12.3302617848849,-10.7294158443299,-12.8143044328094
-12.3730944219791,-10.7324759560075,-12.825045697902
-12.4253487278179,-10.7141510665239,-12.7978070633471
-12.3550700701166,-10.7533820387706,-12.8118738476731
-12.3982991526097,-10.7645192420923,-12.8244423991323
-12.3888649248502,-10.7199137492562,-12.8198627166737
-12.3947945099218,-10.7169922297598,-12.8096014173809
-12.3516610592679,-10.7736086835634,-12.7895723567856
-12.3824222389288,-10.7304660807296,-12.7783169287225
-12.340411212302,-10.66644060734,-12.777391117725
-12.33996084949,-10.757221797744,-12.7856030993032
-12.3690542179922,-10.7060271098673,-12.7707385174416
-12.3737457693183,-10.7313404359484,-12.7868794522424
-12.3680724403008,-10.724148053395,-12.7731235812653
-12.3344834502934,-10.6867496225383,-12.7726129748239
-12.352218515037,-10.7363966754712,-12.7656198596859
-12.341665037835,-10.6806081668723,-12.7778767108639
-12.3054382274277,-10.7318646823562,-12.7716023403661
-12.3286884290704,-10.7209740073517,-12.7573797258399
-12.3547943292768,-10.7496132976932,-12.7885452156085
-12.3663914064311,-10.734046088919,-12.778079912418
-12.3287326582661,-10.7138842931463,-12.7832139603314
-12.3676981760659,-10.6949404218802,-12.7772781552849
-12.3902965583636,-10.7362227473031,-12.766933372493
-12.3825186416408,-10.7252038338908,-12.7694527680311
-12.3274846440838,-10.7526978687277,-12.7797941921075
-12.353237552998,-10.7455718458704,-12.7690428012782
-12.3896142910464,-10.7210623114711,-12.7837191837913
-12.4420258024095,-10.7001836087246,-12.7740193491059
-12.3509519068483,-10.7233554858752,-12.7689630659993
-12.3877273133364,-10.7298535768823,-12.7690997511566
-12.3631148551387,-10.6950310549523,-12.7819216728592
-12.3605989690802,-10.7422923055184,-12.7938148650002
-12.3770720142383,-10.748153380735,-12.7942036955694
-12.4045094841546,-10.7001836087246,-12.78695777173
-12.4067742496056,-10.7035140947232,-12.781269276404
-12.3820029886261,-10.7217684638528,-12.8071155020345
-12.3908619881676,-10.7185868438468,-12.7936704037017
-12.4008949085665,-10.7540657410449,-12.7810329589048
-12.390196743437,-10.7171695347248,-12.7948699107149
-12.3977544251044,-10.7199137492562,-12.7896616235706
-12.3368289411324,-10.7458302994579,-12.8008569916732
-12.3726373797117,-10.7312530348208,-12.8037656359168
-12.3637898150085,-10.7571366297501,-12.7860399297135
-12.3536517799744,-10.6896695990633,-12.8027970275551
-12.398241392545,-10.6886668185426,-12.8057769018785
-12.3863587989621,-10.6364322029701,-12.7989352946878
-12.4020464186111,-10.714506653691,-12.7876959112048
-12.3912193744312,-10.6944871332636,-12.8161533848718
-12.4013803494633,-10.750385332902,-12.803611601875
-12.3726035164178,-10.7031545764737,-12.8028520872673
-12.3855944533488,-10.7096062117552,-12.7933814184823
-12.3432355611856,-10.7931878721368,-12.7830454957732
-12.4001827765656,-10.7480674368563,-12.7996867423649
-12.3800091457897,-10.752783415586,-12.8005921494735
-12.3834947194358,-10.7233554858752,-12.7891705576128
-12.3464257175016,-10.707102186122,-12.8127791952848
-12.3705865836742,-10.6499859085931,-12.8139451220289
-12.3812646809112,-10.681251578816,-12.7991342622678
-12.3687185669641,-10.7121930737303,-12.8049091466189
-12.3037209987662,-10.7455718458704,-12.8145439016251
-12.3943431389265,-10.7342203960486,-12.8243238512361
-12.3814912651134,-10.6704426602408,-12.8442672129761
-12.3776744505426,-10.743933420117,-12.7965335093507
-12.3851556304736,-10.6942150614349,-12.7913004838706
-12.4344942434184,-10.7314278294376,-12.8288510084232
-12.3873019393554,-10.7331740972349,-12.7909773838907
-12.4179894116699,-10.6297793316884,-12.8164141382332
-12.3699459075056,-10.6309395367881,-12.8108693711174
-12.3806686032523,-10.7288903122165,-12.815609930226
-12.3964905052983,-10.6302629140761,-12.8120484362991
-12.4113943265532,-10.7379606691865,-12.8020038313737
-12.372590817387,-10.7381342953698,-12.8129427249086
-12.3761022987949,-10.7143288759127,-12.8007135441885
-12.3569938304336,-10.7102312396786,-12.785927940106
-12.3689522599733,-10.7138842931463,-12.7816405196795
-12.363392583663,-10.7387417497209,-12.7580133408651
-12.3516783493875,-10.7125493576924,-12.7690769715944
-12.3726416125428,-10.7000934414643,-12.7774475941602
-12.3355207127171,-10.7115692711882,-12.7792193336928
-12.3511551909688,-10.7277507109536,-12.7842802439853
-12.3177660659486,-10.6618605180138,-12.7572529546445
-12.3862711168389,-10.6417992850504,-12.7863086536125
-12.3485049324032,-10.6470426356399,-12.7814492903556
