meanPPG_1,meanPPG_2,meanPPG_3
-12.775053019961,-11.1366307341618,-13.2483826243849
-12.7934731247611,-11.1296131615032,-13.231454525591
-12.7688406030121,-11.1512666937993,-13.246165594719
-12.7831774620854,-11.1375627006785,-13.2463210882345
-12.7779134030882,-11.1545920035943,-13.2387872676186
-12.7838173920518,-11.1270864979972,-13.2548992746877
-12.7533439818482,-11.1391334273169,-13.2413119557741
-12.7669048362049,-11.1157261012791,-13.228034244898
-12.7842606121936,-11.116083074153,-13.2306866996129
-12.7627240440016,-11.3647038401733,-13.2347630598932
-12.7793208033112,-11.3759137372853,-13.2649318126741
-12.7491001773957,-11.3681771110834,-13.2289982806852
-12.762658132452,-11.3653531005031,-13.2624244054837
-12.7605035867769,-11.3763265150562,-13.2710592065486
-12.745570270679,-11.387996961153,-13.2494047553701
-12.7736509341645,-11.3691012828603,-13.2491087973094
-12.7332980546637,-11.3723752119599,-13.2480017015595
-12.7544223516774,-11.3960769924736,-13.240452144098
-12.8022820725059,-11.3773348106639,-13.2686362514995
-12.7815224117681,-11.3722370935922,-13.2369555498894
-12.7955828243286,-11.3604267532254,-13.2645849012233
-12.7688662360411,-11.3685006683674,-13.2309809829812
-12.7532195909656,-11.3960320334987,-13.2501090650701
-12.8034190259513,-11.3863640115023,-13.222585112115
-12.7881290348292,-11.371407982536,-13.2497569722266
-12.7929366627015,-11.3501241426622,-13.2438161159016
-12.7612328076052,-11.359074740152,-13.2358777597543
-12.7488619445016,-11.361404657329,-13.2476559237501
-12.7920326430909,-11.3668355430983,-13.2629528034074
-12.7940370724095,-11.3745825153485,-13.2435468472479
-12.7625807524805,-11.3678534490762,-13.2165019620681
-12.7608137141613,-11.3715922888536,-13.2249127454867
-12.7392681865169,-11.3626605590686,-13.2534267269145
-12.7955079506778,-11.3600073585455,-13.2317127270756
-12.7549740965484,-11.3635898408007,-13.2238580302343
-12.7983989904743,-11.3862278119243,-13.2383528055079
-12.7490943675125,-11.3782505616436,-13.2485307218615
-12.7846111219084,-11.3674371582216,-13.2554876871819
-12.7721645608679,-11.3465402474746,-13.2391218884145
-12.8006362947113,-11.3737553474322,-13.2115310944873
-12.7738606639256,-11.3661409217548,-13.255613730541
-12.7788641089248,-11.377472226783,-13.2523384538261
-12.7905733620568,-11.3884500854527,-13.21371664805
-12.7829584446305,-11.3294352255327,-13.2186912210313
-12.782964061062,-11.3814491021818,-13.2594853162958
-12.7708522209938,-11.3705781834841,-13.2520433628727
-12.7303365695116,-11.3893104563709,-13.2235616429045
-12.7659398304342,-11.3695168816749,-13.258661937886
-12.7637894887537,-11.3647038401733,-13.2235182617796
-12.7823067244314,-11.3855011007146,-13.2412693379001
-12.762950402764,-11.3581412511694,-13.2557537600874
-12.7433902376843,-11.3555228366187,-13.2383029371248
-12.7582119829028,-11.3596344155549,-13.2446376456929
-12.7682252131176,-11.3641005778983,-13.2412835440599
-12.7064599794103,-11.3647966174615,-13.2195554217539
-12.7465434755718,-11.3531791587858,-13.2505243752388
-12.7560103227,-11.3505006486907,-13.2475924005411
-12.7788556496541,-11.3796226176558,-13.2601337727482
-12.7774814784904,-11.371039267963,-13.257348712542
-12.7432353826122,-11.3465402474746,-13.2466037417879
-12.7494719397277,-11.3613581121452,-13.2367129699795
-12.7510619866034,-11.348852387233,-13.2245372210119
-12.7655884284653,-11.3704398166735,-13.2496020120933
-12.7732596989619,-11.3380957739346,-13.234119398151
-12.7668192224541,-11.3766932856453,-13.2356563477878
