meanPPG_1,meanPPG_2,meanPPG_3
-12.8336274164738,-11.7701070919736,-13.1984054779253
-12.8114235957291,-11.7562480433216,-13.1958517290615
-12.8072278848378,-11.758628623929,-13.2107551345641
-12.8293417414891,-11.7620641948015,-13.2427031418424
-12.8353264301479,-11.7602854179434,-13.1803982958907
-12.8765191033693,-11.7529497318925,-13.194349099177
-12.8605907378923,-11.7461935893823,-13.2219118357313
-12.8309195718313,-11.7701380206058,-13.1960598363267
-12.8399872037427,-11.7419079365632,-13.1845716857035
-12.8286578670861,-11.7409530698537,-13.2090620388369
-12.8513443684491,-11.7548986213284,-13.2071676538719
-12.8517612749304,-11.7217591163043,-13.232150083015
-12.9123877472206,-11.7683425768347,-13.2063147440007
-12.8123375316781,-11.7601604726068,-13.2381675675479
-12.8373204859153,-11.7632482906646,-13.2420290841672
-12.8646413211954,-11.7481872924747,-13.2070059509932
-12.8574546786076,-11.7396784942741,-13.1944458710893
-12.8793104430958,-11.7518793713307,-13.1957773945412
-12.8346386373756,-11.7759664235056,-13.1985166850041
-12.8460458168982,-11.7432749907748,-13.1744927222043
-12.9067141731857,-11.7455598356378,-13.2073954635562
-12.8319388812773,-11.7656433523859,-13.2232723998516
-12.8660662704577,-11.7334094828585,-13.2150956919127
-12.8504890351581,-11.7316753783777,-13.2101984150923
-12.85075148513,-11.7289718911658,-13.235284836949
-12.8439317209555,-11.7440689314615,-13.1800585360599
-12.8484711202294,-11.7460668707608,-13.2632307954725
-12.8991223213367,-11.7697358737549,-13.2025488441181
-12.893206783933,-11.7700143003372,-13.215882863965
-12.8736737869349,-11.7579087828889,-13.2130885165015
-12.8286095759226,-11.7410167560084,-13.2006198753701
-12.7983575116721,-11.7608474788481,-13.2331173223389
-12.8622653430964,-11.7569377417626,-13.2602174139275
-12.8390052764326,-11.7692716571122,-13.1804964272434
-12.8434983205792,-11.744989113659,-13.2201504870835
-12.8866131953942,-11.7409530698537,-13.1921132955924
-12.8135148680907,-11.7353007212214,-13.1913743820602
-12.8116200942355,-11.7474282551505,-13.2165820526433
-12.8789916082431,-11.7567496893581,-13.204673052027
-12.8764116867641,-11.7288752027442,-13.2031983865088
-12.8652208558763,-11.7643687738346,-13.2013150285536
-12.9584151917122,-11.7485349921289,-13.2240820696662
-12.7998938437335,-11.7335378154969,-13.2170115199285
-12.8902925966901,-11.7438466916002,-13.2181025560846
-12.7435421476604,-11.7527923977617,-13.1948923893705
-12.8595872281239,-11.7560598611607,-13.2198239706841
-12.8112325184896,-11.7469535640864,-13.2283293097605
-12.8218851151481,-11.7554323314109,-13.2320353852078
-12.832428101729,-11.767815714597,-13.1929336707736
-12.832681974289,-11.7178235759431,-13.2059468859603
-12.8105170194395,-11.7396147228309,-13.2076526056801
-12.816281053867,-11.742861892372,-13.2264638996037
-12.8571965895341,-11.735428811397,-13.2362847441838
-12.8658827702291,-11.73100019147,-13.2291924142569
-12.8693867112283,-11.7537674705762,-13.196431348758
-12.8393556962763,-11.7353327453035,-13.2177535540088
-12.8600293124808,-11.7597855429018,-13.2067559951017
-12.8810049376692,-11.7363569748204,-13.2193085834608
-12.8937850846001,-11.5465149679638,-13.2268314949934
-12.876501201403,-11.5825634616525,-13.1976860400941
-12.7959571085144,-11.5406573567081,-13.2282501545623
-12.8779783140957,-11.5860272167683,-13.1915087705926
-12.8867169903663,-11.7236400962654,-13.1988354101064
