meanPPG_1,meanPPG_2,meanPPG_3
-12.5659335090333,-10.4780763969719,-13.0568814780921
-12.5741473644198,-10.4997933816465,-13.0693169682614
-12.5828638930537,-10.4991321517348,-13.0237357007877
-12.5790076748567,-10.5149907440556,-13.0183264298881
-12.577042922559,-10.5041904427048,-13.0198166770304
-12.5856009506974,-10.4586362349388,-13.0484498478839
-12.5858574868114,-10.4263207954264,-13.0331736294866
-12.585956663135,-10.4777385781522,-13.0383554854345
-12.6007666193515,-10.4106665353819,-13.0395728980616
-12.6009755022667,-10.4889381576407,-13.0374937053266
-12.5861481482049,-10.4857031723888,-13.0375720796686
-12.5965527031613,-10.5280346416038,-13.0555566859121
-12.58883873585,-10.5062722930157,-13.0494915639684
-12.5896397325371,-10.5011145312387,-13.0381901508709
-12.5797167946485,-10.4384592981302,-13.0364132552663
-12.5909131886439,-10.5429174505901,-13.0431123562643
-12.5949238369963,-10.5052866936368,-13.03228110823
-12.6069070484536,-10.5069288200116,-13.024812288638
-12.5910663027295,-10.491385322377,-13.0144039318966
-12.5916275205529,-10.4931613246198,-13.0208532173821
-12.5919878943936,-10.4509150787467,-13.050308680453
-12.5829187762897,-10.4689149914937,-13.0499991148742
-12.5938522835823,-10.4431338421103,-13.0395728980616
-12.6002138799069,-10.4823455866939,-13.0519065777544
-12.5830971260065,-10.466867675037,-13.0633264944632
-12.5983613245217,-10.4712982417848,-13.064988469543
-12.5986247383666,-10.4711848823787,-13.0787374555513
-12.5965628540886,-10.472544347865,-13.0547780862398
-12.612843567359,-10.4634461388523,-13.067408651307
-12.5930376776538,-10.4961511945178,-13.0599857199184
-12.6003453517342,-10.4741280586033,-13.063343467349
-12.5831177027733,-10.4758221128793,-13.0749362838319
-12.607298781879,-10.492606662672,-13.0637676958957
-12.5912500086916,-10.4266764352855,-13.0746929860552
-12.5909710344983,-10.4578323302156,-13.0602326219378
-12.6044795698264,-10.4764989318561,-13.0782860901634
-12.6284473111521,-10.4626460930928,-13.0642256606744
-12.6095457709575,-10.476047770107,-13.054358589031
-12.6123440951243,-10.5069288200116,-13.0629699972986
-12.5926674915546,-10.5022141574766,-13.0658776784175
-12.5942423805518,-10.4864849895951,-13.0585200812086
-12.59812486839,-10.5004541746221,-13.0495603995289
-12.5800402065783,-10.4582917834743,-13.0248563863762
-12.5656718097662,-10.4245406964576,-13.0148761574688
-12.5743964769577,-10.4605858886328,-13.0180334416277
-12.567488334359,-10.4722046547179,-13.0115748232309
-12.5586853497341,-10.4490623686289,-13.0100632829164
-12.5727518792623,-10.5083498182285,-13.0023719049456
-12.5634498428313,-10.390225380773,-13.0183086754672
-12.5665124933158,-10.4635603788707,-13.0085584186972
-12.5715730304449,-10.4750319113368,-13.0241064602309
-12.5495169492792,-10.4675505796845,-13.024697625417
-12.5580103866205,-10.4849207434661,-13.024185890802
-12.5595810813696,-10.4304620780415,-13.0100811843333
-12.5703927903026,-10.4908296741991,-13.0205343963089
-12.5865617675682,-10.4953769010218,-13.0337244949277
-12.5910969227336,-10.4623030203008,-13.0355585245417
-12.5868043902177,-10.4968143978139,-13.0265218564633
-12.6022514356132,-10.4706178925126,-13.0416824661222
-12.5848377943416,-10.4812238815847,-13.0396250397828
-12.5898441395531,-10.4883811476558,-13.0284921617943
-12.5643448132276,-10.4562225793793,-13.0271555923575
-12.5698299502385,-10.4372872398619,-13.0535533463439
-12.5762835634215,-10.5102050050977,-13.0387904458164
-12.5808070316337,-10.4620742397004,-13.0063507736082
-12.5658253483064,-10.4973667314374,-13.0350959676411
-12.5718262534021,-10.4699370800501,-13.0319483965391
-12.5846152399989,-10.4933831032856,-13.0372498347509
-12.5829119160499,-10.4711848823787,-13.0331124034796
-12.5753715706543,-10.4938265131144,-13.0239210976921
-12.5780809306424,-10.459095319074,-13.0312826408819
-12.60981627274,-10.4830180063091,-13.0409710927947
-12.5904707273265,-10.5248164453056,-13.0456896549882
-12.5944967096584,-10.4598982095226,-13.037197569032
-12.5808001568915,-10.4338804817946,-13.0596621008322
-12.595723362744,-10.4776259465139,-13.0411012598861
-12.5992053545788,-10.4452302789368,-13.0413268427149
-12.6110476335491,-10.4872661960407,-13.0492247814075
-12.5908349212791,-10.4842496025013,-13.0635810575071
-12.5877469842651,-10.474918974412,-13.0521554823608
-12.5909982549191,-10.491385322377,-13.0741054715603
-12.5879449527,-10.4849207434661,-13.052507276299
-12.5802431457575,-10.4709581250081,-13.0824243263081
-12.5850466079899,-10.5201855609327,-13.0634792400657
-12.5784014263452,-10.4454629452943,-13.05493214307
-12.5957132032914,-10.5014445460923,-13.0638864476454
-12.581631657764,-10.5064911832431,-13.063538634833
-12.5837896444356,-10.5041904427048,-13.0521383185148
-12.5687276730729,-10.4282160814711,-13.0422980028072
-12.554568733627,-10.4576025244005,-13.0308356351554
-12.5311516536791,-10.5014445460923,-13.0143415458069
-12.5251480015817,-10.4462768515075,-13.0071859442156
-12.5380239638976,-10.4858148979908,-13.0013160196411
-12.5363794865282,-10.48971745075,-13.0013250490273
-12.5435800604551,-10.4685740630286,-13.0163092879465
-12.5532339782398,-10.5367785659427,-13.0215613449455
-12.5472160978727,-10.486038311754,-13.0084418764168
-12.5333996200006,-10.4317600899058,-12.9960016497679
-12.5529053127777,-10.4836899740799,-12.9945936402334
-12.5687555057429,-10.443600096927,-13.0084329110634
-12.5557536890653,-10.4807748470015,-13.0249269387129
-12.5626800871907,-10.4803256106957,-13.0267683570368
-12.5609599926694,-10.4609295509307,-13.0330599210612
-12.567443048527,-10.4957088145061,-13.0410925826071
-12.5611948846464,-10.4496417093554,-13.0241064602309
-12.5612649909627,-10.492606662672,-13.0266715247722
-12.542230547039,-10.4766116904963,-13.0251473826879
-12.5485163033888,-10.479201636204,-13.0256057505538
-12.5529300547979,-10.4736758256956,-13.0254911782828
-12.5509558392433,-10.4835780108038,-13.0191073125025
-12.5557854096422,-10.461387583688,-13.0304761326679
-12.5408362804654,-10.4677781109711,-13.0320622314174
-12.5453267235259,-10.506162829932,-13.0309145330397
-12.5516780475326,-10.4694829474356,-13.0331823757531
-12.5401026165328,-10.4751448355084,-13.0350610490015
-12.5566696561968,-10.4282160814711,-13.0278592726342
-12.5696770253765,-10.5153162119185,-13.0425319807364
-12.562487555663,-10.4708447270378,-13.0319921807182
-12.5439189377045,-10.5270702697102,-13.04757948456
-12.5679689344915,-10.465842442846,-13.0527817612126
-12.5619447672934,-10.4778511971061,-13.0390165504691
-12.5751227009363,-10.4959300289744,-13.053870380959
-12.5538344855099,-10.4794265321905,-13.0558730861353
-12.5633658982766,-10.4803256106957,-13.0477001742153
-12.5539686672487,-10.4502207146405,-13.066639228632
-12.5701044612025,-10.4797637813647,-13.057129147651
-12.5513913507903,-10.5241715613624,-13.0560098768543
-12.5482642098572,-10.5281417366508,-13.0761602639316
-12.5631245184223,-10.5082405823335,-13.0717267094957
-12.5613981794246,-10.4708447270378,-13.06816059139
-12.574462204641,-10.4449975584331,-13.064123908847
-12.5719996567908,-10.4724311296368,-13.0783613318774
-12.5673420188956,-10.4894948575382,-13.0621886543683
-12.5632329716519,-10.515533131659,-13.070295045911
-12.5620463436535,-10.492606662672,-13.0551204025263
-12.5506689353417,-10.4769498901501,-13.0449033317862
-12.5359913114851,-10.4672091856556,-13.0196748443749
-12.525424155343,-10.4578323302156,-13.0187080737125
-12.5261359896173,-10.4452302789368,-13.013449890747
-12.5248027021037,-10.4774006451724,-13.0074911013739
-12.5307903532828,-10.5153162119185,-13.0155440203769
-12.5346747077005,-10.5033125758647,-13.0118875787435
-12.5335690049354,-10.4973667314374,-13.0239210976921
-12.5404677263562,-10.4655004650713,-13.0294056284635
-12.5467147475943,-10.4724311296368,-13.0154906077555
-12.5415980054337,-10.4584066138126,-13.0168072870675
-12.544086550313,-10.5018843965503,-13.0231616352843
-12.539730210391,-10.475370645603,-13.0429391451021
-12.5432696194658,-10.4699370800501,-13.0407280688817
-12.5515754124657,-10.4241842960974,-13.0376156183157
-12.5537144129011,-10.4873777471591,-13.0418905772543
-12.5515117026426,-10.490940828537,-13.0491817452959
-12.5511966332982,-10.4748060247309,-13.0381814482945
-12.5602725290323,-10.4746930622908,-13.0304235117055
-12.5561483623901,-10.4766116904963,-13.0458710264158
-12.5321589921704,-10.4933831032856,-13.0272083855577
-12.553700285764,-10.4857031723888,-13.0418732363141
-12.5509983365252,-10.4686877187655,-13.051649025019
-12.5458999618575,-10.4879353161727,-13.0469671912437
-12.5596161917567,-10.4771752930587,-13.0357940844993
-12.5506157959553,-10.4644738294937,-13.0310810748004
-12.5698994538093,-10.4540337644971,-13.0547524077939
-12.5739085733245,-10.4680055904989,-13.0426879356138
-12.5729147285007,-10.4789766896278,-13.0503430707137
-12.5605637065316,-10.4813361087326,-13.0407280688817
-12.5665717679684,-10.4902737171047,-13.055163183824
-12.5805973307317,-10.4610440787897,-13.06513249035
-12.5734135058139,-10.4517245613003,-13.0602581600471
-12.586079764889,-10.474918974412,-13.067155060888
-12.5803635139467,-10.4580620832321,-13.0529104000849
-12.5787631529217,-10.4920516929036,-13.0708511116759
-12.5978342885798,-10.5071475665945,-13.0593809782141
-12.5867668046464,-10.4688013615862,-13.0721221609676
-12.5957030437355,-10.4825697768081,-13.0648274805619
-12.608091823234,-10.4716382429214,-13.0712132306654
-12.5867394687982,-10.4666399364799,-13.0647766365513
-12.5916411219239,-10.4741280586033,-13.0691735488902
