meanPPG_1,meanPPG_2,meanPPG_3
-12.6092384455878,-10.3483015707082,-13.2120139353568
-12.6183908838726,-10.3898565358681,-13.1871768607363
-12.664999528505,-10.3840601331311,-13.1875741725151
-12.6489684040464,-10.362809333435,-13.2128766157141
-12.6723035419609,-10.3757386543223,-13.209949256003
-12.6406271900816,-10.390225380773,-13.1986130544699
-12.6028635748233,-10.3652069621942,-13.2359277492208
-12.6090847474773,-10.383441512635,-13.2240170311308
-12.6839607355645,-10.3578698008789,-13.2173389557813
-12.59423898906,-10.4012279367535,-13.2306005515099
-12.6432657225714,-10.3559634649136,-13.2081960600066
-12.6299341639165,-10.4480187087673,-13.2174117047465
-12.5908281151318,-10.3576158326236,-13.1778737673319
-12.6340947540983,-10.3388997370122,-13.1625682215264
-12.5983275484973,-10.3830701565622,-13.1708030039521
-12.5764734572715,-10.4142731755021,-13.201566347982
-12.5913214407861,-10.3764866907617,-13.1866368634232
-12.6293351037356,-10.3625566167291,-13.1914341125265
-12.614067883492,-10.3388997370122,-13.1754187184754
-12.5912908276561,-10.3288859983517,-13.1802775056202
-12.620444635998,-10.4354090845969,-13.1948477465134
-12.6044124286957,-10.3756139271628,-13.1807153009504
-12.6117943873718,-10.3975738522978,-13.1714887234893
-12.6054358414469,-10.3481733737976,-13.1790914764499
-12.6111910268689,-10.378603093668,-13.1674438118848
-12.5885147464808,-10.3990370887496,-13.1751531515074
-12.6341697079447,-10.3681016844974,-13.1662960487489
-12.6192777226486,-10.3681016844974,-13.1884581868967
-12.5966981899417,-10.367095774693,-13.1842859800085
-12.6189469046318,-10.353926026287,-13.1900668846851
-12.5902221824195,-10.4204940353772,-13.1901341691226
-12.642458088121,-10.3596457749598,-13.1869143984638
-12.633925272516,-10.3975738522978,-13.1982645978696
-12.5855735829605,-10.3777321760391,-13.195108135089
-12.5801537200083,-10.3520121501047,-13.1895209657891
-12.596089034314,-10.3445771716172,-13.1874992201098
-12.609792898931,-10.3440623710911,-13.1924042328975
-12.6202529986546,-10.379348991266,-13.1984277203305
-12.5931395396919,-10.3522675453302,-13.2098613026768
-12.6344140836393,-10.3585044394735,-13.1907694100684
-12.6171917396925,-10.3266615944251,-13.1934926318658
-12.6295544734251,-10.3560906671017,-13.1851127990574
-12.6037004554251,-10.3395465257289,-13.2014480878835
-12.6454656383006,-10.4233522009528,-13.2129569971606
-12.6309219927688,-10.3418715074014,-13.2050855689755
-12.5898100746185,-10.3732411505267,-13.2140889583859
-12.6210820614813,-10.3694831603843,-13.2031836288662
-12.6862524464618,-10.3953749752819,-13.1843837306167
-12.6058650274419,-10.3696086545176,-13.2327305388683
-12.6402709724612,-10.3555817612383,-13.1855334626605
-12.6085666776934,-10.3476604217473,-13.1898276144581
-12.6043519978236,-10.3521398558708,-13.2082988424749
-12.6277424127348,-10.390225380773,-13.1988354101064
-12.621210818334,-10.3516289349247,-13.2071309055136
-12.6456492832671,-10.3604059422332,-13.2118310685162
-12.6272207959735,-10.3518844280278,-13.1940959591221
-12.5982633709077,-10.368981026304,-13.2235761028613
-12.6049460761889,-10.3404513277037,-13.2059542444474
-12.5695970780721,-10.3459915080793,-13.1952568981246
-12.6784079293554,-10.4355265727013,-13.2120358771306
-12.6480785970951,-10.3541809332474,-13.2224620739405
-12.6273192350579,-10.4034139954331,-13.2215206929375
-12.6562912098255,-10.4194201136703,-13.2400112928213
-12.6379362274929,-10.3491984892128,-13.2243927509639
-12.6122375087526,-10.3817073365532,-13.2417238349431
-12.6524781411499,-10.3490704072402,-13.2252087326965
-12.6486986545265,-10.3307141524258,-13.2141254519393
-12.6556184328735,-10.4066841491376,-13.228458822935
-12.6380336174423,-10.3809631966206,-13.2155185094878
-12.6202794335751,-10.3568535406288,-13.2496020120933
-12.6200447992318,-10.3773586933084,-13.2478535257098
-12.6553887560788,-10.3761127424868,-13.2555086955117
-12.6685637513042,-10.3565993141116,-13.228911986999
-12.6910172258015,-10.3440623710911,-13.2382031928975
-12.6243519664626,-10.336048886306,-13.2283221140923
-12.6288405268753,-10.391453882156,-13.2164801180707
-12.6223985609711,-10.3668441390601,-13.1944458710893
-12.6127403635464,-10.4003765105632,-13.1906498661284
-12.5939879867454,-10.293906702439,-13.1811830772109
-12.6324998392219,-10.4282160814711,-13.1938278586126
-12.6123607482187,-10.3885029394023,-13.1877465417304
-12.6013796678723,-10.4062003561916,-13.1647789814541
-12.6273782938575,-10.3883797942756,-13.1599211702101
-12.6454946371165,-10.3727409003912,-13.1680859842843
-12.5937403146078,-10.3052123410286,-13.1829691755142
-12.6401738001747,-10.364324293957,-13.204319330579
-12.5978680812685,-10.3870241960644,-13.1812962160211
-12.5828467414248,-10.3650809144219,-13.1719379957139
-12.5699237789179,-10.3778566392915,-13.1792048521355
-12.5822256542965,-10.3851726865557,-13.185826320315
-12.6077907423514,-10.3356595034729,-13.2162033861275
-12.592018486192,-10.3203540833687,-13.1924415264312
