meanPPG_1,meanPPG_2,meanPPG_3
-12.8033199724624,-11.8203219255311,-13.0289138654834
-12.8101946044942,-11.8249586282858,-13.0310284856618
-12.8328609825038,-11.8121704287865,-13.0309145330397
-12.7981058367186,-11.8124076415378,-13.0618742464086
-12.826372213196,-11.8293990550848,-13.0354014537373
-12.8063202384724,-11.8212039672207,-13.0481655550604
-12.836684630289,-11.810924137824,-13.0615767424645
-12.816357104245,-11.7971716414861,-13.0346768634701
-12.8101290158497,-11.7999973512963,-13.043398089106
-12.8840071986092,-11.8231417247266,-13.0346331966826
-12.8451357991231,-11.8315246400567,-13.0255969377682
-12.8696287983293,-11.1517834154987,-13.0625454301385
-12.7973061410584,-11.1204752939396,-13.0421679914094
-12.8558033229079,-11.1340049120842,-13.0325524489612
-12.8878731958645,-11.1212449118327,-13.0300814079394
-12.8113744650688,-11.1217773774569,-13.0432422449499
-12.8260064536627,-11.1397145523914,-13.0587758705759
-12.8605335700892,-11.1658047338363,-13.0612451337767
-12.8037546342721,-11.1241994728663,-13.0476829337277
-12.8158028904401,-11.1241994728663,-13.0614832229422
-12.8205012413787,-11.1358145503586,-13.0109043032846
-12.8185736030045,-11.1323675805682,-13.0674171032136
-12.7927837322054,-11.1585336270461,-13.045309531962
-12.8740020131062,-11.1236682957063,-13.0636319623405
-12.8579393931697,-11.1545920035943,-13.066774554641
-12.8720952586935,-11.115190402924,-13.0307918003076
-12.8420620004853,-11.1164399196426,-13.039746693227
-12.8680077579574,-11.1548781511912,-13.0617297555474
-12.8714091699504,-11.1445249009989,-13.043856822577
-12.8502186396571,-11.1313135928842,-13.0479415098368
-12.800796304864,-11.1193494012545,-13.0416564491852
-12.8408992666322,-11.1224868908787,-13.0492333884076
-12.8147561101453,-11.1173314766573,-13.025931769034
-12.811996608482,-11.1182222395061,-13.0266098993579
-12.8183432291609,-11.1369803233981,-13.0273491538006
-12.865407063576,-11.1562505210315,-13.041378893065
-12.7681995636517,-11.1126866758336,-13.0258700980136
-12.7833459044154,-11.1473539205237,-13.0406759846441
-12.8013230539382,-11.1170343792963,-13.01580214117
-12.7981749844999,-11.1306103167608,-13.042835204002
-12.8127355828683,-11.1233730753221,-13.0387469582908
-12.813950567095,-11.1231959012481,-13.0311862447815
-12.8274364576427,-11.1198828768606,-13.0327012174646
-12.8099021552846,-11.1161425572449,-13.0379986766932
-12.8656475305485,-11.1571072967515,-13.0003042121235
-12.8145302969789,-11.1207121625378,-13.0466565893638
-12.8009094000448,-11.1347641913894,-13.0441682951526
-12.8680361294224,-11.1202383692213,-13.0043453141311
-12.841243725094,-11.140237276376,-13.0201357269732
-12.8320805926969,-11.1262624838247,-13.0306690525103
-12.8237767322888,-11.0885221558418,-13.0135480117302
-12.7957353273893,-11.1454495427661,-13.0211188239849
-12.7881290348292,-11.1203568385971,-13.0386338818728
-12.8138498285726,-11.1107150545826,-13.0473294382139
-12.8169571561227,-11.1588756438082,-13.0453268134164
-12.8035840932992,-11.0965611759931,-13.0591338658065
-12.8557302141403,-11.1020055061791,-13.0172161723275
-12.800233397155,-11.16393520379,-13.0391730545168
-12.836644709545,-11.1442936069074,-13.0440039189383
-12.8313638081402,-11.1002544566117,-13.0377549292492
-12.8205634486832,-11.1204752939396,-13.0374066155195
-12.8217608610104,-11.1210081694073,-13.0645562826282
-12.8554769031422,-11.1508646144694,-13.0583495186074
-12.7824725038973,-11.1380283584285,-13.0442634479811
-12.8753599291958,-11.1381447389931,-13.0619252381989
-12.8316019017871,-11.1123881950984,-13.0271203953422
-12.8284056541849,-11.1311378202164,-13.0235767617934
-12.8520207704359,-11.1220139378696,-13.0292300265877
-12.8386175477741,-11.1223095597123,-13.0408929844063
-12.7940176312322,-11.1415718864908,-13.0257467445618
-12.8565523797707,-11.1236092586014,-13.0375198307897
-12.8182429322005,-11.1188156409002,-13.0300814079394
-12.8153679979197,-11.1460847383988,-13.0539817476425
-12.8565967313956,-11.1430205322606,-13.0659538595424
-12.8938705441589,-11.1672752391632,-13.0548380000495
-12.8402497722209,-11.146777219239,-13.0562748556362
-12.7843643758705,-11.1618348993254,-13.0718276906964
-12.8467943120363,-11.1523572377443,-13.0673579383676
-12.8095686041375,-11.1374462523523,-13.0673410334829
-12.8053733245859,-11.1306103167608,-13.0561039096205
-12.8465387270417,-11.1361644249904,-13.0506869082882
-12.8277882691398,-11.1391334273169,-13.0677297735475
-12.8553619780262,-11.1484487375394,-13.0578888542188
-12.8400269912773,-11.1429626267046,-13.040702027102
-12.8378017645836,-11.150117466528,-13.0486565555483
-12.8922682195655,-11.1520703677805,-13.0680423461492
-12.8473263516305,-11.1770610435919,-13.0593554176931
-12.8434058022704,-11.1159046036447,-13.0620527063002
-12.8229136704697,-11.1180441504017,-13.0612281252384
-12.8339210160061,-11.1408177605161,-13.0521554823608
-12.8160066812211,-11.1450451171893,-13.0412053813612
-12.7890477534351,-11.1493122208846,-13.0361167987909
-12.8373125069691,-11.132074917626,-13.0287557474392
-12.8437388281306,-11.126321364503,-13.0260903341958
-12.7763457279396,-11.1201198858088,-13.0281581868744
-12.855865983312,-11.1584195954592,-13.0297655159368
-12.8430567990413,-11.1182222395061,-13.0450243448384
-12.8324361197428,-11.1195865366599,-13.0087107996498
-12.7415362462477,-11.1157856056081,-13.0227640121816
-12.8272887136264,-11.107420356062,-13.0275866552861
-12.8221713811344,-11.1178660295759,-13.0357155706787
-12.8385006685553,-11.122723283528,-13.0399899557258
-12.8271302003197,-11.1239634289611,-13.0448860430118
-12.8130680795124,-11.1202976056636,-13.0345720599766
-12.7944785631002,-11.1536184888431,-13.0259229591211
-12.8323024777854,-11.1372715544337,-13.0537332972435
-12.7793123479029,-11.1037534949307,-13.0110205589578
-12.8348092967612,-11.1223686735952,-13.0087018367071
-12.8681109230629,-11.1259680284178,-13.0102870275978
-12.818592572603,-11.1220139378696,-13.0385555907079
-12.7853453918893,-11.1182815954936,-13.0427139257288
-12.8242510989777,-11.1189935926757,-13.0119501181099
-12.8254871681126,-11.1423833866513,-13.0407367493242
-12.8017337808065,-11.1117312237127,-13.0259934362513
-12.8092622952663,-11.1086196845819,-13.0361429602508
-12.8064025364515,-11.1533319805181,-13.0157843418748
-12.854938730773,-11.1335373765722,-13.0270939967677
-12.8103121067248,-11.1204160680223,-13.0318170324985
-12.8046536194691,-11.1116117279845,-13.0115033225203
-12.8517927325177,-11.1453917776966,-13.0256410009195
-12.8158327823537,-11.1242584751379,-13.0503688626331
-12.8086165514072,-11.1188749616773,-13.0177847781924
-12.8289153805802,-11.1059792605803,-13.0211365285837
-12.8547479496806,-11.120593735252,-13.0324736802044
-12.8208717234288,-11.1085597523054,-13.0232764747521
-12.8298885044782,-11.1287912275639,-13.0473121913334
-12.8360510331131,-11.1544202757253,-13.0114496936322
-12.8083482809561,-11.1043555419086,-13.0463113629782
-12.8392176667537,-11.1249662309917,-13.0296426420929
-12.8488576769996,-11.1205345163493,-13.0286766790406
-12.8916739272721,-11.1412819053376,-13.0347205283509
-12.7850792112575,-11.1254377900927,-13.0350261291426
-12.8616166040924,-11.1384356311614,-13.0159356257861
-12.8468733457179,-11.1309620166472,-13.0615087291338
-12.8162267286272,-11.1096379841098,-13.0705731174446
-12.8252314621677,-11.1284975159279,-13.0360993574375
-12.8476501777309,-11.1409338169196,-13.0787040280639
-12.8782949192738,-11.1489669170138,-13.067045151732
-12.8578508069792,-11.1271453301785,-13.0620781979708
-12.8345532967598,-11.1129253962931,-13.0503946538872
-12.8396714998597,-11.145507304499,-13.0562406687708
-12.8285398179024,-11.1504048971874,-13.0467428773414
-12.8453548065979,-11.1337711716519,-13.0616702532417
-12.806717949309,-11.1451029022866,-13.0711458696186
-12.8534140791141,-11.107600347063,-13.0630294223191
-12.8695798705557,-11.1272629841582,-13.0484326203163
-12.8431149747053,-11.1751563878147,-13.0481138567716
-12.879698009363,-11.1787386148627,-13.0759507845708
-12.8643747259643,-11.1497149247589,-13.0519752472823
-12.8070360041322,-11.1368638072313,-13.0562577623496
-12.8741763394506,-11.1602994558778,-13.0728033169408
-12.8049613430588,-11.1260269264359,-13.077340906556
-12.8026070482732,-11.130317139005,-13.0950826184507
-12.835486314179,-11.1337127280061,-13.0752466123213
-12.8439422893501,-11.1474692208813,-13.0693338397763
-12.8145166921475,-11.1178066489162,-13.0385903875379
