meanPPG_1,meanPPG_2,meanPPG_3
-12.2487345463842,-10.8599216487131,-12.5384507985308
-12.2368685463273,-10.8267141754114,-12.5288515550194
-12.242587778824,-10.8530583096451,-12.5038931499549
-12.2249581857639,-10.8085150921316,-12.5251952438163
-12.2456682883885,-10.8527487360802,-12.5100069323676
-12.2356702819691,-10.8286190890758,-12.5130425068892
-12.2470178324619,-10.8347063049945,-12.5052138110708
-12.242447968243,-10.8230529169439,-12.5327831049494
-12.2548151895182,-10.8168941292304,-12.5204161229354
-12.2308091595959,-10.8216165936839,-12.5196709718618
-12.2468978400453,-10.8152078558955,-12.5242936222908
-12.2425925995299,-10.8384822692041,-12.5205621659015
-12.2595944549325,-10.8124716558945,-12.5127334765797
-12.2407397374385,-10.8418528387286,-12.5212628753986
-12.2480252007258,-10.8389532637963,-12.5341382163768
-12.2439174125035,-10.8531356880643,-12.5168753639727
-12.2722722862444,-10.8382466886933,-12.5263429075751
-12.2612140265264,-10.8003915706101,-12.5313105845084
-12.2673041419845,-10.849802997516,-12.530501218949
-12.2582380595109,-10.8334444751741,-12.5365411816685
-12.2582000919162,-10.8317068552756,-12.5403854093102
-12.2595517991857,-10.8673486573177,-12.5371589755892
-12.2654117355222,-10.8547592533055,-12.5318449847291
-12.2602909080247,-10.8404432848539,-12.5235804748792
-12.2718276139956,-10.874569454093,-12.5280546902776
-12.2783374915987,-10.8322600619123,-12.537948621223
-12.2739135203904,-10.8487155343049,-12.5356353519457
-12.2531327425676,-10.8412266156162,-12.539497386106
-12.259347974389,-10.8337600819307,-12.529618842551
-12.2810131281937,-10.84302595113,-12.5408577454506
-12.2824362860359,-10.8518969142917,-12.5272862011907
-12.2802056173714,-10.8572281998571,-12.5391390890166
-12.2990118349387,-10.8294117333785,-12.5345703124817
-12.2921173053993,-10.8323390664551,-12.5424020148035
-12.2578868042443,-10.8431041097138,-12.547916145341
-12.2767268029838,-10.8277464540595,-12.5387519839127
-12.2711953709872,-10.8499582529114,-12.5420018776082
-12.2656237501567,-10.8459916912262,-12.5482571077106
-12.2868689153583,-10.8273495499066,-12.5354483325311
-12.2908640602259,-10.8448220548497,-12.5435158391914
-12.3092517837132,-10.8302037498939,-12.5321337308511
-12.2928694161602,-10.802265832659,-12.5489812669721
-12.2876157654836,-10.8719911558572,-12.5399414962813
-12.2919567206871,-10.8523616343063,-12.5435443824845
-12.2752721623312,-10.8409133569402,-12.5422734167366
-12.3003959749214,-10.843572932976,-12.5461099483159
-12.289001952196,-10.8785753549187,-12.5328552316039
-12.2668713698369,-10.8472377973064,-12.5345127104541
-12.254033894816,-10.8309951396154,-12.5216713959762
-12.260991609228,-10.8377753611119,-12.5339653256433
-12.2780351034276,-10.8635271913403,-12.5294885899331
-12.2662124439564,-10.8518194399551,-12.5130130795453
-12.2622544715523,-10.8421658032879,-12.5340373670816
-12.2550532677518,-10.8427132556928,-12.5271701515214
-12.2660523535521,-10.8697106531585,-12.5350597957987
-12.2647848516095,-10.8144842959492,-12.524439100113
-12.2879935882155,-10.8411483101465,-12.5256893365123
-12.2491512918952,-10.851199429085,-12.5368142074424
-12.2737406397547,-10.8266347252068,-12.5336338681641
-12.263232448258,-10.850579033563,-12.5430590356661
-12.2790860903359,-10.8273495499066,-12.5479587719955
-12.291194738947,-10.8408350269359,-12.5412726446289
-12.264034902868,-10.8305995230419,-12.5269525220854
-12.2817689983962,-11.1141777446096,-12.5313828174452
-12.2842412905525,-10.8240093209381,-12.5300818256169
-12.2750528502702,-10.8385607837096,-12.5370153366399
-12.2665043075546,-10.8102934451991,-12.5262267483788
-12.291741037786,-10.8373824183586,-12.525238850052
-12.2701172947331,-10.8595373141836,-12.5241335722384
-12.3004596720869,-10.8681112012009,-12.534959039406
-12.2741284114041,-10.8569199146909,-12.5310938543871
-12.2835196796637,-10.8164928934188,-12.529097730254
-12.2912039229063,-10.8376182025386,-12.5304867600376
-12.2679529492363,-10.8607666650876,-12.5297201384146
-12.2617343843551,-10.8342333053799,-12.5329850464736
-12.2767780497954,-10.8462254544251,-12.5343542877677
-12.3028181583874,-10.8258398757889,-12.5440152292326
-12.2833669644564,-10.8592297401712,-12.5506831053678
-12.286832019414,-10.8205779645808,-12.5561377928133
-12.2856275419354,-10.8525939133519,-12.5424020148035
-12.2879475199146,-10.8527487360802,-12.5412011225679
-12.2690709185945,-10.8535224903744,-12.5503996666879
-12.3070395232813,-10.838796290246,-12.5470490090397
-12.2803123947152,-10.8275083304722,-12.5454834175669
-12.2706658526724,-10.8148863383299,-12.5664009079668
-12.2824872410958,-10.8448220548497,-12.5524527792895
-12.3054201190309,-10.8616109680122,-12.5439866993761
-12.306031096274,-10.8423222488452,-12.5531597728995
-12.3076133750851,-10.8722189203497,-12.541630178223
-12.2954379166028,-10.8358878261434,-12.5573490435071
-12.2933643998771,-10.82217540901,-12.5479871887557
-12.3032492642714,-10.8433385488193,-12.5501445031692
-12.3077488825608,-10.8690254869789,-12.5396549961647
-12.3009645560539,-10.8332866344351,-12.551065620195
-12.2918006994128,-10.8632208422531,-12.5610160912908
-12.322472502814,-10.8525939133519,-12.5453267235259
-12.3152498682861,-10.8248056261243,-12.5453124773955
-12.3265055006453,-10.8481713589115,-12.5503713184009
-12.3157204575846,-10.871383530136,-12.5430590356661
-12.3160340607985,-10.8279051716219,-12.5498609117658
-12.3177660659486,-10.8649046020264,-12.5534141682878
-12.296694579939,-10.8525939133519,-12.5398125813864
-12.2973976222235,-10.8400513892498,-12.532018242407
-12.2760556932974,-10.851199429085,-12.5408863647142
-12.2596371088599,-10.8294909632641,-12.5500027175205
-12.2600209123572,-10.8298870185586,-12.5353907810585
-12.2580814338909,-10.8029982843703,-12.5354051692371
-12.2756919874102,-10.7941732556949,-12.5429733617695
-12.2883160069112,-10.8219359549641,-12.5392537580532
-12.2580671939816,-10.8420875713301,-12.5450987610818
-12.2768339524131,-10.9003623839663,-12.5489244891154
-12.2857198904032,-10.8311533424318,-12.5357791892372
-12.2987657674603,-10.8309951396154,-12.5383934196003
-12.2740163001149,-10.8227339122359,-12.5437298940331
-12.2828068090797,-10.8365960693364,-12.5514055105836
-12.2983600796201,-10.8271907441257,-12.5507539524869
-12.283774153194,-10.8345486633137,-12.5612124116863
-12.2856413947493,-10.8494147535386,-12.5448992513051
-12.3005324638797,-10.8473934514433,-12.5521415436817
-12.2927731408678,-10.8551454282476,-12.5467076344346
-12.2818848788911,-10.8156899385017,-12.5578275056825
-12.2825659847182,-10.8340755891111,-12.5559263778119
-12.2714857840784,-10.8583064501156,-12.5506972751932
-12.2826678790261,-10.8413049149546,-12.5618571931838
-12.2877494020338,-10.8398945879951,-12.5486547502636
-12.2779932270885,-10.8491817347795,-12.565577581262
-12.287214748647,-10.824487180138,-12.5538803918151
-12.3135045144539,-10.8458358187296,-12.5417016696047
-12.3024731398165,-10.8401297806582,-12.5715626226501
-12.287270070876,-10.857074069154,-12.5582213615364
-12.2882100808061,-10.8501134842064,-12.5453267235259
-12.2931490204074,-10.8493370866518,-12.5687694217874
-12.2941567802428,-10.8598447936234,-12.5494779357539
-12.2976394640556,-10.8603826552522,-12.5680594564902
-12.2767314618934,-10.8642926537169,-12.552537644919
-12.323704558657,-10.8682636402256,-12.5649351949143
-12.2894942536692,-10.8475490813556,-12.5554752097018
-12.2983646388248,-10.846537053711,-12.5585025922036
-12.302727375567,-10.8532130604965,-12.5571097265447
-12.3128037215409,-10.852980925238,-12.579923239869
-12.327710464177,-10.8663564801709,-12.5702851108469
-12.3074642956504,-10.8389532637963,-12.5687276730729
-12.2873069506617,-10.8576134227133,-12.5577290174764
-12.3294312200531,-10.8256808300629,-12.5409436007844
-12.3489557988114,-10.8317068552756,-12.5697152587845
-12.3086788716125,-10.8396593400034,-12.5619412644763
-12.2956025151199,-10.821776287073,-12.5732403474393
-12.3255431455063,-10.8752508335341,-12.5794827718646
-12.3017736580404,-10.8477824808199,-12.5719511068729
-12.3022551720022,-10.8120686413402,-12.5549250732118
-12.2914472670995,-10.8236906212302,-12.5413727669212
-12.3045822471762,-10.8491040497921,-12.5495630542105
-12.2703142475916,-10.8371465785714,-12.5495630542105
-12.2775790221814,-10.8694061928121,-12.5519151296544
-12.2830568345465,-10.8585373525604,-12.5526507878894
-12.3191334378142,-10.8404432848539,-12.5544593365986
-12.2642849482785,-10.8331287687784,-12.5581932341192
-12.3289847273343,-10.8536771694157,-12.5707018701327
-12.3003368239203,-10.8295701868728,-12.5646557677382
-12.2836769982156,-10.8796308435571,-12.5575742306949
-12.3111666256706,-10.885940486664,-12.5465795889072
-12.3084983588655,-10.8206578974373,-12.5550520546515
-12.3005279145478,-10.8271907441257,-12.5703823702168
-12.3014919102936,-10.8687208179233,-12.5627395894369
-12.3317797581529,-10.8507341685307,-12.5678923325535
-12.3097522492468,-10.8479380502041,-12.5661079371711
-12.3090849061941,-10.8426350665532,-12.5651866126322
-12.2970963789079,-10.8347851165168,-12.5671678059024
-12.3133158877456,-10.8134382286641,-12.5574334946451
-12.2997860966961,-10.8327339955705,-12.555968664388
-12.3023187508559,-10.8034862876333,-12.570201738143
-12.3216710744478,-10.8619178106044,-12.5687694217874
-12.3150795051882,-10.8300453967661,-12.5550238379472
-12.3345098347055,-10.8215367374251,-12.5653821160541
-12.2926814414949,-10.8352578552587,-12.5560673261123
-12.2988204543551,-10.8355728903089,-12.5655496599999
-12.2904735348265,-10.810374204335,-12.5783945350451
-12.3138188132558,-10.8518194399551,-12.5705907513049
-12.2982187339637,-10.8358878261434,-12.5620813675924
-12.3330664647146,-10.8636037639503,-12.5712433976702
-12.2972241901856,-10.8536771694157,-12.5648094623473
-12.2930848558528,-10.8317859035346,-12.5762145021711
-12.3088413052294,-10.8890804413969,-12.5742650086292
-12.3243933144137,-10.8341544503548,-12.5662614087687
-12.329974699528,-10.8365960693364,-12.5654379671551
-12.2888822909293,-10.8473156274034,-12.5684214625647
-12.3063884580433,-10.8561487857199,-12.5792211521618
-12.2855213306534,-10.8332077047219,-12.5768220775498
-12.2936392849997,-10.8311533424318,-12.5713128030741
-12.3452822614881,-10.8705474414619,-12.5675440679524
-12.3279583647702,-10.8614575114018,-12.5766978307956
-12.2884587591281,-10.8559944885433,-12.5786012533921
-12.3162938289793,-10.8576904494801,-12.5863703616914
-12.34200552727,-10.8121492572458,-12.5708407513062
-12.3031086080418,-10.8511219006902,-12.5738497319798
-12.3078617914322,-10.8408350269359,-12.5820265502639
-12.3124980939458,-10.8339967216478,-12.5704379427529
-12.2993443854906,-10.8190580250858,-12.5636911441811
-12.3173501214019,-10.8627611425821,-12.560342700039
-12.3064879537809,-10.824487180138,-12.5528911742055
-12.2969913788508,-10.8164928934188,-12.5630755356887
-12.2768106600355,-10.8649046020264,-12.5616329685097
-12.2932498421043,-10.8463033633496,-12.561731072991
-12.2874406284845,-10.8629910188331,-12.5688668286769
-12.2895034532589,-10.8503462859767,-12.5572505081645
-12.286453757477,-10.8244075527939,-12.5642923956412
-12.2854612931992,-10.8324180647567,-12.5713544440044
-12.3038343633127,-10.8735844189688,-12.5616189527981
-12.2953921899839,-10.8573823068076,-12.5628375854191
-12.3033354631504,-10.8418528387286,-12.5748876004297
-12.2898483767928,-10.8342333053799,-12.5717846321142
-12.3203696119017,-10.864751650053,-12.5728385044991
-12.3048585960208,-10.80283556368,-12.5666659028428
-12.3052571287013,-10.8452120856671,-12.5679201884826
-12.3101713654585,-10.8334444751741,-12.5690337898449
-12.3020962071808,-10.8580754943426,-12.5724365000161
-12.3093780508947,-10.8477046870511,-12.5662893101652
-12.3158190291925,-10.8747209118744,-12.5754406901412
-12.3316871571902,-10.8404432848539,-12.5788079290154
-12.2828947881315,-10.8566115344556,-12.5645020495034
-12.3049854191028,-10.8484823525386,-12.5742373288839
-12.3517258956749,-10.8571511374751,-12.5804460437607
-12.316414732532,-10.8286983817848,-12.574444908301
-12.2999226689157,-10.8253626627042,-12.5582916766183
-12.3153753804206,-10.8434948110276,-12.5733511722531
-12.2792255188651,-10.8408350269359,-12.5733096143872
-12.2923329071699,-10.8364387253034,-12.5695762212024
-12.3090939273126,-10.8426350665532,-12.5708268640568
-12.3248374213442,-10.8956275966937,-12.5898237007316
-12.3097252034582,-10.8273495499066,-12.5820540152461
-12.2850871324582,-10.8258398757889,-12.5992897184164
-12.3123137733353,-10.8629910188331,-12.590749841108
-12.3238290141643,-10.8245668011421,-12.5734065800545
-12.3294577381008,-10.8741149430633,-12.5732403474393
-12.3159355103854,-10.8698628485777,-12.5891148965363
-12.3085525161111,-10.8257603560878,-12.595069560931
-12.2847082097955,-10.8431822621893,-12.6077171310125
-12.3099100017694,-10.8219359549641,-12.5783945350451
-12.355548127919,-10.8542183577238,-12.5732403474393
-12.3108920147947,-10.8535224903744,-12.5697013558962
-12.3213013104465,-10.8106164426179,-12.6086402265248
-12.309355504353,-10.8389532637963,-12.5873270249233
-12.311886558388,-10.8458358187296,-12.5664985458281
-12.2916079336364,-10.8448220548497,-12.5785874734983
-12.340140144424,-10.8620711966005,-12.5847145395945
-12.330941627576,-10.8395809117065,-12.5968707165949
-12.3172874911085,-10.847471269427,-12.594093144032
-12.3133248707766,-10.8304412325785,-12.5876001892606
-12.3034352630969,-10.8729019027326,-12.5664288054714
-12.3168444934841,-10.8364387253034,-12.5721036843929
-12.300182104758,-10.8767633498929,-12.5766287981501
-12.2779001622781,-10.8190580250858,-12.5549109631675
-12.2886429254308,-10.8260783969588,-12.5689503127454
-12.2853042551218,-10.830836911767,-12.5810648003547
-12.2882561370131,-10.8522067516296,-12.5697986720556
-12.3087465554927,-10.8471599611515,-12.58133968044
-12.2989070358226,-10.8436510488218,-12.5693398129382
-12.3018327241149,-10.8408350269359,-12.5740712343203
-12.2915528508746,-10.807705703176,-12.5758000344798
-12.288444945288,-10.8785753549187,-12.5677809010768
-12.2979633492206,-10.8381681495219,-12.5703129002035
-12.2948524579158,-10.6345083855242,-12.558544769983
-12.2869380915847,-10.6744287605361,-12.5699932759678
-12.3104326608544,-10.6869323710769,-12.5815595301187
-12.2980773683258,-10.7010848344525,-12.5676694571817
-12.2886106987761,-10.640555920154,-12.5806935923433
-12.2967539467689,-10.6033123878493,-12.5630755356887
-12.3022506305008,-10.6510282169264,-12.5658567510129
-12.2962058113292,-10.6850118437135,-12.5616469840249
-12.3145996425901,-10.6539597997153,-12.5704379427529
-12.3001320434328,-10.6532985802136,-12.5670702333676
-12.2992760622122,-10.672020460002,-12.5883237140866
-12.2745627239712,-10.6855609422905,-12.5698403760821
-12.2954379166028,-10.6957558239639,-12.5708685252265
-12.2813378050271,-10.6806081668723,-12.5823423520255
-12.2906848969181,-10.6621415352982,-12.5766426050604
-12.2904459625642,-10.6741511755239,-12.5794001625104
-12.2966808794008,-10.6755383306915,-12.5737805024354
-12.3036665792187,-10.6463768249909,-12.5730740871862
-12.2951955416933,-10.6654142484909,-12.5743757199496
-12.2947151914401,-10.6309395367881,-12.5772223232232
-12.297739834056,-10.6601727539001,-12.578739041887
-12.3244732682182,-10.617711058698,-12.5910084623858
-12.3121339156023,-10.7046816371792,-12.5828501717741
-12.3113736594178,-10.6536764734633,-12.5775948217962
-12.3272764902087,-10.6648539720732,-12.5701183584876
-12.3025230840832,-10.6440906742524,-12.5768634897043
-12.3173724884132,-10.6608294451381,-12.5800195663884
-12.3104732005732,-10.6651341495208,-12.5619692866698
-12.2854890032414,-10.6612045037454,-12.5741404437411
-12.317274069821,-10.6597973080537,-12.5800883653647
-12.293749217895,-10.6933984015284,-12.58113352746
-12.3199235159034,-10.6952122964571,-12.5943237729036
-12.3099640826203,-10.6637324766286,-12.5940660077263
-12.3345582043197,-10.6851949100756,-12.6029005602427
-12.3234289234718,-10.6611107522804,-12.5857548802629
-12.3193075764424,-10.684554031134,-12.6090680397374
-12.3215998052774,-10.6559408389935,-12.5811747614561
-12.3404155837625,-10.6516909388442,-12.5874089820597
-12.3157921469903,-10.6482779662479,-12.591471091488
-12.3219071173018,-10.6675590714328,-12.58464605817
-12.3189994643854,-10.6656942690276,-12.5956928840765
-12.3163430877468,-10.6954840971382,-12.5918791159752
-12.312574509602,-10.6648539720732,-12.5741681261683
-12.3071118377044,-10.6627033330658,-12.5793588552741
-12.2950903418478,-10.6362399876884,-12.565884663702
-12.2923741873131,-10.6628905288731,-12.5681430079858
-12.2826678790261,-10.6655075973824,-12.5646417943296
-12.2784491195057,-10.6193742200656,-12.5677112500978
-12.2699531377142,-10.7030646767119,-12.5647815196299
