meanPPG_1,meanPPG_2,meanPPG_3
-12.4214138374479,-10.3585044394735,-12.7622654388411
-12.2859368757391,-10.4219241393035,-12.7162340487505
-12.3035849443442,-10.3370864998881,-12.6532553469902
-12.3216131686338,-10.3954972620445,-12.6724572339405
-12.3213369563049,-10.3717396487431,-12.6775127425619
-12.2984694947961,-10.3295392942527,-12.6611275979783
-12.301496455242,-10.351117752805,-12.6529099967441
-12.304555061197,-10.3563450229469,-12.6791091708933
-12.2985241978951,-10.360912399575,-12.6798317142773
-12.2651666848379,-10.3509899164353,-12.6686487589471
-12.2921861195255,-10.3867775261076,-12.6770133355973
-12.2848745837676,-10.3893645309382,-12.670573663139
-12.3066055268911,-10.3940288329994,-12.6743122197454
-12.3020416991386,-10.2905170984886,-12.6679180870744
-12.326199598731,-10.3491984892128,-12.6891035501447
-12.3313563694493,-10.3562178531114,-12.687733069583
-12.3156308385997,-10.3445771716172,-12.6783985761455
-12.3216844368517,-10.3805909188971,-12.6750632618515
-12.3637001313994,-10.3937838850496,-12.6963812268663
-12.3292057882508,-10.3346204073929,-12.6835979161748
-12.3504197123121,-10.3767359119468,-12.7050888113367
-12.3387442936803,-10.367598856077,-12.7010615274698
-12.3618619820259,-10.3508620637215,-12.6899298690644
-12.3739529272601,-10.3668441390601,-12.7024625742198
-12.3458650222248,-10.3771096273046,-12.6960136969084
-12.3356876290265,-10.3480451604504,-12.7010371440652
-12.3738979711721,-10.3574888243044,-12.6939039138505
-12.3503071796342,-10.3529057481728,-12.6984491256276
-12.3582699902686,-10.3307141524258,-12.7054651596697
-12.3751485311296,-10.3820791989684,-12.7179856778531
-12.3566110948154,-10.3937838850496,-12.6906939145993
-12.3780702600202,-10.3635671005842,-12.7057806974822
-12.3519333439324,-10.3848019729277,-12.7164021462475
-12.3341755807045,-10.3452202998148,-12.6941740182106
-12.3499175456255,-10.4280977312727,-12.6923186503218
-12.3000501194946,-10.3719900556556,-12.6771382107223
-12.2479053291321,-10.3620509916393,-12.6699450169707
-12.2062226342813,-10.3865307952897,-12.6524493441448
