meanPPG_1,meanPPG_2,meanPPG_3
-12.4611837462093,-11.1673317538995,-12.8125174922508
-12.4953596793422,-11.1634247247795,-12.7813367854334
-12.4691866288882,-11.1135219482407,-12.7631366089005
-12.3979319068046,-11.1540767314906,-12.782775893435
-12.4457468102701,-11.1659745179279,-12.7873045414616
-12.4736043052154,-11.1716175553054,-12.7969212844681
-12.4409708395416,-11.162232592709,-12.7715682562351
-12.4382195447973,-11.1790737916716,-12.7725789251227
-12.4713633928971,-11.1292609868209,-12.8311122768754
-12.4280555235236,-11.161095906028,-12.7691680867298
-12.4660918548115,-11.1877491880909,-12.79506968874
-12.4766912108686,-11.1505198463225,-12.7943702909706
-12.4417809289525,-11.1677837568452,-12.8136183637944
-12.4932233268187,-11.1706041558267,-12.8130190295823
-12.419513275383,-11.1585336270461,-12.7655741412202
-12.4863599439101,-11.1658613317365,-12.8072361074739
-12.4928818371323,-11.1575639438283,-12.8166422416628
-12.4628521132421,-11.1428468055323,-12.7796476909493
-12.4850708722978,-11.162232592709,-12.802345423527
-12.4343430321362,-11.1931608750516,-12.7925139614116
-12.4797305879655,-11.1702661276545,-12.7923470564413
-12.468721484887,-11.1947566932469,-12.7949032098241
-12.4545525046576,-11.1548209282219,-12.7655169901986
-12.4941571370006,-11.1691385411337,-12.8211609825894
-12.4452627593448,-11.1538476364152,-12.7973864162085
-12.4468714220831,-11.1703788164082,-12.8469576414273
-12.4503630183458,-11.1801902370259,-12.8057878812976
-12.4428389838885,-11.172236349801,-12.8087150816643
-12.4766454353745,-11.1768371546399,-12.8023894914357
-12.4786423492066,-11.1625165626101,-12.8093717020628
-12.4658836532099,-11.1941516826408,-12.7899293761242
-12.4388971844972,-11.1592175436349,-12.8350012537635
-12.4329452353298,-11.1698152456088,-12.8299126194908
-12.4746636374763,-11.1549925873074,-12.7983602769791
-12.468698414264,-11.1813054373199,-12.8096889140998
-12.4577414554549,-11.1673317538995,-12.7932591303603
-12.4557919133299,-11.185753843232,-12.7908659458946
-12.4402590000392,-11.1648420791002,-12.7829781020026
-12.4780292178955,-11.1363393164124,-12.7881318285662
-12.4659646256504,-11.1662574273705,-12.7694869243417
-12.4399305921616,-11.1629707467896,-12.7817754830709
-12.4237814553543,-11.1671056757885,-12.7702608212927
-12.4571581587231,-11.1565933194123,-12.7744046225982
-12.4403104276499,-11.1668795465547,-12.8004707400199
-12.4552347592429,-11.1482759513618,-12.7559843580034
-12.4079762170518,-11.1775086711732,-12.7635375505459
-12.4720227807637,-11.1868628596482,-12.785703923259
-12.4141228633967,-11.1759971243494,-12.7855694890587
-12.4566951678327,-11.1883580835181,-12.7727605101334
-12.4417177260673,-11.1442936069074,-12.7930478701926
-12.4738070801723,-11.1959656174517,-12.7840221953922
-12.4944457291787,-11.1470656114544,-12.770670289104
-12.4858195677876,-11.160242542301,-12.7888802688851
-12.4593845220269,-11.1662008518847,-12.7810554677395
-12.4298400022373,-11.1518982062926,-12.8136946169331
-12.4370256237359,-11.1779001810079,-12.7919463708183
-12.4743081023061,-11.1466618390612,-12.7693502920986
-12.4837460479271,-11.1743710621447,-12.7714205449082
-12.455117834367,-11.146200185178,-12.796444853921
-12.452874127995,-11.148391145464,-12.784179276379
-12.4321040230575,-11.1548209282219,-12.790854801412
-12.4615594683653,-11.1554502008607,-12.7846167290654
-12.4271139887525,-11.159559326606,-12.7917014283229
-12.4441284543788,-11.1382029241966,-12.7948477106927
-12.4478338085614,-11.1479302894158,-12.7812917799202
-12.4925289670561,-11.1658047338363,-12.8072141802941
-12.4669858577304,-11.1860312126621,-12.8214744774653
-12.4643323439337,-11.1605270777988,-12.7973310547256
-12.4501084263868,-11.1693641601769,-12.8099513583319
-12.4849725170992,-11.1691385411337,-12.8221551795871
-12.4936209590366,-11.150117466528,-12.7987915712556
-12.4754125237341,-11.1662008518847,-12.812233903322
-12.4618072902446,-11.177564610535,-12.778068624526
-12.4630802811515,-11.1369803233981,-12.8057988605961
-12.4733211166635,-11.1660311062198,-12.7942036955694
