meanPPG_1,meanPPG_2,meanPPG_3
-12.937875475779,-11.3587481181207,-13.0806409776409
-12.9368671867887,-11.3342293283913,-13.0741390531173
-12.9662497722992,-11.3600539666414,-13.0753136977127
-12.9751340231799,-11.3614512003464,-13.0776253920575
-12.9756506340849,-11.3461622470921,-13.0814330436823
-12.9783798366088,-11.3559909137664,-13.0830735418622
-12.936782916145,-11.3499829163468,-13.0817413628867
-12.9322991231404,-11.343749129926,-13.0704551571465
-12.9581182530067,-11.3579077427036,-13.070969025279
-12.9031421238135,-11.3699784556503,-13.0697892631171
-12.9902230168459,-11.3379051888377,-13.1007883002465
-12.9541411561898,-11.3726513914783,-13.0964217851635
-12.9811614988184,-11.3230232474358,-13.0982264104143
-12.9223136002436,-11.3691936530802,-13.1158864473045
-12.9360795812973,-11.3096825753624,-13.091153372678
-12.9357903960987,-11.3599607482773,-13.0818913216484
-12.9510387323196,-11.3509710819684,-13.0886742169651
-12.947993323454,-11.3627535261118,-13.0730722877927
-12.8878453816684,-11.3529914270539,-13.0762691758597
-12.9693264105019,-11.32755927799,-13.0840382630827
-12.9696643101442,-11.3780674785234,-13.0979395286937
-12.9621946252515,-11.3716844292757,-13.0560526201169
-12.9307112256812,-11.3468236540232,-13.0652171987836
-12.9966232680372,-11.3499829163468,-13.0993567427541
-12.9116472843481,-11.3422320386569,-13.0896914143023
-12.9365517373489,-11.36789969292,-13.0773827477352
-12.9804495213228,-11.3665114465147,-13.1015400693908
-12.9671074203165,-11.3521461978526,-13.0896748827808
-12.9304180604272,-11.3536952393997,-13.0865289243951
-12.9488953125318,-11.3436070003509,-13.1027237768186
-12.9087517525927,-11.3394764306799,-13.1099587572456
-12.958047540317,-11.3381434145339,-13.0816913716352
-12.9331283777413,-11.3641934111698,-13.0932887779177
-12.9503857373648,-11.3510651420729,-13.1131773144241
-12.9623589310014,-11.3399520775686,-13.0982018237772
-12.8919585265494,-11.3469653271835,-13.1275658211954
-12.9652931063821,-11.3776096240215,-13.1074121629511
-12.9112373258074,-11.3339423294417,-13.0860810629261
-12.9347920647242,-11.3500770694398,-13.0787040280639
-12.9142562109162,-11.328473640767,-13.1042645777691
-12.9420613799269,-11.3055076141175,-13.1149358615755
-12.9820685930941,-11.3356630889122,-13.1105174911206
-12.9881894927117,-11.3454531110265,-13.1076476299686
-12.9633653012452,-11.3758219857484,-13.1117714807919
-12.9735477740474,-11.3481451569529,-13.1030582263463
-12.9439661105025,-11.3644718592875,-13.1051683872652
-12.9280089147024,-11.3326977146329,-13.0840133251159
-12.9745545454817,-11.3499829163468,-13.0830485798252
-12.9011280043594,-11.3310678005616,-13.059542846343
-12.9100979442373,-11.3489937732879,-13.0725510910459
-12.9219642006332,-11.3751794891682,-13.0622990985664
-12.9524643406089,-11.3601937778964,-13.0819163125891
-12.9351466588322,-11.34085518384,-13.0875483051475
-12.9787216182645,-11.3568796571885,-13.0667238095337
-12.8949783437077,-11.3108092808481,-13.0866532947702
-12.8968094234022,-11.3805362769245,-13.0920031340947
-12.9493305465126,-11.3399996298166,-13.0919866407456
-12.9180219530527,-11.3292429825369,-13.0633095212893
-12.9060439884378,-11.3206990162907,-13.0842709874549
-12.8944459492512,-11.3490880195534,-13.0645986621538
-12.9790655912948,-11.3638220263645,-13.1024300215635
-12.9227507886165,-11.3632182317292,-13.0774496899808
-12.9832530226998,-11.3046212638527,-13.0751627492529
-12.9446328656166,-11.3569264112853,-13.0854420985246
