meanPPG_1,meanPPG_2,meanPPG_3
-12.5097006530865,-10.5317761607476,-13.1936863321376
-12.5158414993168,-10.6241526191328,-13.1940587272382
-12.5164905392556,-10.5954340125196,-13.2334252096259
-12.5125310835576,-10.5377336251759,-13.2064692040344
-12.5220432963549,-10.5335884313784,-13.1747129137719
-12.5294668795139,-10.5499623248976,-13.2205059059557
-12.5332734636422,-10.6059908280201,-13.144077901351
-12.5176921674596,-10.5851692549868,-13.2152269302928
-12.5129468648552,-10.5772480192959,-13.2117652282666
-12.5333347415755,-10.5891064666753,-13.184767121526
-12.5352576805908,-10.5935299181426,-13.1928963955896
-12.5123396924751,-10.5730589965674,-13.2042382517888
-12.4921046072978,-10.5673089037142,-13.2079464014501
-12.4630764143325,-10.5922250246074,-13.1944309837124
-12.437049436756,-10.618494067449,-13.1807832175337
-12.4339768469459,-10.571419483955,-13.1803303531589
-12.4190244368495,-10.5463935166593,-13.1997539559057
-12.421317080811,-10.5949332864563,-13.1813414679612
-12.4260391553886,-10.5485992840575,-13.1961341498555
-12.4357627215144,-10.5868873816412,-13.179741322701
-12.4457232034651,-10.5920241205384,-13.2068515738495
-12.4532725094779,-10.5431284655729,-13.1794542334067
-12.4517249631628,-10.5115124796792,-13.1972407677656
-12.4599432484557,-10.6107348574749,-13.2102203967377
-12.4612767215361,-10.5733661061567,-13.2424122884695
-12.4722373713946,-10.6221075290691,-13.1787059029424
-12.4750954617878,-10.5698799957873,-13.1638200504735
-12.4860463345854,-10.5813180289842,-13.2418232286416
-12.4717429773908,-10.5525783468992,-13.1796053433093
-12.4755309186807,-10.5544576541969,-13.1759193100941
-12.4653205206352,-10.4971458345953,-13.1621839106296
-12.470465620004,-10.5892072172673,-13.188675325091
-12.4602612726747,-10.5469191408501,-13.1803454519427
-12.4744228048825,-10.5506955011546,-13.2064765586791
-12.4641508147234,-10.5793868396865,-13.1909188198998
-12.4626393674474,-10.5531007310723,-13.1753049126962
-12.4624072294945,-10.5474444889053,-13.1688804839441
-12.4732904968808,-10.5752067856825,-13.2290486152302
-12.4772174784992,-10.556229318461,-13.2108796215132
-12.4726204544517,-10.5968347130987,-13.1985389249359
-12.4901570039631,-10.581114921438,-13.1785924706708
