meanPPG_1,meanPPG_2,meanPPG_3
-12.6082791167101,-10.8557629981298,-13.1373544477033
-12.6062002008805,-10.879103238495,-13.1429578479726
-12.6138218098615,-10.9079356711465,-13.1713059109173
-12.5949204478149,-10.8945146305243,-13.1627680048391
-12.6360384779006,-10.8827906415518,-13.1432242680717
-12.591403071218,-10.8925081645741,-13.1617302337243
-12.6278342416052,-10.9215403333458,-13.1683075909334
-12.6291320620393,-10.8971096273466,-13.1594510480082
-12.5924092990367,-10.9052217662278,-13.1677573046942
-12.5873099496744,-10.8812872209875,-13.1597131105964
-12.6415333536737,-10.8904231239796,-13.1615148573918
-12.6318141249093,-10.8692539278708,-13.1553260885071
-12.6543290078932,-10.8965911664232,-13.1473291234221
-12.6341110488906,-10.8851164857184,-13.1742269091756
-12.5875455623623,-10.9012476662078,-13.1511451788298
-12.6129434318763,-11.2660013849906,-13.161014697715
-12.6233543287725,-11.2572070677238,-13.1508886360149
-12.6167242803256,-11.2394355392193,-13.145462525983
-12.5991918557042,-11.25249532887,-13.1401482841964
-12.570892826774,-11.2568454134098,-13.1491065690465
-12.5847282353166,-11.2557596650416,-13.1254785203045
-12.5671852285675,-11.2148967164642,-13.1509352850586
-12.5806145209848,-11.2461956854931,-13.1294581498802
-12.5790421097627,-11.2571554108289,-13.1162728678476
-12.5868966397219,-11.2688646654006,-13.1350979474756
-12.5840500718121,-11.2632325784225,-13.1590886718964
-12.5922224076014,-11.2463001350441,-13.1699184935015
-12.5997282956788,-11.2472918620351,-13.1682617453109
-12.584286453731,-11.2598380372829,-13.1312438292103
-12.5797684099494,-11.2675363047087,-13.1244252502827
-12.5830319634516,-11.2799335776012,-13.1707420283424
-12.6134492588809,-11.2518204073689,-13.1461970846557
-12.5935808219975,-11.2411167416747,-13.1579312732904
-12.5804941830069,-11.281598520848,-13.134465846192
-12.5847316592178,-11.2466134182546,-13.1464626432676
-12.6016927839012,-11.2728391929257,-13.1869593968888
-12.608697056008,-11.2498969799571,-13.172965232803
-12.5931463301255,-11.2386465015412,-13.1274464367415
-12.6200084425062,-11.2773550186479,-13.1416796119209
-12.5996102361058,-11.2781141087883,-13.1249998987255
-12.6176887971228,-11.2637458991052,-13.1425188836079
-12.6086368835135,-11.256793737829,-13.1330817300849
-12.605499560386,-11.2596319367051,-13.1520852731415
-12.5792727930511,-11.2612795531833,-13.146103341247
-12.6285095806117,-11.2667691393469,-13.1638891242328
-12.6148323205878,-11.2521319662041,-13.152147397001
-12.6399956264548,-11.2513528870362,-13.1300060972751
-12.5798234633339,-11.2470831591229,-13.1343947097879
-12.6110376285967,-11.2613824391343,-13.130585483063
-12.6152143201108,-11.2690688720585,-13.1802473057727
-12.6198762250877,-11.248907834446,-13.1342049879669
-12.645852220053,-11.2693751038784,-13.1468140095003
-12.625917205333,-11.276392676537,-13.1597747624025
-12.6679401410216,-11.2610222919846,-13.1211065879752
-12.5842282198948,-11.2693240717536,-13.1451967016132
-12.6051976978921,-11.2856734856115,-13.1445709536284
-12.5878050135563,-11.2517165328492,-13.1667170482078
-12.5802018733285,-11.2586523784591,-13.1647329737708
-12.611050968511,-11.2785187213773,-13.1371574041442
-12.6071883085005,-11.2717197708376,-13.1304743939933
-12.6150781457143,-11.2716179430283,-13.1585872969616
-12.6485862374139,-11.2751757612667,-13.1713516171936
-12.594717075908,-11.2766966741074,-13.188705271487
-12.6714688016547,-11.2698342758463,-13.1752745623009
-12.6227612011272,-11.2749727980023,-13.1536604737621
-12.6152840607917,-11.2627189941063,-13.1595975032144
-12.5862096891912,-11.2619481227266,-13.1537535114424
-12.5894250601927,-11.2441044001594,-13.1363451749247
-12.5979593158241,-11.2527029054146,-13.1205056529022
-12.5636421891952,-11.256793737829,-13.1462361418159
-12.5564372209078,-11.259683465832,-13.1497606218612
-12.5734550593625,-11.2443660501255,-13.1529236197848
-12.6207353259924,-11.2153277277311,-13.1454156209345
-12.5893432681286,-11.237066555984,-13.1371258735714
-12.608646912514,-11.2712105280706,-13.1416011393117
-12.6130932099554,-11.2161353734877,-13.1363609526482
-12.5646837139697,-11.2423233624963,-13.1456657557741
-12.585744619029,-11.2673829187125,-13.1540868254001
-12.6065654120118,-11.2435285291386,-13.1059412697076
-12.6127436928679,-11.2449937308659,-13.1386224789203
-12.619062703387,-11.2334760774449,-13.1729196002214
-12.6004093958505,-11.2402764937522,-13.1521008044682
-12.5895954388427,-11.2501050965031,-13.177063661406
-12.5641036695765,-11.2622565425913,-13.1681471220583
-12.6005576927952,-11.2646692128409,-13.1412008331899
-12.5840843335236,-11.2564319339745,-13.1753352621704
-12.5908247120408,-11.2327352582767,-13.1512384508109
