meanPPG_1,meanPPG_2,meanPPG_3
-12.807337514427,-11.3831811779146,-12.9629642820414
-12.8068715056466,-11.3926092234555,-13.0075449429719
-12.7981832819123,-11.4065866931981,-12.9903668063384
-12.7952860699045,-11.3769682753349,-13.0234442933318
-12.7798195458985,-11.402172659235,-13.0017403126805
-12.8116855851582,-11.3823610949491,-13.0082894544767
-12.7957741426371,-11.3937815036745,-13.0033545908221
-12.774560389588,-11.400249366682,-12.996945268616
-12.7815139749549,-11.3829534445438,-12.9943936329597
-12.7882659187644,-11.3989949986293,-13.0280790712117
-12.8187307688174,-11.4104053559798,-12.9723308729074
-12.8148676375954,-11.389491492805,-13.0325699522869
-12.7973559677722,-11.421117146486,-12.9806062459625
-12.7559757029547,-11.3998463485183,-13.0061081740176
-12.7984625879631,-11.3957172640647,-13.0137531426803
-12.7971511087366,-11.3927896637302,-13.0426706084951
-12.7770889146055,-11.4139887171102,-12.9985401363807
-12.8274848054893,-11.4080981404741,-12.9990651610598
-12.8144922029847,-11.3853193403651,-13.007284681722
-12.7925779342648,-11.3857282547032,-13.0062609287701
-12.8479896876029,-11.399891136336,-12.9879172808514
-12.7985897708079,-11.390983794165,-13.0134320495338
-12.8313049447915,-11.3773806181351,-12.9832024543808
-12.7775294793262,-11.4080981404741,-13.0204103828798
-12.7951723369245,-11.4020385960017,-13.0303094901202
-12.7599692529434,-11.4092967821572,-13.0066921103941
-12.7968797443258,-11.3778843618776,-13.0082535871142
-12.7703859542467,-11.3782047940059,-13.0026965685608
-12.7868095189448,-11.4196691744904,-13.0025883590672
-12.8025960338747,-11.3857736793097,-13.0033095346145
-12.7742205030502,-11.3931955353451,-13.011753552644
-12.8072662565612,-11.3760972151079,-13.0182731656798
-12.8711572289752,-11.4293699278631,-12.99836808558
-12.7970015905173,-11.3759137372853,-13.0187258210438
-12.7844344803683,-11.3955373513219,-12.9893529918892
-12.8051343959736,-11.4167228870972,-13.0395120626171
-12.8121220817346,-11.3865455820883,-13.0251650161068
-12.7987970994619,-11.4220812976695,-13.0315454921184
-12.795505177472,-11.4163705107556,-13.0042642918094
-12.7863450377563,-11.3954473828108,-13.0132536198925
-12.8144241743854,-11.4065422042647,-13.0037419904297
-12.8176545014902,-11.3959870725023,-13.004327309738
-12.8115627861596,-11.390983794165,-13.0090065317008
-12.7856227047574,-11.4089861611345,-12.9984043092612
-12.7597077275014,-11.3715001399409,-12.9923093602668
-12.7730328258397,-11.3950874278013,-12.9678499651309
-12.751337376463,-11.3787996099737,-13.0073205838528
-12.7972590802157,-11.3916162195373,-12.9997888810118
-12.7868710605049,-11.3861370018988,-12.9970812940439
-12.7751718943901,-11.3718226239922,-13.025623375892
-12.7980698779826,-11.4032445185668,-13.0072398022458
-12.7646965131038,-11.4040476597844,-13.0240976342224
-12.7691794755381,-11.3848647949027,-12.9912792734388
-12.820969053608,-11.4053847967281,-12.9774763240559
-12.7936120576456,-11.3837275264985,-12.9970450224056
-12.7824387882662,-11.3749499260259,-13.0054969215603
-12.786750771195,-11.3777470023847,-13.0017944647938
-12.8081100621743,-11.4243565119522,-13.0034807374046
-12.806745371813,-11.4062752290918,-13.0069704830831
-12.7696093082088,-11.4068980603247,-12.9974620668359
-12.7738209886957,-11.3978288177392,-13.0001595845843
-12.7596042480032,-11.3667429547921,-12.9996803564038
-12.8068331187727,-11.3887671503404,-13.0199584895721
-12.8042605846997,-11.404003057746,-13.0143504583437
-12.7725108222419,-11.4080981404741,-13.0183530609283
-12.7636348978324,-11.4076093927692,-13.0156686387334
-12.8116555690177,-11.3994879737441,-12.9819696354859
-12.7899712059854,-11.3938265639426,-13.0035978592701
-12.7667450179407,-11.3790282911702,-12.9895814181702
-12.8267727815245,-11.4122649978706,-13.0015868657661
-12.8256889950507,-11.376922448971,-13.0134142080022
-12.8338969974638,-11.3945022244264,-13.0021463820698
-12.7926752764072,-11.4075649493124,-12.9870292179145
-12.7808781969494,-11.4025300733478,-13.0045793417474
-12.7718068207594,-11.38208758444,-13.0057756271097
-12.8093498216611,-11.4248371446489,-12.9990832604436
-12.7672529232986,-11.4192299808429,-13.0097768166548
-12.7912225037778,-11.3736174195683,-13.0038320618564
-12.8082168569218,-11.3728814828256,-12.9901385594107
-12.7730810406851,-11.3804906137815,-12.98383667181
-12.7698938639481,-11.4066756651275,-12.9996532234114
-12.7902305120782,-11.3908482223908,-12.983956117033
-12.7908018634233,-11.4240068157472,-13.0409971275685
-12.8203416484216,-11.4031552408237,-12.9926555228756
-12.818592572603,-11.4117340244068,-13.0219152207741
-12.7932897037928,-11.4145626305533,-13.0001957434301
-12.792452766157,-11.4199764953138,-13.0379638592671
-12.8058098397741,-11.3928798716596,-13.017225059281
-12.8251049308355,-11.3968859085702,-12.9927283839478
-12.8057192579505,-11.4013232883889,-12.9970903617479
-12.8281184833391,-11.3803992812396,-13.0216586732827
-12.8275224077541,-11.3926092234555,-13.0046513392276
-12.8217662636853,-11.3873168894926,-13.0391469722097
-12.8267593422358,-11.3974248226714,-13.0087287252943
-12.7911361615813,-11.3703475614956,-13.0003945937146
-12.8136728309153,-11.4059636679454,-12.9764030647608
-12.7953027126703,-11.3994431678655,-13.0195329916001
-12.815348967053,-11.4033337883401,-13.0090244520449
-12.7886345741261,-11.400249366682,-12.9964917168443
-12.8343239077604,-11.3936913770465,-12.9907045162123
-12.8020534245717,-11.402440731795,-12.9983952534639
-12.7533989403329,-11.3848193289908,-12.9927283839478
-12.7762128569218,-11.3930151682977,-12.9723029875905
-12.831727613765,-11.3772890010943,-13.0021734475005
-12.7811398713576,-11.3879516374283,-12.9933474888148
-12.8137300181996,-11.4062752290918,-13.0178291869125
-12.7411234555867,-11.3930602631095,-12.9737519939744
-12.7871115957249,-11.3644254566518,-12.9983952534639
-12.7769561423055,-11.3805362769245,-12.9947208967645
-12.779611062306,-11.3749499260259,-13.0014243668942
-12.797768326929,-11.3862278119243,-12.9960107272671
-12.7649996248628,-11.3938265639426,-13.0023899445786
-12.8369400853197,-11.3897629860193,-12.9841582226063
-12.8070716419044,-11.3926543365766,-13.0121645091063
-12.7793715342596,-11.386681738396,-13.0109937319251
-12.7933619645541,-11.3630788427175,-12.9925735478233
-12.83900793159,-11.3940968829207,-13.0278065137861
-12.7734411604075,-11.3934660249329,-12.986589472227
-12.8058482659478,-11.4078315804298,-12.9988298392562
-12.7994906468741,-11.3959421094844,-12.9661211785419
-12.8028961328545,-11.3808102120036,-13.0232234735596
-12.796774501575,-11.3804449485533,-12.9651199198668
-12.779670230986,-11.4124419263919,-12.9802651079412
-12.7535233089094,-11.4079204416731,-12.9844245721043
-12.8164711689687,-11.4030213092625,-13.0163537622381
-12.7914369344026,-11.3743068687257,-13.010224384133
-12.7981500918494,-11.4020832857432,-13.017944640356
-12.7820565983131,-11.387724987986,-13.0016590790118
-12.7764050901352,-11.3972003104233,-12.9932018515606
-12.7266772983493,-11.3715001399409,-12.9983409169579
-12.8187036730257,-11.3865909695841,-13.0011986302015
-12.8094346055511,-11.3914355673825,-13.0513312852624
-12.7731859708428,-11.3950874278013,-12.956629874934
-12.8560017340529,-11.3940968829207,-13.0264514165661
-12.8282956265034,-11.3954923680781,-12.9909600046528
-12.7741723431139,-11.3860007713966,-13.0019839741006
-12.798473647983,-11.4124419263919,-13.0091050896194
-12.7826242101718,-11.3780674785234,-13.011682064712
-12.7857375289854,-11.3962118572719,-13.0185838335739
-12.7972452383698,-11.384000588895,-12.957073553699
-12.7780629805322,-11.3963916487143,-12.974642647736
-12.8088792771887,-11.3825433937373,-13.0098663461772
-12.8341424931529,-11.4064087255877,-12.9913339949973
-12.7913895965314,-11.3848647949027,-13.0225253624078
