meanPPG_1,meanPPG_2,meanPPG_3
-12.5859600828328,-11.1765012271971,-12.8220687669017
-12.6252368247538,-10.8979977926037,-12.8058757123108
-12.5832514414378,-10.9921168431508,-12.7856367084179
-12.5888046366486,-11.2071065769871,-12.7938481992595
-12.6236606402739,-11.1890219105049,-12.8062379337198
-12.5906102939553,-11.1831984282532,-12.7951917556661
-12.5987969329875,-11.1926651028763,-12.8035565839666
-12.5874328849593,-11.2093307892584,-12.7966997170996
-12.6222468724467,-11.206291603157,-12.7830904224304
-12.5738151178067,-11.2041695575801,-12.8033695004333
-12.6119743249939,-11.2031886310709,-12.80127618176
-12.5666066337699,-11.2023158878747,-12.8079703902935
-12.5860182159063,-11.208626086695,-12.812997228841
-12.5882759502854,-11.1947566932469,-12.7972867633326
-12.6636303951295,-11.1993647435316,-12.8145547852089
-12.5675719335844,-11.2056391455436,-12.8002941181338
-12.5652599308946,-11.2061828897797,-12.8127573893143
-12.6171784814451,-11.2112256007502,-12.8099185565694
-12.5980843274385,-11.194646718541,-12.7972867633326
-12.5990467312935,-11.1964048641507,-12.8059415805085
-12.6313665243836,-11.2127928721279,-12.8117538003088
-12.6042814905236,-11.2069979521771,-12.8303947976596
-12.5626975882189,-11.2227335789029,-12.8197869324422
-12.6008171595419,-11.2049318357396,-12.8043045682938
-12.59919523044,-11.2008960536476,-12.8019377032836
-12.5982464813838,-11.2035157134986,-12.7969655920514
-12.5942796862021,-11.2218242204728,-12.8054254968037
-12.6010496115239,-11.1927752957139,-12.805491394662
-12.5829702265878,-11.2393829560722,-12.7988468519433
-12.6253354593227,-11.1905139119973,-12.8251426226938
-12.5832274383791,-11.191121126832,-12.8109786022397
-12.5661149136638,-11.2187691464096,-12.81092398817
-12.5978072536067,-11.1868074380282,-12.8078279596597
-12.6301959354569,-11.1792413379567,-12.7945590655466
-12.5893875729938,-11.2014969987884,-12.8088354943515
-12.5873167798089,-11.1767811745688,-12.8144024042562
-12.5913044336074,-11.1814726101492,-12.8003934717832
-12.584272751957,-11.207052266057,-12.8045244572508
-12.6100466424845,-11.1935463057752,-12.8008128561772
-12.5778430771142,-11.1933811393697,-12.8004707400199
-12.579596348585,-11.2011692552994,-12.798227533616
-12.6344271153324,-11.2154354515274,-12.7957020559778
-12.601864451076,-11.1794088561746,-12.7910553830996
-12.5865344261144,-11.2239625726187,-12.8018825932012
-12.6023557275635,-11.1959106980459,-12.7990237296108
-12.6027727866304,-11.1848657437065,-12.7933925348428
-12.6165053944538,-11.2053127570296,-12.7960014588376
-12.5973475472023,-11.177564610535,-12.8116992285606
-12.6174071615806,-11.1976117986839,-12.7899851488837
-12.6028736618915,-11.2083006717881,-12.8090872194909
-12.5799989257725,-11.1820853382006,-12.8034465390682
-12.6241117025002,-11.181584043178,-12.7899293761242
-12.6044225001527,-11.1763332211484,-12.7826410650039
-12.583474299473,-11.1916176648688,-12.805645139446
-12.5794621201659,-11.1899615783738,-12.7795462544963
-12.5721799644239,-11.2164044438512,-12.7802560936856
-12.6011540288836,-11.1906243421228,-12.811404489648
-12.581851443268,-11.1972279320454,-12.8104869682021
-12.6143737284575,-11.1892430882774,-12.8113280616732
-12.5887978166687,-11.1932159456797,-12.8003934717832
-12.5981518947779,-11.2017700363328,-12.8123648005133
-12.6198497795061,-11.1910659407169,-12.8131934184044
-12.5927965628191,-11.2058566787183,-12.7816405196795
-12.584943918202,-11.1870845154177,-12.7947367031885
-12.571149692733,-11.1897958187801,-12.806731660655
-12.5930920053653,-11.1912866669069,-12.7947256017603
-12.6094856495122,-11.2008414043594,-12.8220903707731
-12.5906613500507,-11.2083549149603,-12.8175432844364
-12.6089076312301,-11.1944817338017,-12.7967551135443
-12.6029711649722,-11.1959106980459,-12.8038206423251
-12.6297868873062,-11.2193057998517,-12.7802335668505
-12.6127536807659,-11.2042240252944,-12.828142641073
-12.6248356105823,-11.2155431637205,-12.8043045682938
-12.6149186984645,-11.2010599835952,-12.7936148361064
-12.5893671248384,-11.2221987623322,-12.7905872965619
-12.5789732387649,-11.2117122582341,-12.8119284098932
-12.6124606609617,-11.1945367317393,-12.8043155638901
-12.5619938054451,-11.2001853798443,-12.812626543505
-12.582465899485,-11.1838101000826,-12.8089011678884
-12.5928644883727,-11.1822523807134,-12.816609658644
-12.580280977321,-11.1866965855727,-12.79423701687
-12.58598402039,-11.2031341069303,-12.7995099819411
-12.5850739901525,-11.2140880692868,-12.8033695004333
-12.588767126184,-11.2019884127053,-12.8091200485337
-12.6180961999356,-11.1984886552096,-12.7869913353471
-12.5876172595544,-11.1932710132752,-12.7854014208899
-12.6062940293153,-11.1980503230564,-12.7970763524214
-12.5931700962802,-11.1791296435524,-12.7816180240099
-12.6214451792807,-11.178012012813,-12.7861854974559
-12.5782291295946,-11.1759410972323,-12.8000070410185
-12.5840569242483,-11.2065089944622,-12.7921022120832
-12.6105205698156,-11.1955811182572,-12.7920354259435
-12.6270698372211,-11.2144655193466,-12.8044145188162
-12.5746213169331,-11.1895194917176,-12.7939259748768
-12.6295086389596,-11.1886900520947,-12.786599689703
-12.6058650274419,-11.1672752391632,-12.7946145806994
-12.562834085728,-11.2157047102597,-12.7807965855463
-12.616711015879,-11.1984886552096,-12.7753671574228
-12.5824899208297,-11.1844213979982,-12.7710454873666
-12.6346225703523,-11.2091682096618,-12.7781363499671
-12.5933262598176,-11.1917279731806,-12.7995652229299
-12.5865310083801,-11.1912314899267,-12.7757971676139
-12.5832274383791,-11.1742026978039,-12.8097217233958
-12.5417374133791,-11.1818068719907,-12.7943702909706
-12.6000115817997,-11.181695463791,-12.7805939353311
-12.5691589924298,-11.1810824967327,-12.805392546246
-12.6350491810993,-11.2120365650312,-12.7926474653334
-12.6252960066626,-11.1949766063821,-12.7884558491053
-12.6269057257693,-11.1940416413752,-12.795258331346
-12.6225897876247,-11.1941516826408,-12.7780234716836
-12.6042512715874,-11.1964048641507,-12.7863758233056
-12.6087171127016,-11.1829759093382,-12.7875952878992
-12.6057242210906,-11.1873615160565,-12.8003824329763
-12.5824624678172,-11.1891325055061,-12.788254745268
-12.598668633929,-11.2076495241174,-12.8035895950749
-12.5830079551242,-11.1906243421228,-12.794414711724
-12.6114010776319,-11.1832540502462,-12.8137381875447
-12.617794804073,-11.1843658408994,-12.8077293419512
-12.6299570716621,-11.1913418408428,-12.802962197598
-12.6140911575927,-11.1959656174517,-12.8009562894176
-12.6030350411466,-11.1991457933966,-12.8106945765007
-12.580793282102,-11.2047685393291,-12.8120047920002
-12.5923685257024,-11.2252433925184,-12.8136728309153
-12.5780671435767,-11.1937114449053,-12.8125065864713
-12.6339448295492,-11.1893536588215,-12.8126701606771
-12.6079346034153,-11.1963499688635,-12.8038536447177
-12.6102102061703,-11.213818374849,-12.8028741103034
-12.5671991664811,-11.1848657437065,-12.7828770028298
-12.6124273578232,-11.2047685393291,-12.8127464861508
-12.603848265154,-11.2024250224378,-12.8085837058307
-12.611257714431,-11.2177487107562,-12.8069071492816
-12.5668924874984,-11.1974473024532,-12.8062928043075
-12.6158783197368,-11.1808595064318,-12.8129427249086
-12.5969891000187,-11.2227870448317,-12.8122775376229
-12.6135590427897,-11.1978310849081,-12.8161859827606
-12.604476212877,-11.2003494263245,-12.8111533472217
-12.6167707045034,-11.1813054373199,-12.808178521658
-12.5937504941235,-11.1979955180253,-12.7874722901074
-12.613515796022,-11.1718426157913,-12.7877629877839
-12.605046732468,-11.1671622001081,-12.7883776468631
-12.5904162570162,-11.1831984282532,-12.7845382260065
-12.5937572804098,-11.1717863554183,-12.7914787012517
-12.584200814563,-11.1929956449683,-12.7790614715963
-12.5927524087349,-11.1771170079986,-12.7931813028593
-12.5992525992047,-11.1859757449304,-12.795402563449
-12.5925010329608,-11.207052266057,-12.7713750908793
-12.6069505819686,-11.1836433175944,-12.784695225962
-12.6121775489257,-11.1680096817261,-12.7833374829727
-12.6032636171861,-11.1803018130372,-12.778068624526
-12.6060862545156,-11.1768931315774,-12.7915009761913
-12.6301043232122,-11.1901273104958,-12.7782266434208
-12.6110176183915,-11.191010751556,-12.8033474883046
-12.5956657911478,-11.217157455935,-12.8026208161009
-12.6152641353792,-11.1925548978949,-12.7809429184991
-12.6107174172544,-11.1744832892926,-12.7952028519205
-12.6122741490993,-11.2198421654513,-12.795857313095
-12.6157289582568,-11.2053127570296,-12.7919575031427
-12.5774810175084,-11.1658047338363,-12.7796476909493
-12.5860113768966,-10.8756291771503,-12.7894049600829
-12.6061566346859,-10.8730536132691,-12.8034465390682
-12.5690407459554,-10.8557629981298,-12.7985151219685
-12.6236211214811,-10.8886324796155,-12.7930923497264
-12.6005711732452,-10.8996979075862,-12.7868794522424
-12.6028803865472,-10.9008788938468,-12.7792757069741
-12.6138982986917,-10.865057530609,-12.7747104693713
-12.6029207335312,-10.8725225256651,-12.8065232279039
-12.5868078070177,-10.8921361546,-12.7915232506347
-12.6031056363821,-10.8689493284167,-12.8000732968988
-12.5699064039007,-10.8702432358165,-12.7912670645754
-12.5845981183824,-10.8907957716456,-12.790174753002
-12.6217454771058,-10.8877359535935,-12.7941592654413
-12.6105772925432,-10.9006575651359,-12.7957020559778
-12.5934959751376,-10.8979977926037,-12.8144241743854
-12.5852177342062,-10.877594259787,-12.7890589180744
-12.5868146405828,-10.8719152228301,-12.8122557207104
-12.6181359376666,-10.8794801276563,-12.801551868912
-12.6004195077045,-10.9110804428171,-12.8046233915091
-12.6042479138714,-10.8882590247805,-12.7859839364775
-12.6382316144276,-10.8697106531585,-12.8024555896576
-12.5973779754803,-10.8675012126193,-12.7964891826183
-12.5911989826428,-10.8864644976053,-12.8017392927716
-12.5677216980539,-10.8829408593679,-12.7952250440601
-12.5867770553969,-10.8506566040552,-12.8005590392661
-12.6101401107237,-10.9126126747027,-12.8041066268838
-12.6250461036631,-10.6734105718981,-12.7877965243863
-12.5725335503784,-10.728364503774,-12.7920576884857
-12.635667606283,-10.6761850118541,-12.8004817778521
-12.6303758636497,-10.7142399751703,-12.8066329347673
-12.5930274908792,-10.6924902187396,-12.8041836087547
-12.6061298237765,-10.7004540617351,-12.7873604608036
-12.5845262043915,-10.7263463396177,-12.7870360850842
-12.5870572018948,-10.6893050679374,-12.784067078192
-12.6045769164594,-10.6864754370959,-12.7899963030623
-12.5994550508954,-10.6473278474116,-12.7829331702987
-12.5854025176337,-10.7019852487039,-12.7759555458214
-12.5911853752567,-10.6841876301039,-12.7899293761242
-12.5883544181827,-10.7080866583902,-12.7775153616725
-12.5979018728152,-10.7114801247651,-12.784470932765
-12.5631734987567,-10.6612982464218,-12.7780121831544
-12.5709414280974,-10.71894085748,-12.7847064393014
-12.5725855377698,-10.681343461023,-12.7834722175458
-12.5942762948368,-10.6878456131495,-12.7722270103052
-12.6257331866941,-10.7026150566333,-12.7819441616992
-12.5907532444539,-10.7222095560041,-12.7876847313375
-12.5620918745349,-10.6776615717384,-12.7889695974692
-12.6292761603932,-10.6857439081678,-12.7932591303603
-12.6158683629988,-10.6726694193721,-12.7876735513452
-12.6505565233255,-10.6674659138567,-12.7904200696848
-12.582187896233,-10.6597973080537,-12.7790727482868
-12.5838513307334,-10.6585761346363,-12.7835620305104
-12.5530996978764,-10.6732253352578,-12.7788246317158
-12.6150283211797,-10.6751686107502,-12.7879641905299
-12.6212768410591,-10.6949404218802,-12.7850091519453
-12.5813740351385,-10.6783990348987,-12.7851100358
-12.6121975359341,-10.6446627021067,-12.7779557385971
-12.6065419620933,-10.6913993095405,-12.7905984440261
-12.6352965970686,-10.6767389773377,-12.7790163635625
-12.6132462932529,-10.7058478180694,-12.7876288301261
-12.5823560802748,-10.7121039829022,-12.7931479463617
-12.5967117225197,-10.6574475724926,-12.7609917068067
-12.5944221131576,-10.7061167437131,-12.813552999333
-12.6240096551337,-10.6811596881658,-12.7838650897271
-12.6032602561522,-10.7155726571676,-12.7848297777366
-12.6246612624547,-10.7324759560075,-12.7833150254455
-12.5976653080054,-10.6970229071273,-12.7900074571165
-12.6205602614575,-10.6903072089587,-12.7851772860494
