meanPPG_1,meanPPG_2,meanPPG_3
-12.4612031167819,-11.0160684904316,-13.05565931317
-12.502020462399,-10.9812166302878,-13.0468809226204
-12.4497754006095,-10.9879333012867,-13.0507814428987
-12.4504217611327,-11.0072200438988,-13.0534847851015
-12.4409787460237,-11.0206598667251,-13.0639118926142
-12.4432374382066,-10.9842073883627,-13.0471397061667
-12.4272101861496,-10.9887443861571,-13.0495259823409
-12.4834126729188,-11.0098034255893,-13.062715278634
-12.4605636896868,-10.9897573180059,-13.0483981642908
-12.4502259384221,-10.9930590965521,-13.0407888303971
-12.4602651503947,-10.9797178903111,-13.0589719314577
-12.4482342026801,-11.00788308596,-13.048329248678
-12.4620937577538,-10.9968862741514,-13.0634113560116
-12.4410499015499,-11.0301688611318,-13.050901746752
-12.4812961817098,-10.9904320363366,-13.0497754801204
-12.4708110126613,-10.9986271517253,-13.0343973630753
-12.4381799025291,-11.0064238126843,-13.0406325790404
-12.4430283681141,-10.9730828921337,-13.0561808389439
-12.4425390521602,-10.9753451038954,-13.0546325663269
-12.4688522083647,-11.0102664038706,-13.0496464373167
-12.4430046970473,-10.9723963618308,-13.0358115311779
-12.4556360973016,-10.9810804739802,-13.0385642900289
-12.4572476196434,-11.0291311802553,-13.0468895498177
-12.4316452443184,-11.0358569380024,-13.03171192884
-12.4594776647799,-10.9937988161649,-13.0434673453802
-12.4262518073804,-11.0118521326469,-13.0456291905348
-12.4660108926729,-11.0054276312969,-13.0389035045332
-12.4694633061498,-10.9799223962595,-13.0452058369635
-12.4421640109506,-11.0169227700959,-13.0378332831214
-12.4562825751881,-11.021444847468,-13.0578120561848
-12.4717276434365,-10.9976901327155,-13.051159491998
-12.4414056032543,-10.9927899718785,-13.0453613754293
-12.3887732971253,-11.0261418356845,-13.0537590018716
-12.4858989420164,-11.0052947321008,-13.0426706084951
-12.4301637477762,-10.9957463672321,-13.0620017210095
-12.4227634224037,-11.0023664723217,-13.0321760533387
-12.4393011720979,-10.9988947102553,-13.0461559722133
-12.4678097903223,-10.9935298905212,-13.0575730912433
-12.4419902599827,-10.9688877069981,-13.044765013221
-12.4852410795918,-10.9940004629476,-13.0535447764457
-12.4341798574733,-11.0052282758788,-13.0374501613711
-12.4356395230435,-11.0231435281326,-13.0572913806606
-12.419218384864,-11.0085456886876,-13.0400073293544
-12.4628907894335,-10.9848180339697,-13.077232111296
-12.4431861609089,-11.0141601556966,-13.053244783729
-12.4916424887957,-10.9859704592744,-13.0524986974313
-12.4604977860805,-10.9937988161649,-13.0433634591702
-12.4803350760225,-11.0306872980562,-13.0582045175196
-12.4762638914141,-11.011654054009,-13.0525244338136
-12.4812354276763,-11.0335985082636,-13.0537332972435
-12.487141649768,-11.0070873827153,-13.0623755527895
-12.5114006094298,-11.00788308596,-13.0591935192202
-12.4620240840203,-11.0001646365697,-13.0671381525733
-12.4502964390155,-10.9709531122074,-13.0522756210353
-12.495962279524,-11.0443288454219,-13.05144293506
-12.4513729138409,-11.0154766382459,-13.0541102322524
-12.4636524055655,-11.0117200845812,-13.0423760015333
-12.4895772545191,-11.005095350184,-13.0408235496055
-12.4633393239704,-10.987053882999,-13.0414049172241
-12.4376366451525,-11.2708029470582,-13.0436577754064
-12.4512790130861,-11.3058520938335,-13.0456205524573
-12.4758287536518,-11.2818505433297,-13.044765013221
-12.4654516894265,-11.3040299269212,-13.0460869018997
-12.4525693762091,-11.2698852819416,-13.0512969289705
-12.4539478330636,-11.2867272529268,-13.0388774151946
-12.4531709763272,-11.2889815934852,-13.0564799522887
-12.4294801620025,-11.2562768350986,-13.0511852628692
-12.4936359609306,-11.2841661748704,-13.0551032894947
-12.4265847375904,-11.289481868647,-13.0446266755212
-12.4920257241332,-11.2797820815777,-13.0384337922668
-12.4484147201379,-11.2896819086557,-13.0447304305901
-12.4761875651498,-11.2782658576948,-13.0458969339346
-12.4531709763272,-11.285874288825,-13.0616787537878
-12.4680368299763,-11.2718724931125,-13.0374153248415
-12.4257863215412,-11.3059012955359,-13.0440039189383
-12.4345817763428,-11.3001282057102,-13.0575474844694
-12.446777097662,-11.2650280491898,-13.0604369085527
-12.4535809508169,-11.287328907495,-13.057129147651
-12.4712866916637,-11.2767473313856,-13.0611941072939
-12.4441245135775,-11.2619995326436,-13.0443931872486
-12.451498101133,-11.3014634184299,-13.0499819139763
-12.4898445833596,-11.2918298152733,-13.0547524077939
-12.4570453487631,-11.2775574990333,-13.0576499076308
-12.4876322639513,-11.2789231703211,-13.0182642880359
-12.4574731812148,-11.2827069449841,-13.046829157874
-12.4588332498165,-11.2999302447078,-13.0343711559076
-12.4899274031476,-11.3002271715176,-13.0578717884988
-12.4709951733113,-11.2686604170339,-13.0552744066334
-12.4297080758521,-11.2607649645855,-13.0493194543342
-12.4548644502256,-11.284869869295,-13.0525587479596
-12.4464390287399,-11.2745667478495,-13.0641069492025
-12.42568597293,-11.2915802955974,-13.0600453225392
-12.4786423492066,-11.2806402557387,-13.0567362639651
-12.4541078140223,-11.2794285015765,-13.0736016128316
-12.4557529615989,-11.2889815934852,-13.0648359543124
-12.4521394401457,-11.2735509005456,-13.0540674058833
-12.4225017050127,-11.2972539284947,-13.0530733189045
-12.422018354417,-11.285573068882,-13.040042075706
-12.4585031174693,-11.2788220734197,-13.0607943097393
-12.4767179122725,-11.2815481087289,-13.0561039096205
-12.522389549805,-11.270191263891,-13.0327012174646
-12.4357865646267,-11.3005240101879,-13.0513999943054
-12.4417137757543,-11.2735000810817,-13.0488460000459
-12.4837536233403,-11.2971546679854,-13.0575560201336
-12.4544042964169,-11.2831600373471,-13.0518379035106
-12.4560489567094,-11.2756829892765,-13.0438654759031
-12.4746789264766,-11.2913806350197,-13.0452144786241
-12.4409313061932,-11.3013151494697,-13.0437529768224
-12.4526084521414,-11.2760378958638,-13.0401028789165
-12.4394714317046,-11.271821588279,-13.0590230714535
-12.4409510730627,-11.2916302045136,-13.0473466847969
-12.4562124953749,-11.2854224248786,-13.0547181688402
-12.4614239147933,-11.2854726420679,-13.0550519486428
-12.4682484306981,-11.2785692864419,-13.0548979102698
-12.4653899650797,-11.2719233953547,-13.0462077718179
-12.4368708252812,-11.2648742779498,-13.0424453286272
-12.4670513351474,-11.278872623148,-13.0399552075631
-12.4591205704372,-11.2747697935355,-13.0410318395459
-12.4713135377646,-11.2880303806172,-13.0324824325949
-12.43691448881,-11.260816435363,-13.035331636571
-12.4267170766433,-11.2744652095441,-13.0413702181948
-12.4383899886454,-11.2889315522012,-13.0422720018799
-12.4557763328196,-11.2865266209353,-13.0371453005812
-12.4591982104902,-11.2908313627916,-13.0479415098368
-12.4522019877894,-11.2686093484232,-13.0365440169533
-12.4431467150444,-11.2857738922585,-13.0593809782141
-12.4658335241276,-11.2740589531908,-13.0513570517068
-12.4492070417206,-11.2620509399177,-13.0389295931911
-12.4563176132531,-11.2923785395033,-13.0519237455784
-12.4713672278043,-11.2686093484232,-13.0381205281391
-12.4860198811086,-11.2683539662424,-13.0597983742651
-12.4782615665414,-11.2889815934852,-13.0536133335752
-12.4965233816929,-11.288481067923,-13.0634622694842
-12.4551100388892,-11.2944709031421,-13.0528932491914
-12.4565317080901,-11.2679963215841,-13.0382597687558
-12.475389606964,-11.2591680550382,-13.046164605667
-12.4397129130553,-11.2697322558503,-13.0415610479579
-12.4561385169104,-11.2874792645933,-13.0441682951526
-12.4832118366054,-11.278012930056,-13.0429304837564
-12.4668356286307,-11.2753786833453,-13.0612621420257
-12.479875090042,-11.3005734747342,-13.036334790046
-12.4553633608179,-11.2948192051733,-13.0569754289388
-12.4450147400532,-11.2851713010983,-13.0320709874098
-12.4787032609798,-11.3051630156943,-13.0505236001813
-12.4551685034918,-11.2840153187617,-13.0613811916695
-12.4868962523834,-11.2708539037705,-13.0482086349261
-12.4576287112811,-11.276544686874,-13.0385033931925
-12.4792284710759,-11.2756829892765,-13.0632416257126
-12.494625588664,-11.2708539037705,-13.0463458909804
-12.4842459021467,-11.2874291480724,-13.0697049411081
-12.46300294193,-11.2551387077124,-13.0445056143332
-12.4515020129834,-11.2898319124061,-13.0509189318353
-12.4599859161153,-11.3006723964872,-13.0667491824092
-12.4739141899676,-11.2547245218406,-13.0313527413008
-12.4556477843459,-11.3028955528014,-13.0398857076152
-12.4668163668574,-11.2648742779498,-13.0539560487394
-12.4387228649373,-11.2651817967878,-13.0420466321859
-12.4516193613792,-11.2901318524203,-13.0408322292193
-12.4223929714963,-11.2572070677238,-13.0361865611629
-12.4722986745463,-11.2839650283345,-13.0246182354845
-12.471658637732,-11.2803879280142,-13.045067560237
-12.4740748331526,-11.250053071427,-13.0284745869474
-12.4240106715766,-11.2525472270458,-13.0408756261581
-12.4343470116734,-11.2821528864915,-13.0574109039336
-12.4591477451415,-11.2719233953547,-13.0480104521751
-12.4234958669095,-11.2877298095299,-13.0378768103978
-12.4037260663211,-11.2795800511714,-13.060504994818
-12.443194049895,-11.2957639853336,-13.025068028455
-12.4614084217865,-11.2732967773962,-13.0446439687803
-12.462020213115,-11.2802365008125,-13.0583921619851
-12.4749082334356,-11.2773550186479,-13.0479845993552
-12.4216476273444,-11.2589102499889,-13.0480018346428
-12.447566790057,-11.2695281846288,-13.0741726335466
-12.4626471044512,-11.256380237022,-13.0390774160648
-12.4593961653455,-11.2808925198101,-13.0483637070781
-12.4555075307985,-11.2599925848453,-13.0441596444465
-12.4685945898732,-11.2798325828024,-13.0490698427371
-12.4407850192135,-11.2490120011128,-13.0450070581561
-12.4774347691149,-11.2605590549791,-13.0607858016715
-12.4763974483601,-11.2791253334675,-13.0400681346775
-12.4416308155772,-11.2501050965031,-13.0545298336372
-12.4540141697378,-11.2619995326436,-13.0426965990605
-12.4677135715284,-11.2876295990879,-13.0442547980981
-12.4441639208915,-11.2667691393469,-13.050738473729
-12.4881528065343,-11.2566386950628,-13.0552059632916
-12.4597066038424,-11.2635406024508,-13.0258612875574
-12.4169452153633,-11.2672295091855,-13.0206318246438
-12.4192911056727,-11.2745667478495,-13.0363173524942
-12.4524716796974,-11.2821025023121,-13.0781606747246
-12.4945881206055,-11.2858240918017,-13.0452749681572
-12.4497793192046,-11.2700892803103,-13.0683717088354
-12.4194567277759,-11.2878300099308,-13.0584006904424
-12.4453611626528,-11.2798830814768,-13.0300287662015
-12.4718234767938,-11.2589102499889,-13.0381292312456
-12.4867149971907,-11.2854726420679,-13.045067560237
