meanPPG_1,meanPPG_2,meanPPG_3
-12.5715418067357,-11.2552939831973,-13.0125038675435
-12.5567682487876,-11.2748713009203,-13.0597387569232
-12.5357108691034,-11.2486473702975,-13.0536904547283
-12.5720516719446,-11.27573369793,-13.0568643951716
-12.5838958795821,-11.2637458991052,-13.0541958794886
-12.5473156268872,-11.2613824391343,-13.0394512234714
-12.5681256019999,-11.2423233624963,-13.0418558950731
-12.5330211031692,-11.2441044001594,-13.0307479635382
-12.538472314781,-11.2682517951057,-13.0242917884167
-12.5416802227269,-11.2254567030995,-13.0276570152654
-12.4982384012345,-11.2519242710998,-13.0191161826655
-12.4858573658252,-11.2558631204524,-13.0125574399287
-12.5152507635768,-11.2460389907081,-13.0038410685528
-12.5274711275199,-11.245882271366,-13.0094992241856
-12.5356497366059,-11.237066555984,-12.9937296857237
-12.5452341200504,-11.2545173645557,-13.0276482205387
-12.500531702261,-11.2568454134098,-13.020250914441
-12.4876133986252,-11.2574136686233,-13.0224192775575
-12.517919142325,-11.2402239548077,-13.0178291869125
-12.5403209825473,-11.2533772317622,-13.0285448844817
-12.5153828838505,-11.2194130959891,-13.0176693062897
-12.5086962847386,-11.2365920851419,-13.0291070869245
-12.518435135376,-11.2347976053233,-13.0197723564864
-12.5171391582147,-11.2414841282483,-13.0003945937146
-12.4866885613966,-11.2664621083344,-13.0311336611735
-12.5007030225074,-11.238962191326,-13.0185572086787
-12.495228631238,-11.2262029320131,-13.0250768459029
-12.5153792140786,-11.2351145123137,-13.0171361861917
-12.5023923063775,-11.2552939831973,-12.9996080001214
-12.5303891569171,-11.2276937213426,-13.0399030830551
-12.5106597690028,-11.232894051449,-13.0291773400113
-12.5301613792488,-11.2326293821517,-13.0192226184848
-12.5045425693041,-11.2633866022965,-12.9938570522392
-12.4906799958649,-11.2342692037258,-13.0219948255805
-12.5046019237503,-11.2478655705547,-13.0621716618704
-12.5256166911307,-11.2427951224317,-13.0264954420833
-12.5395332087552,-11.2390147966024,-13.0487254486091
-12.5318413748749,-11.2449414391829,-13.0353665457635
-12.5629425704589,-11.2443137256089,-13.0306164416988
-12.5670597786027,-11.2546727365425,-13.0244682595244
-12.535797167444,-11.2408542400326,-13.0544270903925
-12.481596100658,-11.2413266933866,-13.0147959839376
-12.5120599011387,-11.2210211580852,-13.0461300714047
-12.5617170586544,-11.2446276316489,-13.0243182610683
-12.536171040885,-11.2517165328492,-13.0362999146384
-12.5526649298607,-11.2188765001402,-13.0411880285349
-12.5038003413244,-11.2192521474655,-13.0270763973309
-12.5059549910633,-11.2635406024508,-13.045413216209
-12.5189325786741,-11.2403815633609,-13.0344759804576
-12.5027937426326,-11.257878364643,-13.0093827915037
-12.5282141140335,-11.2290229078105,-13.0575986973614
-12.4826432132272,-11.2403290299365,-13.0244064981791
-12.548455948752,-11.2555009796791,-13.0705731174446
-12.5400560733488,-11.2536364670197,-13.0419425982708
-12.5535413417172,-11.2448891447653,-13.04784670636
-12.5171025242865,-11.2420611774446,-13.0384163912784
-12.5402350737395,-11.2402239548077,-13.0270939967677
-12.5204672403997,-11.2412217230406,-13.0239652347465
-12.5158194905794,-11.2338462813257,-13.0198255409034
-12.5181387463798,-11.2276937213426,-13.001135414795
-12.5041232781967,-11.2299788292853,-13.0126735035853
-12.4916612782653,-11.2529623155175,-13.0207912323559
-12.5053769178097,-11.2441044001594,-13.0101796363984
-12.5125715654392,-11.228278781062,-13.0084956668493
-12.4972486072362,-11.2511969983405,-13.0269795948914
-12.5406323401226,-11.2308808057359,-13.001343107555
-12.5001517135071,-11.2155970154666,-13.0227109838202
-12.5058623736011,-11.2458300261268,-13.0106717513843
-12.5340769876605,-11.2376988337858,-13.0333048154517
-12.5045796662458,-11.2335818639678,-13.0174472074548
-12.509516102209,-11.2231612263141,-13.0193733831725
-12.500047377605,-11.2196276537328,-13.0034446971477
-12.4920820698857,-11.2187154652222,-13.0431643137631
-12.5028048913397,-11.2111715130741,-13.0386164843659
-12.5384077646416,-11.2516126475385,-13.0057936054458
-12.5055733519744,-11.227108319128,-13.0208000875949
-12.5108772865387,-11.2388569724707,-13.0382858742131
-12.5270867325021,-11.2352729281556,-13.0154639003749
-12.5196892420078,-11.2648230156148,-13.0424366630033
-12.5183107358778,-11.2163506355701,-13.0255176192027
-12.5385404465191,-11.2294478746163,-13.0209329067706
-12.5274638761512,-11.2503651812922,-13.0115926976098
-12.5210111144388,-11.2453074235542,-13.0164871732465
