meanPPG_1,meanPPG_2,meanPPG_3
-12.4788174605551,-11.2539474606468,-12.7315937596948
-12.4602651503947,-11.2831600373471,-12.7153691007136
-12.4713365481346,-11.2552422273813,-12.7255328834885
-12.4603504564301,-11.2653355207511,-12.7136128783046
-12.469520937612,-11.2555009796791,-12.7058292329253
-12.448959998881,-11.2451505895104,-12.7084103485998
-12.4434701252101,-11.2588586810025,-12.6951310734984
-12.4519517737378,-11.2459345138757,-12.7084224508151
-12.4785700116568,-11.2433190392457,-12.6917650596572
-12.4658875091891,-11.2483347237418,-12.7147920527786
-12.4504139289605,-11.2626162455832,-12.7237706006386
-12.442274564032,-11.2711595895279,-12.7172302141964
-12.440211526051,-11.2399086631603,-12.7106709195404
-12.4603116818616,-11.2574136686233,-12.7090031849762
-12.4592874890997,-11.2625648673625,-12.7223871776392
-12.4560411684867,-11.245882271366,-12.7162700720216
-12.4658566609394,-11.2626162455832,-12.7246521302686
-12.4515880698201,-11.2354313189059,-12.7186806798583
-12.4541897455783,-11.2526510153178,-12.6991089738865
-12.4855171320435,-11.2530141894638,-12.7151407257209
-12.4708608928529,-11.2596319367051,-12.7087128600522
-12.4665967564146,-11.2642589564249,-12.6934126280228
-12.4671745751266,-11.2636945788927,-12.7223155691941
-12.4647107456927,-11.2527547928189,-12.7066054798107
-12.4547279860131,-11.2496888200896,-12.7061082660168
-12.4916575203996,-11.2350617014558,-12.7209779361271
-12.4493599424237,-11.2564836282545,-12.7118173834287
-12.4620860164675,-11.2232146693839,-12.7338261803168
-12.4725170364879,-11.2683539662424,-12.70665397524
-12.4528272491495,-11.280337454828,-12.6980089847755
-12.458141788942,-11.2674851786574,-12.7070660914627
-12.4476571131191,-11.252080046472,-12.7047001741125
-12.4517797152531,-11.2530660607194,-12.7148401528267
-12.4511968426921,-11.2512489639392,-12.7013540819602
-12.4928367968212,-11.2535846253441,-12.7278856859523
-12.4500418301032,-11.2443660501255,-12.69668739868
-12.4857893283289,-11.2365920851419,-12.7074416965244
-12.4760997827432,-11.2594773333912,-12.6765386678558
-12.4666429942002,-11.251404844535,-12.7208584175478
-12.47445721309,-11.2656941181269,-12.7096681951874
-12.4734703746792,-11.2685072033772,-12.7164621742205
-12.4735316022929,-11.2648230156148,-12.7188124361094
-12.4498498512908,-11.2455687589797,-12.710332763454
-12.4653822492684,-11.234004898187,-12.7229956424773
-12.4701239476875,-11.250053071427,-12.719865861635
-12.4665004208276,-11.2555009796791,-12.7374065299275
-12.4627902282245,-11.2461434566262,-12.7270426407282
-12.4579047175882,-11.2507291863923,-12.7035333553839
-12.4597492816001,-11.2819513345408,-12.7270426407282
-12.467909848048,-11.2566903786558,-12.7246044998804
-12.4659376355654,-11.248282606478,-12.7232580032487
-12.4503316874485,-11.2542065481421,-12.6958298812627
-12.4738759377862,-11.2411692337353,-12.7340857152788
-12.4541312237233,-11.2607649645855,-12.7021703438916
-12.4733708718108,-11.2621537465385,-12.7201290447163
-12.4751871526826,-11.2221452649402,-12.7254258062798
-12.4742086827632,-11.2722796385199,-12.7078655972653
-12.4670089678965,-11.2592196080734,-12.7136610351032
-12.4757027573742,-11.2529104388801,-12.7128661512228
-12.476313500362,-11.2398035438498,-12.7084950610314
-12.4655674123089,-11.2658989731927,-12.705210229501
-12.451376826181,-11.2471875160236,-12.707805051017
-12.4427679555561,-11.2443660501255,-12.6911865375803
-12.465760254025,-11.2533772317622,-12.714395139078
-12.4371327778613,-11.2227870448317,-12.7009274113861
-12.4584759252416,-11.2592196080734,-12.7023895246435
-12.4674903082654,-11.2197885418355,-12.7028399120451
-12.4595203523091,-11.2410117492866,-12.7101878044047
-12.4425272109041,-11.2405916694652,-12.6950206907768
-12.4614239147933,-11.2390673991115,-12.7102723664038
-12.4424680025201,-11.2392251900389,-12.6919865326999
-12.4569792128693,-11.2449414391829,-12.6951923919681
-12.4574498496184,-11.2354313189059,-12.6950452213235
-12.4686407353777,-11.2753279566859,-12.6977399144119
-12.482222223668,-11.2388569724707,-12.6882024545737
-12.4677866986561,-11.2523396181801,-12.719758175862
-12.4593379473969,-11.2363283929219,-12.7111538013886
-12.4555893477584,-11.2539474606468,-12.710803735295
-12.4571659382513,-11.2492203018999,-12.7005859438039
-12.4450501751469,-11.2410117492866,-12.7006469287101
-12.4672554431097,-11.2511450300411,-12.7148040780075
-12.458491463748,-11.2408542400326,-12.6961484735776
-12.4590506892352,-11.2460389907081,-12.7016952873935
-12.444530334553,-11.2477091372341,-12.710332763454
-12.4720266131431,-11.2375934819104,-12.7089668989699
-12.4779606456832,-11.2283851187907,-12.7167862630237
-12.4506606129224,-11.2630785308215,-12.7127095086747
-12.4673170524219,-11.254258357587,-12.718656722311
-12.4860803451703,-11.2322587274124,-12.712625152523
-12.4642898613274,-11.2464045736864,-12.7237229282433
-12.4482499011441,-11.2459345138757,-12.6828905050836
-12.4584992329106,-11.2427427156502,-12.7092208733682
-12.4694133561958,-11.2323646427861,-12.7196504784915
-12.4687676245364,-11.2703951998558,-12.7141906068846
-12.4513572643274,-11.2509891089369,-12.7019023910496
-12.452358339785,-11.2531179292844,-12.711322754963
-12.4577803298091,-11.2323646427861,-12.7151046617434
-12.4754545364487,-11.24567327403,-12.719638511401
-12.4839354160441,-11.2603016083335,-12.7259729693718
-12.4797762224561,-11.2405391470776,-12.702620829998
-12.4469500189715,-11.2581880420648,-12.7115520034512
-12.4455972910921,-11.2580848269128,-12.7100911533632
-12.4564110420915,-11.2499490131543,-12.7066176038885
-12.4635210005364,-11.4911296525998,-12.7154532257234
-12.472643434769,-11.4730197172343,-12.7128300051202
-12.4630802811515,-11.4692243296991,-12.7105863912385
-12.4619079503426,-11.4620952212529,-12.7183931514029
-12.4872284682664,-11.4794100456324,-12.7164981892748
-12.44202975149,-11.4837849752238,-12.7199137182566
-12.4792513000413,-11.4875256023375,-12.7204160745574
-12.4877794012816,-11.4712697897014,-12.7209062266937
-12.4525146673384,-11.4735191345911,-12.7194350489481
-12.4760043583431,-11.4956572234037,-12.705210229501
-12.4664503226545,-11.4755558375002,-12.713251628376
-12.4480497272669,-11.4976493774177,-12.7120706349993
-12.471712309247,-11.4811457984342,-12.7320430066226
-12.4527803681062,-11.4909252246906,-12.7206312928853
-12.4698128859853,-11.4869920829437,-12.7169662669843
-12.4673016504497,-11.4990699186798,-12.7017683876994
-12.46406196927,-11.4874845724883,-12.7233891578265
-12.4506410370532,-11.4729364567539,-12.7076718363657
-12.471532114905,-11.4716450320498,-12.7220768373366
-12.4707035699512,-11.4644492515131,-12.720703022036
-12.4725974736062,-11.4803196252213,-12.6999392750404
-12.4800423821535,-11.4784168325066,-12.7156695146863
-12.4698013633231,-11.4878127641552,-12.7325038660746
-12.4691481954357,-11.4821363061503,-12.7140702742851
-12.4628443778244,-11.4867457471868,-12.7274345670511
-12.4708148496875,-11.4867868073605,-12.7069933774106
-12.4628095677039,-11.4704354133493,-12.6861256106289
-12.4383305347885,-11.4692243296991,-12.7047366152691
-12.4355441331571,-11.481228378227,-12.7034968703519
-12.4797457996938,-11.4848140148092,-12.6899421970125
-12.4431112124359,-11.481187089183,-12.7049188011356
-12.4771107219536,-11.4796168409265,-12.7079624636382
-12.4802134474153,-11.4639452827485,-12.7034482215718
-12.4536356013851,-11.4903526041178,-12.6940389751501
-12.4748776622123,-11.4633990298198,-12.7086886625034
-12.455086652091,-11.4941095507126,-12.7045786939986
-12.4619582765922,-11.4856364847326,-12.6984491256276
-12.4593457099859,-11.4714782750561,-12.6956705470344
-12.4481910306336,-11.479906282513,-12.7069812578879
-12.4854188207293,-11.4917018285186,-12.7096681951874
-12.4566951678327,-11.4688899793805,-12.6998294218164
-12.465100581407,-11.4851430839578,-12.7005371532009
-12.486137026908,-11.4909661136158,-12.7159578272191
-12.4639267545198,-11.474849696118,-12.7116485134099
-12.4535223933223,-11.4973650268522,-12.6998538346869
-12.4464940710045,-11.4750989794298,-12.7203204070974
-12.4499987360269,-11.4849374284301,-12.7118535661514
-12.4558464432045,-11.4706857993624,-12.6983391085749
-12.4598229934373,-11.4748912476523,-12.7053559118409
-12.4786575774978,-11.4776712747534,-12.7051373803715
-12.4659260681632,-11.4581313128831,-12.7015490707489
-12.4538541737959,-11.4917835412168,-12.7020607354979
-12.4393249309927,-11.4660015582585,-12.7077445011027
-12.4738491603886,-11.4851842099885,-12.7099703264235
-12.4569286354109,-11.4832906598405,-12.7184650412677
-12.4594349754284,-11.4760124869467,-12.7069812578879
-12.4982048016556,-11.4755973597042,-12.7176859589872
-12.4694633061498,-11.4919877937553,-12.7033630805112
-12.4975549878006,-11.4633990298198,-12.7076718363657
-12.4646528363363,-11.4621373061381,-12.6804790682407
-12.451627184116,-11.4723117820849,-12.7248426291381
-12.4718809724002,-11.484237883106,-12.7077202801104
-12.4648188341864,-11.4626001230182,-12.7217544588973
-12.428387853863,-11.4683882442025,-12.7199256820542
-12.4703197517228,-11.4748912476523,-12.7086039664713
-12.5044980511573,-11.4860885550166,-12.7154412082982
-12.4816871974636,-11.4826724217992,-12.7082651105908
-12.4465884221244,-11.473560741448,-12.701329705688
-12.4963139403769,-11.4558470479305,-12.6945299534342
-12.4810911220519,-11.4971212334253,-12.7309905056533
-12.4488031146024,-11.4734775260031,-12.7159458158564
-12.4936472122034,-11.469725645664,-12.700134539869
-12.4856948241262,-11.4833318621231,-12.7231149059065
-12.4714094108134,-11.4812696655662,-12.7051130961489
-12.4812923846909,-11.4837026062933,-12.7026451748181
-12.4686407353777,-11.4924370025429,-12.7004639628327
-12.4842686168575,-11.4777127092145,-12.7140221371907
-12.5040082206957,-11.5062230539106,-12.7384405589725
-12.4914959188148,-11.4696421104539,-12.7028520818628
-12.4563721144696,-11.4597356364561,-12.741196657849
-12.4771984156662,-11.5017836245514,-12.6963077316802
-12.4777739530568,-11.4652886354546,-12.7271614225024
-12.4866092498211,-11.4870741813798,-12.7089306116469
-12.4947342380955,-11.4653305861625,-12.7448674592587
-12.4943295527328,-11.4825074937487,-12.7115037449789
-12.5240426232953,-11.5037232542054,-12.7201888493942
-12.4899838672524,-11.4660853981244,-12.7408569540908
-12.4778692087517,-11.4758049448668,-12.7242352874302
-12.4882169126035,-11.4702267104371,-12.729178556958
-12.4719078025519,-11.4820125463268,-12.7084587565823
-12.4602729057895,-11.4931716364834,-12.7071993868272
-12.4939884406667,-11.4730197172343,-12.7008664435831
-12.4539361261348,-11.4690571685136,-12.6980089847755
