meanPPG_1,meanPPG_2,meanPPG_3
-12.4663385561461,-11.2018246348969,-12.8556753790568
-12.4567729964153,-11.2165658513248,-12.8753266438701
-12.4644790881433,-11.2326823216154,-12.8886036736269
-12.4858006682331,-11.2225196865969,-12.886924547996
-12.4549112336689,-11.1753245916782,-12.8712009375726
-12.4909846348418,-11.2046596602392,-12.8870460251584
-12.4588332498165,-11.2147889346146,-12.8727423716167
-12.5199559481339,-11.2048229744288,-12.9103971266802
-12.5070620316203,-11.2457255274591,-12.8549648623349
-12.4833975168683,-11.2294478746163,-12.8834257537913
-12.4680753061653,-11.2164582492372,-12.8727526398749
-12.4826811315133,-11.2385938768866,-12.8713963173555
-12.4567574311833,-11.2244964469574,-12.8774648942871
-12.5160102168804,-11.1954162876203,-12.8806484405047
-12.4842648311082,-11.2228939681144,-12.870285228992
-12.4976894666951,-11.214950603033,-12.8750500767829
-12.4327419739808,-11.227427671909,-12.8696365235484
-12.4878812529065,-11.2033521856576,-12.8675949910719
-12.5019200408142,-11.2409592489585,-12.9032716065302
-12.5156397344236,-11.2166734418354,-12.87792468555
-12.4756836656442,-11.2150044866982,-12.8982393455762
-12.4423061483819,-11.2256699681888,-12.8853541402285
-12.4791295395364,-11.2068893155665,-12.9031421238135
-12.5059253544087,-11.2189301726841,-12.8859724660045
-12.5359661467912,-11.2110633289446,-12.9033313621298
-12.5306385681813,-11.2226801101153,-12.9074161443146
-12.4870736995981,-11.2292885332271,-12.9186106038821
-12.5337059334842,-11.2366975425636,-12.9151030177177
-12.4788060411844,-11.2125228281091,-12.924097787356
-12.4784481681646,-11.2022067414001,-12.9088433708813
-12.4721760644845,-11.2188765001402,-12.8778940393754
-12.4900290362409,-11.209384976584,-12.911346005888
-12.5072581350822,-11.2361173890703,-12.9031222019074
-12.4874171781331,-11.2306156029868,-12.8818396622586
-12.4754239819222,-11.2167272327501,-12.8793129933647
-12.4663886599188,-11.2165120517282,-12.8938454097527
-12.4764737586071,-11.1905139119973,-12.9174918708776
-12.4917026138558,-11.2159200650576,-12.8794251987619
-12.4938984576509,-11.2003494263245,-12.9070689410335
-12.4719307992519,-11.2087345348027,-12.8568341095937
-12.5483281269071,-11.2146272400553,-12.8666759730141
-12.4385841799482,-11.2074866709292,-12.8720644333447
-12.4897542266765,-11.1992552744565,-12.87123178955
-12.4978426011905,-11.2023158878747,-12.9006088609344
