meanPPG_1,meanPPG_2,meanPPG_3
-12.5350597957987,-11.4230882809642,-13.0937498882136
-12.5595881035456,-11.4323659571118,-13.0708932252731
-12.5767392480956,-11.4434038823116,-13.1186364409967
-12.5794483521297,-11.453090531268,-13.1226433382116
-12.5907294207898,-11.447725391722,-13.1285760387962
-12.5830422525584,-11.4640292951824,-13.1257735561295
-12.5980741919439,-11.4602838936446,-13.1457126490918
-12.5741023791524,-11.4618426747409,-13.1266262783173
-12.5563773424611,-11.455592918323,-13.1279795769899
-12.533255440006,-11.4230007574422,-13.1152017943767
-12.5167434407518,-11.4180871738089,-13.0884094105619
-12.5126782825451,-11.4307605069156,-13.0652595503098
-12.4998349458758,-11.4191860508673,-13.0693760173185
-12.4838786093742,-11.4112470509372,-13.0641493477745
-12.4895960828331,-11.4184829086718,-13.0652256692324
-12.4980741258937,-11.388132920003,-13.0666053942681
-12.5017042862677,-11.4299785441493,-13.0591764757508
-12.5164428839865,-11.4044489886341,-13.0809912315786
-12.5225899575443,-11.4184829086718,-13.0934781882345
-12.4904618022812,-11.4151803230504,-13.0804491199153
-12.5380849514293,-11.4287609409375,-13.0938239753978
-12.5188374983494,-11.4388482615739,-13.0998805215023
-12.552555324352,-11.4260595319486,-13.0984722435441
-12.5284785564871,-11.4235695234541,-13.1029032514479
-12.5372810524763,-11.4212925158582,-13.1059656667946
-12.5446569359091,-11.4250555377136,-13.1104284385188
-12.5237624485663,-11.4157976342389,-13.1149600402073
-12.5311480413212,-11.4544909431331,-13.0926626450912
-12.5207483397556,-11.4319323057607,-13.101768756564
-12.5207738903247,-11.4283257231041,-13.0892118891883
-12.530501218949,-11.4475118944219,-13.0898071273011
-12.5101139235004,-11.4221689016993,-13.0994304157198
-12.5238825330623,-11.4033337883401,-13.1022667869052
-12.527938729762,-11.4308039313679,-13.1132580494356
-12.5303276982128,-11.4499004645488,-13.1078343402556
-12.5560532321762,-11.4642812901438,-13.0982346058257
-12.5528240132578,-11.4343150643883,-13.1047857928635
-12.5457468930955,-11.4208978915136,-13.1236825069702
-12.5431696869202,-11.4261467881765,-13.1191100912028
-12.5428769698613,-11.4369511368726,-13.121899269723
-12.5614892981523,-11.4541516293918,-13.1152984796822
-12.5536084545074,-11.4422454567825,-13.1146376103733
-12.5647570691116,-11.4394080876118,-13.1155401520562
-12.5600409297681,-11.4524533315269,-13.1307679597481
-12.5664741372565,-11.455592918323,-13.1324325130811
-12.5854777899828,-11.4639452827485,-13.1113509627398
-12.582932496628,-11.4529631237975,-13.1283772577211
-12.5793932780895,-11.4498152566414,-13.1331213028573
-12.6013123182807,-11.4471274843798,-13.1162728678476
-12.5519257439571,-11.4462727104155,-13.1316243618019
-12.5843241326416,-11.4441754211411,-13.1314499690055
-12.5693189507019,-11.4457594951104,-13.1384650469502
-12.5649107481533,-11.4606211333409,-13.1272553919648
-12.5505378530803,-11.4470847630298,-13.1271598558879
-12.5300637443634,-11.4103167152848,-13.1020300493114
-12.5112421673207,-11.4134586583496,-13.0828405386157
-12.5129946870157,-11.4377707913695,-13.0631143090802
-12.5097486307363,-11.4138120620729,-13.0701011927415
-12.507376518556,-11.4054738756521,-13.0702023382141
-12.5049691010695,-11.3849102587476,-13.0748104475448
-12.4971215438576,-11.4281080431363,-13.0675100694711
-12.5147367965108,-11.4060526953214,-13.0650477747403
-12.5219485113527,-11.4222127008365,-13.0859732144614
-12.5070176254967,-11.4310644384899,-13.0789881260964
-12.520671684131,-11.4068980603247,-13.0832648967803
-12.5241590364603,-11.4251865506622,-13.088608021938
-12.5277393912029,-11.4170751393134,-13.0962493550896
-12.5324873312646,-11.4150038784094,-13.1009027363627
-12.5371661569951,-11.4222127008365,-13.1120382563261
-12.5331328706641,-11.4324093119058,-13.1032539497897
-12.5453089158312,-11.4405268003484,-13.1123857661791
-12.5404534108349,-11.4204153612912,-13.0941943290074
-12.5468818922833,-11.4206785884578,-13.1037838418264
-12.515155332522,-11.418394981124,-13.1024381825971
-12.5232819663276,-11.420503111379,-13.0958633323916
-12.5122623895377,-11.4123976971962,-13.0978001564425
