meanPPG_1,meanPPG_2,meanPPG_3
-12.448018323807,-10.3829463405526,-12.71516476765
-12.4991004043067,-10.3543083623651,-12.7949698047163
-12.5181350867073,-10.406079371375,-12.7867563663675
-12.5141527562211,-10.3220662997897,-12.784123178859
-12.5537214763949,-10.3701104736224,-12.7876288301261
-12.5290108517969,-10.3791004205464,-12.7732937254913
-12.4863712773454,-10.3930486809974,-12.7386636749643
-12.4664811525965,-10.3634408459284,-12.70232864592
-12.4404884258823,-10.3909626626939,-12.6825055625408
-12.4277310946258,-10.3687298646802,-12.6630796837801
-12.4225661341105,-10.3544357752467,-12.6623322569836
-12.4187779069586,-10.3548179165162,-12.6546355565411
-12.4264243031336,-10.3585044394735,-12.6605945489252
-12.4385128487495,-10.3799701478796,-12.6745000331595
-12.4282757547673,-10.3545631718963,-12.676763538556
-12.4207242420437,-10.3962306687514,-12.6836723513975
-12.4198080789672,-10.3418715074014,-12.6684976292524
-12.4184989720032,-10.3535435439722,-12.6719176396271
-12.4478887741098,-10.3747404011823,-12.6625983542881
-12.4273023666391,-10.3565993141116,-12.6900038344733
-12.4257461833051,-10.3438048714115,-12.6812876718264
-12.4492580112193,-10.3145370389382,-12.6894859616858
-12.4356434974246,-10.3061487333116,-12.6838088015841
-12.4406031190682,-10.3624302344224,-12.6763637334557
-12.4391506859879,-10.391453882156,-12.6814741798375
-12.4191294966933,-10.3625566167291,-12.678523278419
-12.4272222101736,-10.3757386543223,-12.6884000244647
-12.4326861695197,-10.366340677753,-12.6809145514162
-12.4325267110403,-10.4031713358833,-12.6816730833824
-12.4326184027728,-10.3208812315096,-12.692736715669
-12.4335428234819,-10.3744906821149,-12.6956705470344
-12.4584254234284,-10.3678503018918,-12.6862988457961
-12.4507036784858,-10.4158320222714,-12.6948121568311
-12.4319524498873,-10.4206132888506,-12.7032657675649
-12.4532764143932,-10.3824509231533,-12.6988646364063
-12.4590662188133,-10.3764866907617,-12.6981190381515
-12.4353334482515,-10.3967193079011,-12.7089668989699
-12.4660147481614,-10.3930486809974,-12.7033752439637
-12.434044521701,-10.3742409006724,-12.71016364252
-12.46887527544,-10.3537985484361,-12.7056957547882
-12.4838975452894,-10.3683530039257,-12.7094989618142
-12.4663693895341,-10.3459915080793,-12.7166902476612
-12.5005577746267,-10.3441910960703,-12.702766890029
-12.4568819462556,-10.3723655484944,-12.7204519474955
-12.473860636504,-10.3703612887729,-12.7259372939468
-12.4796355094211,-10.4046264107126,-12.7314873295395
-12.4727353507579,-10.3980618357161,-12.721969389404
-12.4790534316916,-10.3481733737976,-12.7243305811135
-12.4742048587372,-10.3352699689617,-12.7257945795182
-12.4572359512815,-10.378229936129,-12.733719987506
-12.4691674123466,-10.3636933393018,-12.7321848321538
-12.4735162957409,-10.3605325806175,-12.7305407855373
-12.4943782735308,-10.3880102678811,-12.7366303058656
-12.4928292899055,-10.3630619862913,-12.7392623192291
-12.4927804935794,-10.2890220251554,-12.7326574387058
-12.4806276842469,-10.4133126759685,-12.7484550742004
-12.4961755354375,-10.3990370887496,-12.7329527044176
-12.5095493238806,-10.3746155494436,-12.7436648273351
-12.515412241541,-10.3525228753457,-12.743384394532
-12.4946143483938,-10.3610389738426,-12.7614279418754
-12.5227903251284,-10.3778566392915,-12.7449958102405
-12.5076502266739,-10.3896105636617,-12.7154652430043
-12.4751031030169,-10.3726157987459,-12.6780618023109
-12.4372716642703,-10.3677245868875,-12.660289821844
-12.4318168123107,-10.4145131563048,-12.6513095969428
-12.4144111408597,-10.3696086545176,-12.6465444721699
-12.4237613461614,-10.3878870620656,-12.6490261980493
-12.4105510823352,-10.3489423088605,-12.6493086984364
-12.4162444260352,-10.3577428248137,-12.6469563762021
-12.4219700065054,-10.3923129360225,-12.6576067584922
-12.4090951188482,-10.3353998306591,-12.6541884750179
-12.4100048347165,-10.4391618742715,-12.6543673316137
-12.4148129665336,-10.3789761120124,-12.6535110851158
-12.4269897200835,-10.3518844280278,-12.6510148441805
-12.4171314697874,-10.4082548617182,-12.6577468118401
-12.420704071278,-10.3876406048863,-12.6620153821276
-12.4353652525912,-10.3049446392468,-12.6616476814571
-12.4441284543788,-10.3861605848825,-12.6668589252263
-12.4160053161712,-10.3717396487431,-12.6601501242257
-12.4364539410677,-10.3864074070484,-12.6645222837468
-12.4257461833051,-10.3333200170926,-12.6581286758502
-12.4258304717402,-10.3459915080793,-12.6598579661279
-12.4300558442418,-10.3664665668449,-12.6650785205664
-12.4212848265181,-10.4248969698418,-12.670397682044
-12.4318806440502,-10.3962306687514,-12.6659880594171
-12.433682209348,-10.3867775261076,-12.6751508466994
-12.4294441708563,-10.2921455423279,-12.6727331928996
-12.4323472898526,-10.3365678276773,-12.6842552356991
-12.4488776377036,-10.3295392942527,-12.6705862320323
-12.4487874248208,-10.3317573132976,-12.682493142572
-12.453627794344,-10.3708627304282,-12.6875847969588
-12.456442183098,-10.3772341680607,-12.6843668130936
-12.4618072902446,-10.367598856077,-12.6878566133114
-12.4567963438089,-10.4083755836354,-12.6836847567293
-12.4654516894265,-10.35265051591,-12.7010981014621
-12.4705385461663,-10.3824509231533,-12.7007323013312
-12.4555036345858,-10.4053531549306,-12.7019389343016
-12.4599665219502,-10.3386409043461,-12.7017196547559
-12.4598423903861,-10.3703612887729,-12.7121670949203
-12.4837384724565,-10.4001331127283,-12.6965037068409
-12.4536863456671,-10.4078926084992,-12.6997928013932
-12.4809581905513,-10.4087376619689,-12.7153570822773
-12.4664734452001,-10.3470188614507,-12.7131914073648
-12.466878003226,-10.4012279367535,-12.6970546811611
-12.4802210496367,-10.3883797942756,-12.7126492550067
-12.48312087859,-10.353926026287,-12.7269357250667
-12.4945956143295,-10.3365678276773,-12.721443922144
-12.4895810202102,-10.3422584793508,-12.7277195079277
-12.4841588243085,-10.3423874367305,-12.728407780036
-12.503488441219,-10.4024430037316,-12.7224349137539
-12.4963588243518,-10.3771096273046,-12.7441904269688
-12.4783301181226,-10.3784787232929,-12.7436765103288
-12.4625581252935,-10.4452302789368,-12.7391097576614
-12.5021803722548,-10.3506063092444,-12.7389689109376
-12.4914432987094,-10.394885678636,-12.7390041244784
-12.5137595307196,-10.3240382980623,-12.7591068221
-12.4899838672524,-10.3565993141116,-12.7477571968821
-12.5112863862486,-10.3515011638902,-12.7580018241746
-12.5201751054021,-10.4195394952737,-12.7607390626546
-12.5192433551241,-10.3703612887729,-12.7617722036095
-12.5182448710544,-10.4076510334286,-12.7708408512203
-12.5120230806606,-10.3313662554812,-12.7777186366591
-12.5353512124996,-10.3495826367302,-12.7511489600157
-12.5071471378459,-10.3703612887729,-12.779670230986
