meanPPG_1,meanPPG_2,meanPPG_3
-12.2449567635801,-11.1960754472157,-12.7114313529033
-12.4457113998536,-11.274262101998,-12.7274345670511
-12.4367676129972,-11.2551904688864,-12.6524877399673
-12.4294881598591,-11.2571037512654,-12.6340165353988
-12.4433557603981,-11.2546209485624,-12.6456943838898
-12.4441678615375,-11.2708539037705,-12.6466345906758
-12.4295321469269,-11.2652330407346,-12.6499504481248
-12.4569403073591,-11.2504691962705,-12.6274242260681
-12.4300638374955,-11.231675992249,-12.652052500963
-12.4471621997188,-11.2516126475385,-12.6493215374671
-12.4615052491415,-11.2595804049229,-12.6472780582157
-12.4189678615923,-11.2801860199826,-12.6597690315012
-12.4115368338264,-11.2675363047087,-12.6586121610243
-12.4594000464216,-11.2484910592381,-12.6699827468873
-12.4421284734358,-11.2701402734007,-12.6468276744168
-12.4106488862303,-11.2681496135289,-12.652922789621
-12.4641430893451,-11.2379095042453,-12.6686739450091
-12.4807568606336,-11.2795800511714,-12.6510661117717
-12.4235481638515,-11.2736525317261,-12.6607214911413
-12.4562825751881,-11.2288103566645,-12.6691145984424
-12.4557841231051,-11.2624107168599,-12.6830891271437
-12.4343032358929,-11.2756829892765,-12.6674516897333
-12.4541312237233,-11.2797820815777,-12.6710386070086
-12.4758402070717,-11.2588071093566,-12.6655333933994
-12.4630609469069,-11.2609193689709,-12.6965037068409
-12.4735583881951,-11.2613824391343,-12.6919865326999
-12.4539712465099,-11.2600956032857,-12.6809269910064
-12.4899236387606,-11.2658477633604,-12.6710260437999
-12.4763783698884,-11.2779623368507,-12.6796822653699
-12.4677020246509,-11.2779117410855,-12.6845155635898
-12.4743386909463,-11.2475526794383,-12.7007932773127
-12.4950713508404,-11.2684050478964,-12.6988890728411
-12.4717276434365,-11.2650793010156,-12.683858415218
-12.492510193883,-11.2765953518518,-12.7082166932331
-12.4353135700256,-11.2604560842742,-12.6996218883509
-12.5031318647946,-11.2692219996907,-12.7191237909846
-12.4732675314285,-11.2849201142391,-12.7042992337196
-12.4653436693192,-11.2818505433297,-12.7124925784772
-12.49887657883,-11.2634892717011,-12.7248426291381
-12.4817175612214,-11.2848196218262,-12.6846642919624
-12.5164685447982,-11.2801860199826,-12.707926139848
-12.4790420150152,-11.2619481227266,-12.7105380861435
-12.4732292545026,-11.2798325828024,-12.7125046313895
-12.5025298536132,-11.285874288825,-12.7008298611171
-12.4912139930722,-11.2847191193136,-12.7032049421642
-12.4907815525025,-11.283914735378,-12.7036428024937
-12.4656599809737,-11.2719742950061,-12.7204997760778
-12.4596639242632,-11.2904816687703,-12.7204041166254
-12.4952323757078,-11.2809934076229,-12.7288940315799
-12.4884544463259,-11.2853722051673,-12.7208345121177
-12.4667007884258,-11.2732967773962,-12.7183212563697
-12.5245554671347,-11.2852717581781,-12.7125287367782
-12.4951462493529,-11.3033889170622,-12.7245211412417
-12.5162449070171,-11.2871283961905,-12.7531761951568
-12.4718273099371,-11.2854726420679,-12.7447040796341
-12.5423948709003,-11.2825055046852,-12.7497216399435
-12.5501764021699,-11.2990389349187,-12.7164861844008
-12.5025224191111,-11.2681496135289,-12.7278263398279
-12.5088514368989,-11.2945704303878,-12.7358534788118
-12.5278698718431,-11.2615881792852,-12.7374182862657
-12.4830640256288,-11.2299788292853,-12.7423203718416
-12.5006657814722,-11.3043256390969,-12.7180815689209
-12.5291158289825,-11.2664621083344,-12.7340149396964
-12.5019981473627,-11.2976012627082,-12.7567918329578
-12.4712675154361,-11.269681241949,-12.7210496404186
-12.4673632569153,-11.2750742847837,-12.7346517396801
-12.4993502835641,-11.2512489639392,-12.6863730802533
-12.4836930184275,-11.2588071093566,-12.6664803811025
-12.4788402989052,-11.2546727365425,-12.6501044067872
-12.4902096917952,-11.2734492590351,-12.6564856250109
-12.4719997861789,-11.2667691393469,-12.6641681537015
-12.5001107257009,-11.2626162455832,-12.6430364206977
-12.4624691382179,-11.2778611427603,-12.6483067458297
-12.4413542319365,-11.2733984344055,-12.6480753833609
-12.4701546645814,-11.2668203020187,-12.666366789917
-12.4573837404722,-11.2658989731927,-12.67999359206
-12.4846546880205,-11.2533772317622,-12.6618759253748
-12.478368200304,-11.2447845477253,-12.6539201301292
-12.4565861976398,-11.2928771185633,-12.6473552465037
-12.4410894302102,-11.2457255274591,-12.6524749415236
-12.4346096261211,-11.270191263891,-12.6636240668367
-12.4279834373085,-11.261845294963,-12.6642187513867
-12.4550047939901,-11.265489221087,-12.6649900490383
-12.4490737245943,-11.2845683466031,-12.677699955892
-12.4545486047221,-11.2774562639654,-12.6763012494672
-12.4705116792516,-11.2629758192355,-12.6685480083551
-12.4521316214151,-11.2579299842068,-12.6833497587424
-12.4492344871581,-11.2611252044062,-12.687621867176
-12.4560645329727,-11.2619995326436,-12.68203349525
-12.4742775127303,-11.2579816011062,-12.6966506630115
-12.4569986650568,-11.2552422273813,-12.6900654681352
-12.439487268334,-11.256380237022,-12.7083014220706
-12.4798979042507,-11.2472396903903,-12.7105863912385
-12.4707496182405,-11.2715670252351,-12.7096561080391
-12.4870925751084,-11.2730425896517,-12.7182373722974
-12.5002932948215,-11.2780635207018,-12.7248069133642
-12.4582855589413,-11.2525472270458,-12.7286568652422
-12.4586584874443,-11.2527547928189,-12.7305881340222
-12.4792284710759,-11.2711595895279,-12.734250838827
-12.4852146048043,-11.2695281846288,-12.750139603076
-12.4447784740007,-11.2533772317622,-12.7334131449138
-12.477663445082,-11.2842667329679,-12.7274345670511
-12.481839007034,-11.2967078737268,-12.7649567372698
-12.4889594892276,-11.2689157209746,-12.7438400579098
-12.4669242280094,-11.2800850506772,-12.7547025952311
-12.4980442547503,-11.2652330407346,-12.7436648273351
-12.4676288913308,-11.2638485316295,-12.7480829335734
-12.4684292176604,-11.3033395915881,-12.761485327062
-12.4602031050706,-11.2693240717536,-12.7613590753044
-12.4721607371697,-11.245516497358,-12.7927698282732
-12.4834581396921,-11.2633866022965,-12.7322793713345
-12.4893098541947,-11.2495847239046,-12.7647966073354
-12.5205439116971,-11.2615367482157,-12.7444239381609
-12.4431467150444,-11.2644641056717,-12.7436414609383
-12.4706229803422,-11.2660013849906,-12.7634001029476
-12.4825066954911,-11.27065006134,-12.7580133408651
-12.4977641693785,-11.2808925198101,-12.7758311079129
-12.4962353885729,-11.2698342758463,-12.764144384893
-12.5034810138402,-11.2855228567356,-12.7422852748862
-12.4924200777458,-11.2685072033772,-12.771488722078
-12.4907213720363,-11.2390673991115,-12.7768600832687
-12.4686291992012,-11.2707010258432,-12.7475011864541
-12.469536305441,-11.262359328078,-12.738299617956
-12.4698973814514,-11.2532735188395,-12.7271970542836
-12.4503081886312,-11.2494806168825,-12.7231864571372
-12.4413700387769,-11.2556044618544,-12.7006347320264
-12.4214339939023,-11.2531697951593,-12.7213125121746
-12.4237693898871,-11.2408542400326,-12.7108399547122
-12.4374462369644,-11.252080046472,-12.7223513740576
-12.4338175941596,-11.2426378938472,-12.7450891460629
-12.4428232002506,-11.2438950308835,-12.7172302141964
-12.4557841231051,-11.2583944404144,-12.7154652430043
-12.4172002941658,-11.2334760774449,-12.7310023376624
-12.4357945122045,-11.241274209591,-12.7398840602412
-12.4453926496664,-11.2642589564249,-12.7220290841252
-12.4556594712537,-11.2586523784591,-12.7397433225408
-12.4603310693338,-11.2440520619498,-12.7566303901198
-12.4562475358954,-11.2333702797301,-12.7494545164554
-12.432080091979,-11.2528585595514,-12.738475791123
-12.432427036577,-11.2293947636409,-12.7660540808941
-12.4422508751148,-11.2323646427861,-12.7565265916732
-12.4221351855538,-11.2493244360247,-12.7660540808941
-12.4423219401828,-11.2504691962705,-12.7650253565358
-12.4359574236307,-11.2558113940849,-12.7624489061443
-12.46032331439,-11.2393303701599,-12.7810892300416
-12.4615981945825,-11.2431618930208,-12.7607046062334
-12.4217524119718,-11.2354313189059,-12.7780912001826
-12.4760234439516,-11.2522877092284,-12.7520298641585
-12.4482930706491,-11.27065006134,-12.7695438489337
-12.4391071199924,-11.2557079333223,-12.7863758233056
-12.4365174775059,-11.2564319339745,-12.766396753976
-12.4696592395715,-11.2491682307707,-12.7849194688628
-12.4934671766459,-11.2623079366553,-12.7904200696848
-12.4779339774418,-11.2526510153178,-12.7804250287755
-12.4698052042252,-11.261228106238,-12.7868682632434
-12.4782234802989,-11.2567420595778,-12.7832476498377
-12.4827266315588,-11.2476048347568,-12.8018605483178
-12.4719078025519,-11.2505211997027,-12.7856703164032
-12.4758898370421,-11.2613824391343,-12.7596358678748
-12.47576766653,-11.2534809339297,-12.7897731958472
-12.4587322797269,-11.2476048347568,-12.7984266420534
-12.4486462057073,-11.276899287825,-12.7834497630442
-12.448018323807,-11.2531179292844,-12.7970985030234
-12.4551061411275,-11.2816993374627,-12.7897062539751
-12.4605908252035,-11.252080046472,-12.7883664746149
-12.480893617446,-11.273957363309,-12.771443271148
-12.4804376886542,-11.2576202268476,-12.791545524582
-12.4513298770895,-11.2652842820556,-12.8156425458348
-12.4607962559402,-11.2827069449841,-12.7876400106184
-12.5122771143674,-11.27294089646,-12.7823263946186
-12.4879717789762,-11.2681496135289,-12.8025216835109
-12.4681984200227,-11.2803879280142,-12.7884558491053
-12.4570998103327,-11.27400815954,-12.8071045371823
-12.4741054289289,-11.2589102499889,-12.7675609648981
-12.4825066954911,-11.2589618163161,-12.7740193491059
-12.5067400425393,-11.2546727365425,-12.758957258423
-12.4875341603689,-11.2772537630787,-12.781213015398
-12.4598966998414,-11.2490640803775,-12.7517749453835
-12.485679702625,-11.2784681537557,-12.7840782985772
-12.4344385366588,-11.2668203020187,-12.810377683362
-12.4699165839708,-11.2687625464319,-12.7923470564413
-12.4985780669097,-11.2674851786574,-12.8130299297746
-12.4886768473914,-11.2672295091855,-12.7997972017657
-12.5157461246226,-11.2760378958638,-12.8053705786043
-12.5300311972832,-11.2800850506772,-12.7828433008341
-12.491717644556,-11.2733476071926,-12.7939037538891
-12.5048170540904,-11.2826062299069,-12.799642555188
-12.4652510713679,-11.2773043921449,-12.7817642368173
-12.5338500485459,-11.278771521136,-12.7905538534236
-12.5072174375261,-11.2656941181269,-12.8176734885315
-12.5026153464142,-11.278417583577,-12.7733731162241
-12.511290071071,-11.265540449283,-12.773475180763
-12.4970393177732,-11.2693751038784,-12.7620819378715
-12.4831170884932,-11.2542065481421,-12.7639497800261
-12.4592913705976,-11.2673829187125,-12.755314813038
-12.4639769792756,-11.256380237022,-12.7581515308074
-12.4489482334138,-11.263335263641,-12.7511953427428
-12.4245131548595,-11.2622565425913,-12.7448324515862
-12.4620356966464,-11.2559148441444,-12.7577484234199
-12.445731072462,-11.2480741102562,-12.7447741027418
-12.4461087115144,-11.2453596961033,-12.7735091999612
-12.4689560060132,-11.2496888200896,-12.7640642580637
-12.4318128226916,-11.2653867568213,-12.7529215684728
-12.4560411684867,-11.2547245218406,-12.7446690662415
-12.4735086423771,-11.2323646427861,-12.7664081743899
-12.4702276134231,-11.2455687589797,-12.7602565646844
-12.4480222492934,-11.2702422517814,-12.7669105435276
-12.4779644553739,-11.2600440953921,-12.7622195667554
-12.4468006796014,-11.2536883060078,-12.7851660779886
-12.4459081085247,-11.2656428978027,-12.7575410477582
-12.4518305537958,-11.23606463115,-12.7669904426265
-12.4504413412949,-11.2548280843925,-12.7681881636779
-12.4342395586094,-11.256380237022,-12.7695666178632
-12.4539283214395,-11.244470690946,-12.772158883453
-12.4673440053025,-11.2403290299365,-12.8021030153104
-12.4483166168664,-11.2528066775311,-12.7628386624369
-12.4513729138409,-11.2477612843934,-12.7622310349741
-12.4841058166943,-11.2538438068504,-12.7723632500874
-12.4126924282112,-11.2478134288335,-12.7970542013288
-12.4526905066296,-11.267894113898,-12.7771764781774
-12.5007886716253,-11.2534290841902,-12.7662025869803
-12.4581767619253,-11.2402239548077,-12.7900520720893
-12.4493638626471,-11.2503131697457,-12.7964559362796
-12.4675249558323,-11.2521319662041,-12.783225190293
-12.4335667195816,-11.2375408018103,-12.7880424251107
-12.4484814248655,-11.2377515055616,-12.8136183637944
-12.4541975482335,-11.2454642330049,-12.796777271263
-12.4768361527776,-11.2355368988036,-12.8059525581197
-12.4718234767938,-11.2672806483095,-12.8043375547199
-12.4859253986926,-11.2476569873553,-12.7856030993032
-12.4719576280668,-11.2665644624798,-12.793981525186
-12.4646412540626,-11.2721778677077,-12.8328235804504
-12.4596367635825,-11.2235886909212,-12.790732203905
-12.487334150179,-11.269681241949,-12.7795011683254
-12.4457113998536,-11.2536883060078,-12.8008018219989
-12.5052916607876,-11.2548798616468,-12.7981943450219
-12.4761379499538,-11.2614338781405,-12.8133895694849
-12.4475824990016,-11.259941071645,-12.793136827282
-12.4769505657629,-11.2796810714766,-12.7949920020282
-12.4708417084583,-11.2634892717011,-12.8019707678752
-12.4670166711666,-11.2742113186651,-12.7990126756731
-12.4667508740529,-11.2523915244375,-12.7891035753854
-12.4673016504497,-11.5091182266273,-12.8111642677692
-12.4628056998379,-11.4762199859618,-12.7792531580429
-12.4729076704688,-11.4985831032544,-12.758163045774
-12.4821235878768,-11.4861707276614,-12.8035015630311
-12.4536004692199,-11.4843613678455,-12.7926585898558
-12.4801184147715,-11.4949244138607,-12.7998192921817
-12.4820097652578,-11.2525472270458,-12.7760234145181
-12.4543964953747,-11.2656428978027,-12.7657112903472
-12.4477552811081,-11.2505211997027,-12.7538703022159
-12.448489272188,-11.2656428978027,-12.7405405744091
-12.4346016691207,-11.2318349537012,-12.7418523111256
-12.4457704165179,-11.2368029888651,-12.7351820967407
-12.4406743013265,-11.2573103735091,-12.7424841413481
-12.4346812362754,-11.2371192610727,-12.7358417040627
-12.419977652611,-11.2469266033496,-12.7536621206809
-12.438853607456,-11.2461434566262,-12.73546483887
-12.4375533460313,-11.2584460333462,-12.7370420148755
-12.4228197833391,-11.2393303701599,-12.7308011744652
-12.4293961806463,-11.2182322048159,-12.7207508386117
-12.4487874248208,-11.2402239548077,-12.7414074504299
-12.4383582803616,-11.2397509800505,-12.7651854498477
-12.4506606129224,-11.2434237896779,-12.7443538905285
-12.4364777677051,-11.2403815633609,-12.7376886439034
-12.4564032566883,-11.2279065099379,-12.755649641557
-12.4439905170927,-11.2551387077124,-12.7426946627402
-12.4140050923557,-11.2384886192685,-12.73919190909
-12.4138791838341,-11.2308808057359,-12.7277669901813
-12.4552191700494,-11.2558631204524,-12.7830117994556
-12.4070114868562,-11.2536364670197,-12.7496635756896
-12.4496108057476,-11.2334231799866,-12.7630334836318
-12.4561307293853,-11.237066555984,-12.7630907767607
-12.4115124054504,-11.2326823216154,-12.7851436614901
-12.4817137658021,-11.2560182835032,-12.7638238390465
-12.4668433332361,-11.2399086631603,-12.7557419883192
-12.4508446073639,-11.2523396181801,-12.7815617826219
-12.4475471535291,-11.2570520890331,-12.7855806925991
-12.4571075903148,-11.2580332153414,-12.7805151158222
-12.4459120423035,-11.2475005213994,-12.7833711683179
-12.4247904175154,-11.2501050965031,-12.7849194688628
-12.4894944057256,-11.2440520619498,-12.7767131515973
-12.4171071776993,-11.256793737829,-12.7876511909857
-12.428948160926,-11.2618967101665,-12.8062489080782
-12.4686599620428,-11.2392777814823,-12.7964116061084
-12.4743042786603,-11.2634892717011,-12.7965667531105
-12.4270779123427,-11.2613824391343,-12.80280803974
-12.4744113352169,-11.2645153864081,-12.7656998619717
-12.4497322950498,-11.2606105363557,-12.7698511857488
-12.5188850396418,-11.2566386950628,-12.7947033985341
-12.4599199744194,-11.2651305502149,-12.7887574290514
-12.4960520770306,-11.2288634986866,-12.8132370108585
-12.462987473368,-11.2834619849112,-12.7885228747314
-12.4490815672702,-11.2677407827791,-12.7815055380706
-12.5025298536132,-11.2419562841734,-12.7914787012517
-12.4542053508279,-11.2506251984548,-12.7890365886711
-12.4852713356335,-11.2691709597519,-12.7911779409944
-12.4912290311185,-11.2704971522442,-12.8058427765848
-12.4749196974034,-11.2620509399177,-12.7976631776585
-12.5186692571643,-11.2442090683613,-12.79423701687
-12.485343190064,-11.2628730970988,-12.7922691579208
-12.4876020792587,-11.2572587219505,-12.7879530136615
-12.4520299723545,-11.2543101643478,-12.8161207859204
-12.4727276914148,-11.2824551382696,-12.7737586387253
-12.5071989380894,-11.2528066775311,-12.7865661129382
-12.479989155881,-11.2673829187125,-12.7939593054326
-12.5062179778914,-11.2780635207018,-12.7996756957537
-12.5134691060911,-11.2586523784591,-12.791768236772
-12.5065549444182,-11.2578267424145,-12.7960568939758
-12.4891780108169,-11.2689157209746,-12.7876623712279
-12.5068436825237,-11.2679452190468,-12.8007576840678
-12.4776596342444,-11.2672806483095,-12.7886234047481
-12.4890122401904,-11.2618967101665,-12.7782379295293
-12.4781168311022,-11.2619481227266,-12.7707157751796
-12.4591904467562,-11.243685617763,-12.757080058929
-12.4749349824893,-11.2388569724707,-12.7445290004104
-12.4507937186712,-11.2325234948157,-12.7292615282796
-12.4326861695197,-11.2206461748212,-12.7382761258553
-12.4395545712108,-11.2461434566262,-12.7340621239746
-12.4417927790488,-11.2389095832823,-12.71930337471
-12.43715658833,-11.2261496484112,-12.7614049868787
-12.4738185567705,-11.2541547360129,-12.7392271147792
-12.4706575195413,-11.224176156558,-12.7367950098106
-12.4349198997611,-11.2378041745633,-12.7530488899191
-12.4235642546681,-11.2629758192355,-12.7450774795615
-12.438813990316,-11.2176412358783,-12.7548065831686
