meanPPG_1,meanPPG_2,meanPPG_3
-11.8480897036779,-11.0220985277109,-12.3148014820208
-11.8982490883765,-11.0225558497716,-12.3100361858722
-11.8863975438422,-11.0181700213817,-12.323802346431
-11.85708238435,-10.9909040684435,-12.3098378894184
-11.8393762253504,-11.0115880190765,-12.2926722710952
-11.8386183843669,-11.00788308596,-12.2909834846006
-11.832215210168,-11.0232088044145,-12.2745347094971
-11.8266991709261,-11.0060254592067,-12.2786537383109
-11.8355957484695,-10.9779437513265,-12.2834595219115
-11.8367031803182,-11.0155424169007,-12.2833299390755
-11.8343203212822,-11.0022331656495,-12.2884817817709
-11.8489618923547,-11.0111256524116,-12.2860107323465
-11.8395637925324,-10.9912410978694,-12.2938820373546
-11.8626100330636,-11.037981653092,-12.2899541295109
-11.8606343335174,-11.0031659393862,-12.2936805112517
-11.8559547286548,-11.0332754586727,-12.3007826452625
-11.8631526668238,-10.9924534641524,-12.3003823250009
-11.8691723172908,-11.0216409964111,-12.2999636369447
-11.8733722864267,-11.0061582613317,-12.3003277234557
-11.8689341870324,-11.0037651205233,-12.296370283511
-11.8573587850477,-11.0119181501416,-12.295968192633
-11.8714666663667,-11.0028329057801,-12.2974478206213
-11.8644833390095,-11.0119841632782,-12.3014373693015
-11.8562243469337,-11.0030327392528,-12.297265268913
-11.8641244431382,-11.0006320979292,-12.2975573356524
-11.8725420779549,-11.0405510275785,-12.2907997488855
-11.8640399783283,-11.0014329522165,-12.3124846082238
-11.8783321758324,-11.02685749233,-12.3024004891572
-11.8780198656017,-11.0151476800535,-12.3041063858015
-11.867960064279,-11.0002314301442,-12.299726909608
-11.8902791229173,-11.0045634706422,-12.3172561744908
-11.8814499252661,-11.0184979870139,-12.314424682124
-11.8832399657954,-11.0363724351463,-12.3051212831303
-11.9063787187451,-11.0130397812426,-12.3175066799764
-11.8860602002476,-11.0481561129629,-12.3052661844166
-11.9031280240124,-11.0267924537946,-12.3268556213075
-11.9043119324688,-11.0305577140207,-12.3316474684382
-11.9056767606583,-11.0368232772626,-12.3271746118823
-11.9037641262162,-11.0522224506074,-12.3139041058882
-11.913947383381,-11.0210524341209,-12.3275820629274
-11.9064259482298,-11.0321116152722,-12.3315769067673
-11.8864526095425,-11.0135012639287,-12.328007052309
-11.867791774315,-11.0236656191188,-12.296224087352
-11.8527421028418,-10.9947394867979,-12.2911488178853
-11.8355812641126,-10.9994296126484,-12.2688408505825
-11.8269621827047,-10.9933954005741,-12.2732638950705
-11.8355812641126,-11.0142918819696,-12.2700610153623
-11.8262021820835,-10.9913758778413,-12.2665843197918
-11.8330940884563,-10.9873245556221,-12.2643415536542
-11.8384595258373,-11.0321116152722,-12.2675627750397
-11.8482970961474,-10.9986271517253,-12.2729459389645
-11.841941400915,-11.0147527873276,-12.2841071843355
-11.8449521203363,-10.9931936317332,-12.2774812634174
-11.8500760428945,-10.9886768208721,-12.2755613940498
-11.8441984948237,-10.9818971338867,-12.2837186372193
-11.8625888855278,-10.9942020690771,-12.2821814717825
-11.855486271432,-11.0392029291557,-12.2887027721771
-11.8524786648319,-11.0283522123483,-12.283589087958
-11.8624196891397,-11.00788308596,-12.283774153194
-11.8532545401329,-11.0019664989812,-12.2783933071098
-11.8462427298981,-10.998158751971,-12.2731516868119
-11.8573587850477,-10.9990953321839,-12.2860476586048
-11.8568626267205,-11.0304281131911,-12.2856968040858
-11.8652148061964,-10.9984264358379,-12.279917725988
-11.8592985262687,-11.0129078899208,-12.2768106600355
-11.8501331453721,-11.0100018711001,-12.304523343287
-11.8670060464591,-10.9994296126484,-12.2886291141346
-11.8596096672393,-11.0111917178825,-12.2861030454357
-11.8624549407481,-11.0058262229451,-12.2980682472758
-11.8692843589704,-10.9908366489255,-12.3073829702266
-11.8675182427046,-11.0127759812015,-12.3014010069874
-11.877401898001,-11.0288715917017,-12.3008554135501
-11.8781100985764,-10.9963500092236,-12.3045414679302
-11.8787623102213,-11.0258163678216,-12.3038525004475
-11.9011765923437,-11.0346960969072,-12.3075275441855
-11.8805571638405,-11.0169227700959,-12.3073106754083
-11.8884123495587,-10.9899597813101,-12.3011828053318
-11.8832952056399,-11.0310111846987,-12.3153395214182
-11.8967037718408,-10.9948737961125,-12.318543820423
-11.882245126442,-11.0115880190765,-12.3158055881818
-11.8896000756151,-11.0082807002793,-12.3076720972458
-11.8881856287987,-11.0288066840328,-12.3157338997397
-11.8822036533166,-11.0084132032608,-12.31145916085
-11.8606131441587,-10.9999642290738,-12.2923604274547
-11.8501688327648,-10.9898248103286,-12.2894942536692
-11.8303896157065,-10.991982163016,-12.2758039110038
-11.8163504646879,-11.0052282758788,-12.2741797915448
-11.8201748429145,-10.9850214996695,-12.2609774106995
-11.8171622488865,-10.9873245556221,-12.2593669365879
-11.8157375000988,-11.0085456886876,-12.2542149808562
-11.816284016807,-11.0133035117116,-12.2610531338556
-11.831786385903,-10.9994964553341,-12.262282832167
-11.8262314235596,-11.0047629586237,-12.27567333226
-11.8348495311407,-11.011257778989,-12.2732825952229
-11.8491762485011,-11.0167913899472,-12.2859368757391
-11.8478178829062,-10.9913758778413,-12.2874682837342
-11.8514669877128,-10.9835284556188,-12.2757292966667
-11.8509892914829,-11.0006320979292,-12.2776302253393
