meanPPG_1,meanPPG_2,meanPPG_3
-12.4432137720882,-11.3175916142953,-12.8183459397499
-12.4250515366736,-11.3188065926966,-12.8396608862329
-12.3676258588742,-11.3438912393031,-12.8817277274656
-12.412354839769,-11.3351376153768,-12.8399792460458
-12.4986601665712,-11.3360450781257,-12.852777902644
-12.4481753312455,-11.3245697391417,-12.8447636402941
-12.4006973736371,-11.3294352255327,-12.9020458291792
-12.4724940532656,-11.3296754773177,-12.8390982027487
-12.4553828444624,-11.3248594402687,-12.8470419300315
-12.440622892426,-11.3205535723228,-12.8649802862684
-12.4647570707635,-11.3252938346574,-12.8676156334631
-12.4306032344628,-11.3147183989461,-12.8469154944608
-12.4607768774847,-11.3095355201429,-12.8403399313518
-12.4429810254201,-11.3096335593586,-12.8523902387333
-12.4272101861496,-11.342564099095,-12.838099456411
-12.4516545632128,-11.3326019108389,-12.8543479752946
-12.4480850549805,-11.3490408975309,-12.8290655661669
-12.5082232915328,-11.3164238446024,-12.8736660928418
-12.3842230150053,-11.307720058787,-12.8681212389881
-12.4543496878433,-11.3373808924553,-12.84926248103
-12.4709030972257,-11.3260656257333,-12.8513837066752
-12.4218410673121,-11.3369517181324,-12.8483159295616
-12.4407098905556,-11.3216196705048,-12.8284324883684
-12.4139644784357,-11.3072288272597,-12.8638827618004
-12.4802894670284,-11.3289064683401,-12.8566149932577
-12.3974241427512,-11.3198260350044,-12.8628462559758
-12.4191577801502,-11.3072779612728,-12.87435319836
-12.4592797260588,-11.3164725289091,-12.8511214225991
-12.5166664775017,-11.3038820380348,-12.8231052266211
-12.4273143895548,-11.3141818004796,-12.8349585998361
-12.3419618812567,-11.3307798926901,-12.886924547996
-12.4461834356741,-11.345831379507,-12.8697910153993
-12.428243724146,-11.3274629806237,-12.8620370349624
-12.5114337685549,-11.3244248570996,-12.8430197764019
-12.4124361968044,-11.3325540054999,-12.8572930548621
-12.4163011555771,-11.3306359076643,-12.8518346744282
-12.4948166539283,-11.3254868382768,-12.857501596738
-12.4289921717526,-11.3326498138832,-12.8551738902514
-12.3688715358353,-11.3437017556454,-12.8384926990202
-12.4100863831584,-11.3289064683401,-12.8487367297193
-12.4549930994286,-11.3162290836709,-12.856228814285
-12.4671784261312,-11.3260174062381,-12.8792007753761
-12.4634359645506,-11.3190979679901,-12.8766265084374
-12.4005656620031,-11.3309238569872,-12.8659732322965
-12.4214259313693,-11.324714600196,-12.8230188959964
-12.4800043636765,-11.3456422631526,-12.8753880928368
-12.4397683267782,-11.3337509510381,-12.862192705253
-12.4271701050254,-11.3453112234485,-12.854923051508
-12.4463210708271,-11.3615442798829,-12.8862358985318
-12.4307150729681,-11.3267404546416,-12.8675949910719
-12.4204216378296,-11.3060488861199,-12.8916613325122
-12.4229848220934,-11.3362837473074,-12.8757055190251
-12.4560645329727,-11.3069831209758,-12.8986896855905
-12.4200220600044,-11.3342293283913,-12.867244005211
-12.447931959207,-11.3296754773177,-12.8675743482546
-12.406086761855,-11.3409977050403,-12.8893411926666
-12.4797648140287,-11.3404750279715,-12.8424378119911
-12.4250555533589,-11.315547121542,-12.85650019887
-12.4711102564974,-11.3229265122483,-12.8586061432048
-12.4520925268454,-11.3166185676096,-12.8435379686628
-12.4279754274083,-11.314084206179,-12.8463147070951
-12.4616911313856,-11.325197318877,-12.8424166432658
-12.4289761680398,-11.3319310271642,-12.8301483800877
-12.4591710371574,-11.3501712136688,-12.8257670238811
-12.4630184102528,-11.3518173045755,-12.810574387476
-12.4385326634817,-11.3144257445688,-12.856301886611
-12.3852141513175,-11.3331287181594,-12.8494201525375
-12.4131193347109,-11.3293871682484,-12.8709746606498
-12.4608660152705,-11.3248594402687,-12.8244100692816
-12.4798332626409,-11.4956165258476,-12.8617671490395
-12.4368628862529,-11.5079129231467,-12.8391194418372
-12.3799755312144,-11.4924370025429,-12.848536871723
-12.3817639372813,-11.4980960507242,-12.8485053115456
-12.4170504938655,-11.484237883106,-12.8402232532824
-12.4040624779608,-11.5148835466764,-12.8757976561456
-12.4381362942189,-11.5053367433216,-12.8896744132466
-12.3965153034004,-11.5051351994952,-12.8713860351607
-12.4617608283201,-11.4846905859554,-12.8454286778193
-12.439059591287,-11.5080737142392,-12.8463357934649
-12.4285519762987,-11.4945170652869,-12.8728553166588
-12.43615606019,-11.4857597968975,-12.8599383110884
-12.5197988558748,-11.4980960507242,-12.8667689458196
-12.3925522124728,-11.4991104759365,-12.8578351733074
-12.3994701370712,-11.505094885855,-12.8414953697254
-12.4665890499092,-11.4773397372452,-12.8744352092675
-12.4429139527666,-11.5046916600431,-12.8512683101569
-12.4032417630721,-11.5130854521716,-12.8766162798803
-12.4477945456056,-11.4795754852887,-12.8726396832348
-12.435834249146,-11.5200202374461,-12.8460932733635
-12.4616136846495,-11.4867868073605,-12.8693480748852
-12.4039147989819,-11.5108032145891,-12.8816259576891
-12.4354050065935,-11.5261970071635,-12.8963256419768
-12.4207726502215,-11.5172361605573,-12.8669858487564
-12.453061621404,-11.4997591684385,-12.8515200672127
-12.4570609095142,-11.4830021963189,-12.8408383116263
-12.4152430252068,-11.4647850896423,-12.8700175602819
-12.4672669951449,-11.4892882952041,-12.8797005586437
-12.4802970686719,-11.5239049690132,-12.8649492408127
-12.4914583333078,-11.5026326754848,-12.8779144702628
-12.4055216859847,-11.5112841186981,-12.8785476208206
-12.4180015470768,-11.4862939739693,-12.8416966398465
-12.4099640580016,-11.4954130132189,-12.8847151398872
-12.4497989119498,-11.4997186374829,-12.8689770900191
-12.4452666956631,-11.4988671077192,-12.8620785494094
