meanPPG_1,meanPPG_2,meanPPG_3
-12.7463017196654,-11.1491395838536,-12.8595950313069
-12.7503427165155,-11.3856828280332,-12.8185736030045
-12.7678917187347,-11.3918419888472,-12.8310908670376
-12.7713353169091,-11.3773348106639,-12.8517612749304
-12.8055298330741,-11.3794397855866,-12.842109646381
-12.7736254234904,-11.3791654747907,-12.8542643002883
-12.7517401786969,-11.3573470998184,-12.8520653234967
-12.764922425871,-11.3458786530079,-12.8201225047314
-12.794137049637,-11.3607062519927,-12.8401171704953
-12.7945646172005,-11.4045827291332,-12.8488419020969
-12.8214204336357,-11.3691474690368,-12.8209122788214
-12.7733957981331,-11.3951774287014,-12.8313477548433
-12.7744442746795,-11.3748121628406,-12.857616276235
-12.8292693533923,-11.3666966574241,-12.8409019167656
-12.7499161306325,-11.3793483570151,-12.8394804373393
-12.7790248214738,-11.3732035217951,-12.8347559688318
-12.7958351349825,-11.3814034807032,-12.8463252503356
-12.8451410769756,-11.3730195122261,-12.8312300227906
-12.7620589978825,-11.3873622419949,-12.81441328938
-12.7640985989196,-11.3853647835497,-12.8420884707076
-12.7737331307987,-11.3655848770715,-12.8420037635297
-12.7782858940694,-11.3720529060888,-12.8205012413787
-12.7900297648518,-11.3857736793097,-12.8572096259331
-12.8109321804706,-11.3617304129686,-12.8483264517239
-12.795252783542,-11.3612184635939,-12.8577413661436
-12.7248039369921,-11.3614512003464,-12.8549544097921
-12.7938037533335,-11.3803992812396,-12.8505441553661
-12.7964670185153,-11.3631253078802,-12.8376528854307
-12.7476495641192,-11.3871808196432,-12.8475580427662
-12.7764983664664,-11.3849557205256,-12.8222091837239
-12.8026621184464,-11.3395715781585,-12.8237309008595
-12.781415540208,-11.3729735045428,-12.8249379926696
-12.7735233742856,-11.368870319975,-12.8268534134639
-12.7495125928491,-11.3760513488082,-12.8222199842013
-12.8035428290166,-11.3566926189386,-12.8243022955632
-12.7938704214817,-11.3477677628547,-12.8231807598045
-12.7690712766228,-11.3780674785234,-12.8441932559029
-12.7703802667248,-11.3500770694398,-12.8313049447915
-12.796040263757,-11.3464457607736,-12.8362906758868
-12.8551582146732,-11.3897177422686,-12.8141193494397
-12.8415721749461,-11.3623816060704,-12.8464517605515
-12.753025741771,-11.3695630486609,-12.8094920357153
-12.7823488743587,-11.3782047940059,-12.8380144106457
-12.7664966781764,-11.3658629380614,-12.8116773990274
-12.7549394409099,-11.3796226176558,-12.8377804974902
-12.7991011037535,-11.3557569025796,-12.8131825199939
-12.7498145357377,-11.3758219857484,-12.8246686788257
-12.7691994056403,-11.3663725158177,-12.8289475651048
-12.7584019514146,-11.3914355673825,-12.8042495884989
-12.7962370369544,-11.3725133112535,-12.8330479717899
-12.726487148695,-11.3775180279601,-12.8095686041375
-12.7695324642746,-11.3610787955381,-12.8304376466917
-12.7408891723313,-11.4043598183635,-12.8475369821538
-12.8369666914662,-11.3568329009056,-12.8405520384243
-12.7524179111576,-11.3724212471768,-12.8274982350319
-12.8307723415669,-11.4155772097003,-12.8392681028267
-12.8303573032503,-11.3745825153485,-12.8282714724651
-12.8044447530906,-11.3542110538117,-12.8445313007393
-12.7674354779229,-11.3667429547921,-12.8611336690845
-12.7497158336698,-11.3681771110834,-12.8254979332443
-12.7339117163253,-11.3865455820883,-12.840138387953
-12.7421916769828,-11.3639613118303,-12.8335820343092
-12.752012485397,-11.357393832066,-12.8159469068963
-12.8297223630325,-11.3761430793041,-12.8299876402555
-12.8056314131941,-11.367575941096,-12.8320859399045
-12.7956160997073,-11.3504535931888,-12.8174890277262
-12.7613533362094,-11.3686393037335,-12.8360350548861
-12.7831072694065,-11.3596344155549,-12.8142935465005
-12.7662111539663,-11.3714540623,-12.8392043936801
-12.7635547301674,-11.3650285230306,-12.8230512708541
-12.8263695242759,-11.3558973158629,-12.8580852827316
-12.7781278845378,-11.4088086200777,-12.8260898370934
-12.7906179517895,-11.3878156539274,-12.8330266033553
-12.7539107769265,-11.3584680714445,-12.8402020376252
-12.7889779716149,-11.3752253954735,-12.8357474031345
-12.7806924509818,-11.3748121628406,-12.8253902767116
-12.7849054551546,-11.367390892983,-12.8075649574884
-12.7839745052101,-11.3577676114471,-12.8111642677692
-12.7504587628181,-11.3583747051216,-12.8238063868002
-12.77321149273,-11.3991742904272,-12.8183134121964
-12.7834245011273,-11.3471541935139,-12.8363652197053
-12.786070724657,-11.3666040562573,-12.8309731047353
-12.7656627188493,-11.3755925700691,-12.8253472108532
-12.7683420523597,-11.3985914745133,-12.799995997945
-12.7512388245957,-11.3683620137789,-12.8165553512533
-12.7856619145128,-11.3582346392905,-12.795358186556
-12.7481323664763,-11.3637755935643,-12.8109021417069
-12.7581803179753,-11.3748580860111,-12.8209771640286
-12.7962065535006,-11.3975146134589,-12.8131498240498
-12.8089531563798,-11.3556632827695,-12.811524578951
-12.7913199779437,-11.3933758698661,-12.8213555771846
-12.7697686693985,-11.3906222285821,-12.839501668311
-12.8322730741578,-11.3678534490762,-12.8174347680721
-12.7341004595613,-11.3611719097427,-12.8031493573394
-12.7815899037113,-11.3695630486609,-12.8187253497178
-12.7570454761985,-11.3505947530525,-12.8081456616907
-12.8607466334737,-11.3798968030983,-12.7947589056751
-12.7774391228983,-11.368824120996,-12.8074334304594
-12.8196894871333,-11.3576274605511,-12.8309945170946
-12.8068769893654,-11.3543048096715,-12.7940703992626
-12.7873157255802,-11.3759137372853,-12.8353424197014
-12.775896156933,-11.3771057418277,-12.8201766187497
-12.7920660368112,-11.3684544523073,-12.8329624953119
-12.7674982233789,-11.3735714393857,-12.8365888178259
-12.780627713219,-11.3641469956113,-12.8140975726733
-12.7702380681642,-11.3541641725853,-12.8357900234303
-12.7869521776843,-11.3842735767487,-12.8411351010034
-12.8180694218138,-11.3591213917346,-12.7973199820613
-12.7300730988315,-11.3628000063926,-12.81441328938
-12.7987584013761,-11.3780674785234,-12.8206743303685
-12.7582925800123,-11.3562716549249,-12.8418025552202
-12.731510981664,-11.3472486133043,-12.8396290446765
-12.7866220735866,-11.3607062519927,-12.8420461180156
-12.7533555523065,-11.3152547096291,-12.8025987874857
-12.7755652114017,-11.2717706808542,-12.8381313467084
-12.8002223565809,-11.2708539037705,-12.8346599713917
-12.8310212818988,-11.2802365008125,-12.8408489127638
-12.7547228159547,-11.2340577648837,-12.8446685988189
-12.7516561542139,-11.2623079366553,-12.837929357647
-12.7607792603122,-11.2559665651613,-12.8207824957752
-12.7722184947025,-11.2418513798985,-12.8258961616713
-12.8089996701075,-11.2549834081133,-12.813749079901
-12.8238198658329,-11.2517165328492,-12.8270039090246
-12.7781476370947,-11.2568454134098,-12.8548707855159
-12.7952416878415,-11.252235797582,-12.8308339132237
-12.7939176420643,-11.2543619684248,-12.8184760393848
-12.7759300938725,-11.2548280843925,-12.8368123659615
-12.808364707746,-11.2651817967878,-12.8280137930812
-12.7677320581272,-11.2201638467751,-12.8146092013509
-12.8042908236285,-11.2536883060078,-12.8205877896186
-12.7862302832678,-11.2627703644092,-12.8378868284348
-12.8315858523119,-11.2610737495193,-12.8213555771846
-12.7774447704142,-11.2388569724707,-12.8170657243253
-12.8131852446077,-11.241431652715,-12.8001837136115
-12.7560997514953,-11.2392777814823,-12.8293980397196
-12.7594260082069,-11.2230543316053,-12.8444362371787
-12.7829107036897,-11.2508331635174,-12.8180423080962
-12.7432850557194,-11.2529623155175,-12.8095248514713
-12.7524555494965,-11.2626676211644,-12.8240004673443
-12.8512525732363,-11.2761899601366,-12.8384183136295
-12.7940509587333,-11.2654379902665,-12.8085070619564
-12.7725164976592,-11.2613824391343,-12.8407853042529
-12.8067535984175,-11.2371192610727,-12.8287115211995
-12.8024005081094,-11.2643615363091,-12.8206959643859
-12.7687608516086,-11.2468222192159,-12.8195920323279
-12.7953831488006,-11.2229474254688,-12.806786504159
-12.8602970685437,-11.2267356119384,-12.8095904797527
-12.8000815785751,-11.2615881792852,-12.8010666086816
-12.8271328871952,-11.2688136072198,-12.8095795420049
-12.8027667434211,-11.232894051449,-12.8327060220318
-12.8014994942012,-11.2610222919846,-12.8246471305846
-12.832874340041,-11.2288634986866,-12.8405944544406
-12.7969268230234,-11.2674851786574,-12.8298161559512
-12.8105388743177,-11.2677407827791,-12.8289475651048
-12.7887211325762,-11.2763420012893,-12.8471683496183
-12.7801237412619,-11.2714142562978,-12.8111751881975
-12.7999186930157,-11.2400137714219,-12.81667482362
-12.7302714483863,-11.2960621516132,-12.8215393262056
-12.7635862253737,-11.2517165328492,-12.8196136897721
-12.8230755513095,-11.2582912465646,-12.837269951514
-12.8054419716754,-11.2731951100516,-12.8343399133517
-12.7976936167422,-11.2485431656394,-12.7989463494809
-12.7953276762997,-11.2635406024508,-12.8147397880116
-12.7605495376439,-11.2309338378468,-12.8223711786376
-12.7598370618179,-11.2482304864978,-12.8282822076652
-12.7226646119405,-11.2492723703178,-12.8352251570382
-12.8124111558268,-11.2755308478862,-12.8441615583399
-12.8652958603701,-11.2361173890703,-12.8159143012131
-12.7690570390518,-11.2586007961724,-12.8261436291655
-12.8329010545801,-11.2221452649402,-12.8353637387083
-12.8106044360864,-11.2402764937522,-12.8377911310935
-12.814576552021,-11.2724322753209,-12.8303305206686
-12.8101153510073,-11.2682007056224,-12.8243561838743
-12.7634602385964,-11.2732459450159,-12.8402868975534
-12.7635289606245,-11.2518204073689,-12.8095904797527
-12.7872849689532,-11.2541547360129,-12.8134658400712
-12.856299276977,-11.2450983060294,-12.8019046375986
-12.7827169082332,-11.2337405227724,-12.8240435912392
-12.7706361731895,-11.261845294963,-12.8392362487608
-12.7848437925053,-11.2393303701599,-12.8324174109439
-12.7334249482931,-11.2835123006424,-12.8447108405897
-12.8067618249544,-11.2524434280007,-12.8252395380921
-12.769327518243,-11.2818505433297,-12.8160121150734
-12.7895416694878,-11.2592196080734,-12.8217554583064
-12.765717004486,-11.265540449283,-12.8252933759218
-12.7885424230262,-11.2286509136518,-12.8225655379005
-12.7851380572869,-11.2559665651613,-12.8150335456637
-12.8108147510817,-11.2371192610727,-12.8050519935586
-12.8018577926732,-11.2518204073689,-12.7884781914798
-12.7697914332097,-11.2657453358278,-12.813378673212
-12.7541044546502,-11.2490120011128,-12.808747922926
-12.7996646490205,-11.2529104388801,-12.8305447612401
-12.7977655599846,-11.2435285291386,-12.8156751603798
-12.7227898796257,-11.2512489639392,-12.8048871683554
-12.7855582853929,-11.2420611774446,-12.8044584956404
-12.7887825566086,-11.2502091385362,-12.8160012473392
-12.744464797014,-11.2911809345697,-12.8052387626192
-12.791907406707,-11.2509891089369,-12.8160447175675
-12.7687494580317,-11.2810942852585,-12.8023674577241
-12.8005893903314,-11.2401714131027,-12.824916450231
-12.8102000700203,-11.2679963215841,-12.8173913582289
-12.7563449184624,-11.2634379383164,-12.8235799118814
