meanPPG_1,meanPPG_2,meanPPG_3
-12.4923750166316,-11.1621757890509,-12.7357592769371
-12.5140204733119,-11.1979407099904,-12.7202964888023
-12.5329345649156,-11.2148428269915,-12.7326101881004
-12.5286777477712,-11.1807479926319,-12.7388750020995
-12.515386553609,-11.1708857587122,-12.7364655747887
-12.5498290026996,-11.1901825484333,-12.7186088054946
-12.5527921986029,-11.1851433595434,-12.7575180033632
-12.5782222371071,-11.1856983601127,-12.7097165423199
-12.5193310862866,-11.2099266884066,-12.7447157504926
-12.5306927797909,-11.1400049883378,-12.7281586327709
-12.5580455521977,-11.2054759646028,-12.7383348550725
-12.5999879776879,-11.2023158878747,-12.7187525490563
-12.5768151753574,-11.1608684135627,-12.7104656241256
-12.5715348680012,-11.1920588251274,-12.71707425381
-12.5016708029414,-11.1917831227739,-12.7081682735312
-12.5088735995283,-11.155736103027,-12.7228047914002
-12.5424734510288,-11.1586476456312,-12.6980945828924
-12.5290941104689,-11.1518408125428,-12.7576793029775
-12.4739027144668,-11.1861975973994,-12.7321730141278
-12.5489138429084,-11.1549925873074,-12.7260443164038
-12.5366022596957,-11.1614370477188,-12.7308485106229
-12.5342066440353,-11.1899063282288,-12.718405133406
-12.5533152444379,-11.1729671590642,-12.731865696418
-12.5816041811792,-11.207432380639,-12.7048337851951
-12.5307469884618,-11.1759410972323,-12.7454973878877
-12.5671294749706,-11.1944817338017,-12.7384170701825
-12.5530890960271,-11.1656349209131,-12.7373359889961
-12.5054362227558,-11.14625790357,-12.715801668249
-12.5182412117703,-11.1953613380365,-12.7485597138042
-12.5178203047644,-11.1910659407169,-12.7221962103895
-12.5241517610345,-11.184143581633,-12.7355708465615
-12.5596161917567,-11.176445228317,-12.7361948862378
-12.5288986226175,-11.1596162790792,-12.7499422533658
-12.5086741181791,-11.1918382693259,-12.7340975107222
-12.4976857314145,-11.1477574136266,-12.7378766756814
-12.5301649951726,-11.1954712341848,-12.7085918664526
-12.5565710538845,-11.1894089395092,-12.693682865096
-12.5110210433466,-11.1766692050244,-12.700402966767
-12.5141931725089,-11.1576780730227,-12.73316524176
-12.5760936335051,-11.1652385785814,-12.7295814960485
-12.5610967275459,-11.1354062085125,-12.7317711181189
-12.4975026855684,-11.152988062138,-12.7133720595196
-12.581614484987,-11.2363811369289,-12.7441553955865
-12.5315236566666,-11.1971730819234,-12.7136971511803
-12.5217698536549,-11.1264391154598,-12.7387106404095
-12.5679619709215,-11.1706041558267,-12.6999880948222
-12.5605707218108,-11.1915625061496,-12.7466628756013
-12.5139873998502,-11.159445411928,-12.7142026393482
-12.6054090112052,-11.1761091691674,-12.7236514153888
-12.5678784042979,-11.1735289568318,-12.7249735760631
-12.4455972910921,-11.160925291531,-12.7352292259809
-12.5598513995568,-11.1996383638031,-12.7399426951043
-12.5744587453969,-11.1599579258198,-12.7230075694603
-12.5966948067686,-11.1907347600548,-12.7269713648907
-12.5944729750117,-11.1665968130856,-12.7241757242664
-12.5484914519207,-11.1885794081469,-12.7638238390465
-12.5496446192666,-11.1752124589129,-12.7426127985762
-12.5544416907957,-11.1747077058106,-12.7447974426881
-12.5633693961071,-11.1608684135627,-12.7174581125547
-12.5294560241275,-11.1747077058106,-12.7071993868272
-12.5343830937593,-11.2164044438512,-12.7477455614663
-12.5466685111518,-11.1713361584495,-12.7477921023175
-12.5329814407326,-11.1734727912556,-12.7236514153888
-12.6022480711756,-11.1926100019037,-12.7288228875845
-12.5273623514679,-11.1588186491372,-12.7114916799969
-12.5606794523469,-11.2015516122616,-12.7070297350976
-12.5538980475253,-11.2134406803993,-12.7105139327209
-12.5701357298225,-11.2050951054888,-12.7500815630864
-12.5146853852723,-11.1725174934954,-12.753939686431
-12.5464408544145,-11.1508071613654,-12.7418054930023
-12.5394042412119,-11.1918382693259,-12.6948857620129
-12.4910297586503,-11.1453917776966,-12.7104173131965
-12.5489102941475,-11.1309034085885,-12.7445406733123
-12.5451272592294,-11.1751003135724,-12.7273751941476
-12.5304795305035,-11.1842547174411,-12.7381234137467
-12.5012986905294,-11.1743149438473,-12.6923186503218
-12.5613701412225,-11.1762772128592,-12.7355944023003
-12.4906273328069,-11.1829759093382,-12.7309313435076
-12.5102983640926,-11.1613233467522,-12.7110089613159
-12.5870298739838,-11.1767811745688,-12.7182853069146
-12.5477775961638,-11.1405856072939,-12.7086160663437
-12.534800687418,-11.1894089395092,-12.767013269768
-12.5656822790519,-11.1803018130372,-12.7568033635919
-12.6113043930785,-11.1518408125428,-12.7161980241818
-12.5059586955833,-11.1754927672539,-12.7230314229996
-12.5106782045273,-11.181584043178,-12.7488386992291
-12.594571300595,-11.213818374849,-12.7308603443122
-12.5062624195376,-11.1885240815818,-12.743010361753
-12.5438333374505,-11.1734166225248,-12.7207508386117
-12.533284277668,-11.1622893931407,-12.7137453039208
-12.6001970232943,-11.1688000170952,-12.7121309235403
-12.5372415586436,-11.1638217865278,-12.7193991395117
-12.5181753423674,-11.1996383638031,-12.7491408456329
-12.5261868155386,-11.1418038108845,-12.7184890034075
-12.5667670008016,-11.1934912533377,-12.7155854078706
-12.5782429144271,-11.1941516826408,-12.7429635978173
-12.5496978102844,-11.1578492423952,-12.7062416891076
-12.5859361447026,-11.1698716169835,-12.7224468474266
-12.5271012406575,-11.1781238321131,-12.7368185367313
-12.5598233179517,-11.1621189821659,-12.7433960808024
-12.4987273340085,-11.1707731270738,-12.7476524732651
-12.5426913000032,-11.168743585279,-12.7243663139037
-12.5712989223787,-11.1464310387601,-12.7051980883479
-12.595865584244,-11.1524719626914,-12.7286094252242
-12.6105939750861,-11.1862530528272,-12.7560535956964
-12.5279242337521,-11.1679532052909,-12.7277313787025
-12.5270468339894,-11.1521277483572,-12.7408100893425
-12.5485731044254,-11.1741465700571,-12.732468422887
-12.5784634459089,-11.1734166225248,-12.7100911533632
-12.6185563985575,-11.1681790918968,-12.6960259500835
-12.5339148935484,-11.1918934128369,-12.7206312928853
-12.5421805300689,-11.1905691285844,-12.7468259355379
-12.610690728347,-11.1782356389111,-12.7236990911933
-12.5617520941278,-11.1961303575746,-12.7424490501402
-12.5358439092691,-11.187416906978,-12.707102446506
-12.5482251474266,-11.1683484733725,-12.7379589284677
-12.5798372262065,-11.1765572229414,-12.72796876461
-12.5336230579182,-11.1524146018631,-12.7245687756004
-12.482415673312,-11.1686307120919,-12.743372708125
-12.5962075103067,-11.1868074380282,-12.6851351192643
-12.5677530412673,-11.1820853382006,-12.7609687417939
-12.501525695571,-11.1709420697745,-12.7136008387426
-12.5580947819282,-11.1476421464949,-12.7389102189473
-12.5293004173058,-11.1604701771757,-12.7189920757527
-12.5573420055903,-11.1596162790792,-12.7062902021819
-12.5207738903247,-11.1800228496633,-12.7361478024875
-12.5225608098236,-11.1831984282532,-12.6920603461487
-12.5912806230712,-11.1735289568318,-12.7209420820532
-12.5292569878245,-11.1753245916782,-12.7322675544257
-12.5127776296142,-11.1767251913637,-12.7335547762712
-12.567488334359,-11.1501749592696,-12.7150084847777
-12.5616715107038,-11.1905691285844,-12.7016099969491
-12.5057586318587,-11.1760531483277,-12.6945913087736
-12.5646348075521,-11.1662008518847,-12.673736038558
-12.5890058051313,-11.1460847383988,-12.7276720234196
-12.5679271523437,-11.1707731270738,-12.7426946627402
-12.5556056464005,-11.1606408693328,-12.7386049650559
-12.522673752509,-11.1804691537153,-12.7485248351529
-12.5290217120168,-11.1524146018631,-12.7294867014565
-12.4937222174538,-11.1827533408975,-12.7256756352672
-12.5382643049679,-11.1965146456856,-12.7172662016008
-12.5706671468254,-11.1690821284182,-12.7281349012222
-12.5972765442861,-11.1495423572414,-12.7423437691275
-12.593519732984,-11.1629707467896,-12.7093417908905
-12.5873338549412,-11.1682355555765,-12.7383935808408
-12.5110689576905,-11.2027523546829,-12.7309905056533
-12.5452661760701,-11.2041150868989,-12.7085555655178
-12.6007127069995,-11.1778442604152,-12.7402827095289
-12.5239261965767,-11.2811951527187,-12.7449958102405
-12.584471409308,-11.4840320413152,-12.7159097809024
-12.5968707165949,-11.5075912633795,-12.7120826929983
-12.5187460664341,-11.4943540793848,-12.7257588977284
-12.5445464491077,-11.51592097395,-12.720786699543
-12.5450488873691,-11.449005419204,-12.7254377043136
-12.5136198433251,-11.4889605875164,-12.7241161575546
-12.5650783710859,-11.485718694532,-12.6899545248086
-12.6147293218286,-11.4955758266351,-12.723341467243
-12.5822599785716,-11.4990293597781,-12.7386049650559
-12.5958791280939,-11.4900252450839,-12.7155373436568
-12.5578064018835,-11.5059411311958,-12.7438517388564
-12.5828090068055,-11.487361472839,-12.7310378328499
-12.5578169538387,-11.5043689622871,-12.7228286497769
-12.5389849817899,-11.5141646968052,-12.7580363738484
-12.5788836993762,-11.4696421104539,-12.6868307376738
-12.5429340921136,-11.4548725335216,-12.731096988696
-12.5674744004753,-11.5150432209412,-12.7179017656253
-12.5821673003247,-11.4846905859554,-12.7145394895613
-12.5477918072193,-11.4834966542794,-12.7188723195762
-12.5938963891303,-11.4583003103063,-12.707623390274
-12.4582700172351,-11.4847728735506,-12.7025721385799
-12.5219813225625,-11.4940280278658,-12.7127818082843
-12.5745555997074,-11.4823837798575,-12.7344159351139
-12.5372020632511,-11.4782512010362,-12.7219216310612
-12.5259290288357,-11.4891654174059,-12.6929702643189
-12.5496481654225,-11.4959013739644,-12.7295933447407
-12.5732784448544,-11.4930492349654,-12.7140341716815
-12.5652634221063,-11.4782512010362,-12.6945790380069
-12.5504599041297,-11.4860885550166,-12.7141304423948
-12.5392824232579,-11.473768749769,-12.7146838192104
-12.5807176562985,-11.4855542681741,-12.7257232146653
-12.5473298445093,-11.4910070008692,-12.7512881017434
-12.5970060107924,-11.4778370022977,-12.7084950610314
-12.5914982983006,-11.4591870785167,-12.7212408267303
-12.5808482790944,-11.4748912476523,-12.721061590634
-12.5417088184618,-11.4607054254976,-12.7170982492988
-12.5543499276011,-11.4908843340933,-12.7563420344946
-12.5915221036544,-11.4768007542516,-12.7195667058504
-12.6319709010692,-11.474558787025,-12.6962342310921
-12.5440901162335,-11.4961861409659,-12.77092043692
-12.5591631731172,-11.503440625759,-12.7199974618338
-12.5020055857635,-11.5064243786279,-12.7073205490151
-12.5499140912804,-11.4906798560229,-12.7053680510779
-12.614812386172,-11.5114043085983,-12.6935600391157
-12.5400489126667,-11.4945170652869,-12.733531172438
-12.57850134486,-11.4793686814414,-12.7430688135975
-12.5549568200834,-11.4720201336442,-12.69164199788
-12.6374199023524,-11.4668815264688,-12.7205236895112
-12.5439367701685,-11.4876076569859,-12.7888914353945
-12.5848001347806,-11.4913340387268,-12.7178897775893
-12.5749809557766,-11.4888786438117,-12.7424022599474
-12.5847864400432,-11.4752651337876,-12.7535811494892
-12.5185924419944,-11.494557807612,-12.7184890034075
-12.6102035306252,-11.4537697637615,-12.7127697587124
-12.5662335065937,-11.5093992551937,-12.7336609866268
-12.6278408004876,-11.4914157814823,-12.7300198041861
-12.5108109302719,-11.4786652282851,-12.7485015820428
-12.5190751822127,-11.4848962922487,-12.7451124786573
-12.5024071772611,-11.4691825420223,-12.7122514897192
-12.5505555679035,-11.4557623452369,-12.7507430193587
-12.5765735686022,-11.5129654641703,-12.7117570759813
-12.6026517228835,-11.4756803989403,-12.7056714841217
-12.5609915485311,-11.4826724217992,-12.7174341256995
-12.584889146003,-11.4837026062933,-12.7230433495559
-12.5515577156997,-11.470936122698,-12.7269476051492
-12.5401527375393,-11.4869099777669,-12.7149964620066
-12.6262030242802,-11.4754727879196,-12.7187884817185
-12.6390491539388,-11.4749743455417,-12.7202366905616
-12.6088541560091,-11.4982990181081,-12.6791091708933
-12.5529194511499,-11.4653725351107,-12.6976909847483
-12.6369618059785,-11.4626842485335,-12.7019511150889
-12.5328444129373,-11.5096802048052,-12.7203562834675
-12.5919165098912,-11.4723117820849,-12.7228644362747
-12.5329057171668,-11.483167042806,-12.7434311387941
-12.5749221775003,-11.4874435409555,-12.7361948862378
-12.5721036843929,-11.4950058636673,-12.7491176068427
-12.6287684489,-11.4917835412168,-12.7151767883978
-12.6119110173001,-11.4863761297367,-12.7307538360666
-12.6061901473117,-11.5077521061962,-12.7181175257009
-12.5576692163328,-11.489329251115,-12.7030954471187
-12.5795206322047,-11.476883693623,-12.7388163045971
-12.5256966007602,-11.454363713972,-12.720607382025
-12.5763698832781,-11.4810632118214,-12.7061689150831
-12.6075665454855,-11.4776298385755,-12.7090031849762
-12.6482906807211,-11.4863350526967,-12.7203682419714
-12.5153938930854,-11.4993943306859,-12.7000857272363
-12.5903719977043,-11.5018645176108,-12.7281586327709
-12.5661323546827,-11.5013790610699,-12.7341093060265
-12.6000857625242,-11.4796995470716,-12.7041898584347
-12.6435240278962,-11.4853486972,-12.7320784648912
-12.5003454513059,-11.4847317305994,-12.6923555454719
-12.5020836856309,-11.4743509429905,-12.6993776761782
-12.5318449847291,-11.4909252246906,-12.7256399492329
-12.5953541696975,-11.5027134998938,-12.7287043030098
-12.585970341856,-11.4886327724012,-12.6974585361459
-12.6173143701491,-11.4777955729865,-12.74576557037
-12.5190386191414,-11.4829197628838,-12.7241042437865
-12.538848774238,-11.473560741448,-12.7349346317823
-12.610473854565,-11.4764689279596,-12.7259135096231
-12.5436335750245,-11.488755715663,-12.7083135256043
-12.6424516244147,-11.4874845724883,-12.7244854139836
-12.5308337162234,-11.4885917879548,-12.7167982642958
-12.4853356266829,-11.482713649562,-12.7040926259152
-12.5918757164589,-11.4847317305994,-12.7244377756538
-12.551681586485,-11.4738935339965,-12.7449958102405
-12.5686302526271,-11.4939464983724,-12.7426127985762
-12.5495204958878,-11.476966626116,-12.7448674592587
-12.5280329487052,-11.4879358082666,-12.7166902476612
-12.5307325331035,-11.4794514081125,-12.7067873255454
-12.5479729804765,-11.4737271515661,-12.7151888090011
-12.5597109836446,-11.4921511657538,-12.7408452381096
-12.5437691324511,-11.4953315965692,-12.7077202801104
-12.5899871996079,-11.4901480172802,-12.7347106821346
-12.5969417483309,-11.4810632118214,-12.6967608659687
-12.5862541331038,-11.4615479565105,-12.7521920513692
