meanPPG_1,meanPPG_2,meanPPG_3
-12.8609206881559,-11.7732260630808,-13.1588264455936
-12.8329518102384,-11.7711890253393,-13.1428559627032
-12.8682192349703,-11.7545217132267,-13.1502275406725
-12.8740148322549,-11.741844307141,-13.1488572935023
-12.8407004866108,-11.7668542506166,-13.1736038703979
-12.8865524323624,-11.7450842566114,-13.1484910573538
-12.8372805905476,-11.7548986213284,-13.1264589789666
-12.8406156617741,-11.7455598356378,-13.1299822797176
-12.8366766462677,-11.7580966174698,-13.1089944096654
-12.8990898176394,-11.7640887707216,-13.1793559997238
-12.847234186824,-11.7562166820872,-13.1424796809892
-12.8811933205554,-11.7600042689795,-13.1275499040916
-12.8714888523518,-11.76137802423,-13.1541255756278
-12.7915483087905,-11.7667921889273,-13.1093105588093
-12.7958822628835,-11.7427347508315,-13.1374805352082
-12.8263426346765,-11.7447988005934,-13.13398360034
-12.8584186646862,-11.7428301085023,-13.1428167732968
-12.8070195555013,-11.7476497005572,-13.1461658378292
-12.904595352027,-11.7297128586455,-13.1451810626848
-12.8492598529609,-11.7492300289622,-13.1209704076723
-12.810260188837,-11.7387534100733,-13.1321948893176
-12.7936148361064,-11.7678467141785,-13.1443205447564
-12.8590382514573,-11.7623759349374,-13.1308869483452
-12.8553541417419,-11.7383065112246,-13.1248323270383
-12.8637610280527,-11.752036849166,-13.1304743939933
-12.8383306380291,-11.7519108688817,-13.1472588962371
-12.8257562616458,-11.7579400911026,-13.1655607883876
-12.8396741532488,-11.7348522763565,-13.1507486758255
-12.8516433001638,-11.7409212252554,-13.1520076128896
-12.8476264866936,-11.7627187368792,-13.1529158605387
-12.8382828117342,-11.7594417338062,-13.1777148263327
-12.813051729803,-11.7439736918544,-13.1265227153529
-12.837251332933,-11.7534530348285,-13.1327017517708
-12.8740686708851,-11.7355889010476,-13.1434827844243
-12.8603204612989,-11.7487561926164,-13.165246606121
-12.8093334110456,-11.7553695567718,-13.1214269390828
-12.8723803481326,-11.7260348419165,-13.1518445067265
-12.8418210892573,-11.7452110998016,-13.1610300909743
-12.8681109230629,-11.7639954189253,-13.0681014705174
-12.8277614176634,-11.7264872575002,-13.1406982614255
-12.866378918629,-11.7320288658567,-13.1288383693262
-12.8752242205339,-11.7533586848214,-13.1473603339213
-12.8664280032651,-11.7390086912031,-13.1306886261503
-12.8684951194461,-11.7344036302987,-13.1774574397139
-12.8155229500683,-11.7315468064898,-13.1566952364845
-12.8234235064025,-11.7519108688817,-13.1392362268937
-12.8507829744984,-11.7428936752315,-13.1406040010941
-12.813258806373,-11.7359730116761,-13.1174071154041
-12.8435908303292,-11.7487561926164,-13.1571666557356
-12.8104350593923,-11.7299704578226,-13.1343393779748
-12.8397245663042,-11.7408256853753,-13.1466969011398
-12.8777918786765,-11.7506817286523,-13.1628986108125
-12.8453152304845,-11.7511546537025,-13.1242975057716
-12.8713577585797,-11.7577522271156,-13.1608530541849
-12.868629166667,-11.7483137427009,-13.1772605699426
-12.8739917576689,-11.7340189162647,-13.1635820932203
-12.8350705625153,-11.7405708677278,-13.1115369829195
-12.8673240201816,-11.7700452318394,-13.1292833788695
-12.8346786382823,-11.7409212252554,-13.202519309437
-12.8211934176517,-11.7393914907484,-13.1416639178917
-12.8769077527664,-11.7387214953495,-13.1628832462892
-12.8175866876852,-11.7231215585302,-13.133991507885
-12.8496250883382,-11.7208497891437,-13.1296567162318
-12.8574338253985,-11.7207198177372,-13.1422287478302
-12.8280755348155,-11.7385938262675,-13.1249360652033
-12.8530921144463,-11.7180190921064,-13.1253748384005
-12.8503157804364,-11.7258732153059,-13.1276692761945
-12.8267674058307,-11.767598690615,-13.1251674423371
-12.8063860773975,-11.7201022227624,-13.1342049879669
-12.8252341541497,-11.7517218686922,-13.1193508442796
-12.7880955093764,-11.7378274692993,-13.1365423785776
-12.8641028809505,-11.7231215585302,-13.1622069734489
-12.8896138359449,-11.7179213388031,-13.1324404329009
-12.8178362198137,-11.7182797208748,-13.1220913404056
-12.8147969143138,-11.7436244023375,-13.1327967598861
