meanPPG_1,meanPPG_2,meanPPG_3
-12.8709052245098,-11.199857206128,-13.1270563481705
-12.8442830602088,-11.1724050455024,-13.1963273391891
-12.8486525838524,-11.1912866669069,-13.1685444265056
-12.8070387455444,-11.1635381870818,-13.1453765317133
-12.8579133392224,-11.1905139119973,-13.1578463446497
-12.8561505165815,-11.181026753819,-13.1171256846081
-12.8834079750428,-11.16393520379,-13.1686590042296
-12.7996895039986,-11.188911303271,-13.1225473604784
-12.8976886544449,-11.2061828897797,-13.1823214241678
-12.870918083418,-11.203788200489,-13.164702300806
-12.8939459435874,-11.1976666247482,-13.1683152316661
-12.8399792460458,-11.1881367098938,-13.1410045461549
-12.8743326945822,-11.1527587174894,-13.1723414072105
-12.8665261653101,-11.1895194917176,-13.1581011089362
-12.9404385419061,-11.1961852649184,-13.1722500830095
-12.8699454833861,-11.1793530198866,-13.1633901509559
-12.8939836411699,-11.1601287054291,-13.1456344923406
-12.8551111864641,-11.1602994558778,-13.1638047001013
-12.8369640308834,-11.1588756438082,-13.1522405755545
-12.8306491868791,-11.14625790357,-13.1511451788298
-12.8190775301245,-11.1682920160683,-13.1793635565036
-12.8325189687879,-11.1449873287528,-13.1565251618832
-12.8450856581345,-11.1779560984738,-13.1621531593765
-12.8006114632548,-11.1983790901827,-13.1661735428914
-12.8141166273698,-11.1786827411373,-13.1746445836462
-12.850916793253,-11.1587616512176,-13.159127228789
-12.8508564458355,-11.1933260778384,-13.1466890934281
-12.8174022108663,-11.1736412785212,-13.1554344509952
-12.8138498285726,-11.1558504410102,-13.1459002003759
-12.8448586727372,-11.1813611647016,-13.1632672885693
-12.8416066029578,-11.1684049274894,-13.1634208641941
-12.877043233166,-11.1647287646525,-13.1286555401637
-12.8761430947601,-11.1924997908495,-13.1656450643993
-12.8523928585884,-11.1662574273705,-13.1668700949868
-12.8624702571434,-11.1771170079986,-13.165392215054
-12.8677059389149,-11.1967341726059,-13.1683992758734
-12.8845705474537,-11.1804691537153,-13.1842634208189
-12.8433872975815,-11.1959106980459,-13.1465173083464
-12.8931841479758,-11.1992552744565,-13.1532416970493
-12.8664383365657,-11.1806922310683,-13.1437882176131
-12.8156425458348,-11.1576780730227,-13.1741053711113
-12.8813180410481,-11.1610390377633,-13.1632519297096
-12.8622912839046,-11.1724612710795,-13.1699566350907
-12.8723829161365,-11.1987077492566,-13.162045522543
-12.8316259755169,-11.1717863554183,-13.1704370945107
-12.8201847355998,-11.212576842747,-13.1895508868722
-12.8401410401036,-11.1698152456088,-13.1640809707562
-12.8798152695533,-11.1864748437901,-13.1510829926755
-12.9363566386608,-11.1987077492566,-13.1467125163802
